

CPU utilization for five seconds: 12%/0%; one minute: 10%; five minutes: 10%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
20950          130  4115133700      0   1.31%   1.33%  1.44%   -    arp
20956          120  3021953855      0   1.33%   1.23%  1.27%   -    pktmgr
21004   3912414170  2305412259      1   0.58%   0.79%  1.08%   -    snmpd
20982          170  2562639504      0   0.70%   0.41%  0.43%   -    netstack
 5623   1370074784  2460803732      0   0.29%   0.29%  0.31%   -    platform
21167   1113857890  528587728      2   0.19%   0.24%  0.25%   -    ethpm
21171   1071402990  947299562      1   0.19%   0.19%  0.19%   -    stp
 5698           60  923374990      0   0.19%   0.18%  0.18%   -    pdsd
21168    246670430  253424142      0   0.00%   0.01%  0.14%   -    l2fm
20857    376176780  1134102727      0   0.09%   0.08%  0.09%   -    feature-mgr
21163    175635290  592885764      0   0.00%   0.01%  0.09%   -    vlan_mgr
20999    171373270  1997709756      0   0.01%   0.01%  0.08%   -    cfs
22721           80  1480667669      0   0.05%   0.08%  0.08%   -    sla_sender
 5825      6808070  1308515815      0   0.19%   0.08%  0.07%   -    sysinfo
21186    366339180  3085422300      0   0.07%   0.07%  0.07%   -    hsrp_engine
21211    293780420  574565725      0   0.07%   0.06%  0.06%   -    interface-vlan
21190           90  2725889304      0   0.03%   0.03%  0.03%   -    eigrp
21123    113367390  646721328      0   0.21%   0.03%  0.02%   -    pfstat
21176    157428520  127612078      1   0.01%   0.01%  0.01%   -    udld
20932           80  1941528434      0   0.00%   0.01%  0.01%   -    adjmgr
21165    126401360  602826427      0   0.01%   0.01%  0.01%   -    ipqosmgr
21128          100  430054547      0   0.05%   0.01%  0.01%   -    igmp
21130           70  3004577521      0   0.00%   0.00%  0.00%   -    ecp
21188          100  1809501159      0   0.00%   0.00%  0.00%   -    ospf
21125     35808050  39967751      0   0.00%   0.00%  0.00%   -    lldp
27993          230      1054      0   0.09%   0.00%  0.00%   0    vsh
21040      4540710  62016618      0   0.00%   0.00%  0.00%   -    tacacs
 5008     41453710  501488849      0   0.01%   0.00%  0.00%   -    sysmgr
20998     14721670  38003034      0   0.00%   0.00%  0.00%   -    cdp
21184           90  117717403      0   0.01%   0.00%  0.00%   -    m6rib
21181          100  111679702      0   0.00%   0.00%  0.00%   -    mrib
 5843     82222930  98869119      0   0.00%   0.00%  0.00%   -    diagmgr
20878      1771070  34307783      0   0.00%   0.00%  0.00%   -    aaa
21136      7001810  71938720      0   0.00%   0.00%  0.00%   -    monitor
20864       709420  16741586      0   0.00%   0.00%  0.00%   -    vshd
21127      1949920  32563307      0   0.00%   0.00%  0.00%   -    l2rib
 6030     11435480  98138492      0   0.00%   0.00%  0.00%   -    ifmgr
21164     15460020  300010501      0   0.00%   0.00%  0.00%   -    eth_dstats
21120          130  31156414      0   0.00%   0.00%  0.00%   -    rpm
21189          100  1824756304      0   0.00%   0.00%  0.00%   -    ospf
 5703       644510   6687426      0   0.00%   0.00%  0.00%   -    fs-daemon
21185      9258670  42623897      0   0.00%   0.00%  0.00%   -    l2pt
21182      3856090  23924327      0   0.00%   0.00%  0.00%   -    mfdm
21046     25297460  184891724      0   0.00%   0.00%  0.00%   -    ntpd
21162      2577600  31218833      0   0.00%   0.00%  0.00%   -    eth_port_channel
 5929     35997620  32214973      1   0.00%   0.00%  0.00%   -    diagclient
20850      4249280  454525089      0   0.00%   0.00%  0.00%   -    syslogd
 6004     25138690  185242973      0   0.00%   0.00%  0.00%   -    module
 5697      1082840  22282031      0   0.00%   0.00%  0.00%   -    pixm_gl
 5702      1047770  22161434      0   0.00%   0.00%  0.00%   -    licmgr
 5707       475530  43649204      0   0.00%   0.00%  0.00%   -    bloggerd
 5822       879770  21810745      0   0.00%   0.00%  0.00%   -    vdc_mgr
 5830        66530   2106343      0   0.00%   0.00%  0.00%   -    res_mgr
