
VPC Role: Secondary
VPC Peer-Link Status: Up

Interface      Orphan Port        Orphan-port   
               Suspend-config     Status        
------------   ----------------   -------------
Po1001            -                 Up   
Eth1/9            -                 Down 
Eth1/10           -                 Down 
Eth1/11           -                 Down 
Eth1/12           -                 Down 
Eth1/13           -                 Down 
Eth1/14           -                 Down 
Eth1/15           -                 Down 
Eth1/17           -                 Down 
Eth1/21           -                 Down 
Eth1/22           -                 Up   
Eth1/23           -                 Down 
Eth2/9            -                 Down 
Eth2/10           -                 Down 
Eth2/11           -                 Down 
Eth2/12           -                 Down 
Eth2/13           -                 Up   
Eth2/13.3423      -                 Up   
Eth2/13.3540      -                 Up   
Eth2/14           -                 Up   
Eth2/14.3423      -                 Up   
Eth2/14.3540      -                 Up   
Eth2/19           -                 Down 
Eth2/21           -                 Down 
Eth2/22           -                 Up   
Eth2/23           -                 Down 
Eth3/1            -                 Down 
Eth3/2            -                 Down 
Eth3/3            -                 Down 
Eth3/4            -                 Down 
Eth3/5            -                 Down 
Eth3/6            -                 Down 
Eth3/7            -                 Down 
Eth3/8            -                 Down 
Eth3/9            -                 Down 
Eth3/10           -                 Down 
Eth3/11           -                 Down 
Eth3/12           -                 Down 
Eth3/13           -                 Up   
Eth3/14           -                 Up   
Eth3/16           -                 Down 
Eth3/17           -                 Down 
Eth3/18           -                 Down 
Eth1/19/2         -                 Down 
Eth1/19/3         -                 Down 
Eth1/19/4         -                 Down 
Eth1/20/1         -                 Up   
Eth1/20/1.551     -                 Up   
Eth1/20/1.2621    -                 Up   
Eth1/20/1.3001    -                 Up   
Eth1/20/1.3006    -                 Up   
Eth1/20/1.3013    -                 Up   
Eth1/20/1.3018    -                 Up   
Eth1/20/1.3023    -                 Up   
Eth1/20/1.3028    -                 Up   
Eth1/20/1.3038    -                 Up   
Eth1/20/1.3045    -                 Up   
Eth1/20/1.3064    -                 Up   
Eth1/20/1.3082    -                 Up   
Eth1/20/1.3208    -                 Up   
Eth1/20/1.3214    -                 Up   
Eth1/20/1.3219    -                 Up   
Eth1/20/1.3319    -                 Up   
Eth1/20/1.3363    -                 Up   
Eth1/20/1.3367    -                 Up   
Eth1/20/1.3376    -                 Up   
Eth1/20/1.3381    -                 Up   
Eth1/20/1.3389    -                 Up   
Eth1/20/1.3391    -                 Up   
Eth1/20/1.3395    -                 Up   
Eth1/20/1.3404    -                 Up   
Eth1/20/1.3410    -                 Up   
Eth1/20/1.3417    -                 Up   
Eth1/20/1.3436    -                 Up   
Eth1/20/1.3583    -                 Up   
Eth1/20/1.3588    -                 Up   
Eth1/20/1.3602    -                 Up   
Eth1/20/1.3606    -                 Up   
Eth1/20/1.3610    -                 Up   
Eth1/20/1.3614    -                 Up   
Eth1/20/1.3619    -                 Up   
Eth1/20/1.3632    -                 Up   
Eth1/20/1.3638    -                 Up   
Eth1/20/1.3644    -                 Up   
Eth1/20/2         -                 Down 
Eth1/20/3         -                 Down 
Eth1/20/4         -                 Down 
Eth2/15/2         -                 Down 
Eth2/15/3         -                 Down 
Eth2/15/4         -                 Down 
Eth2/20/1         -                 Up   
Eth2/20/1.553     -                 Up   
Eth2/20/1.2623    -                 Up   
Eth2/20/1.3002    -                 Up   
Eth2/20/1.3007    -                 Up   
Eth2/20/1.3014    -                 Up   
Eth2/20/1.3019    -                 Up   
Eth2/20/1.3024    -                 Up   
Eth2/20/1.3030    -                 Up   
Eth2/20/1.3040    -                 Up   
Eth2/20/1.3047    -                 Up   
Eth2/20/1.3066    -                 Up   
Eth2/20/1.3084    -                 Up   
Eth2/20/1.3210    -                 Up   
Eth2/20/1.3217    -                 Up   
Eth2/20/1.3221    -                 Up   
Eth2/20/1.3321    -                 Up   
Eth2/20/1.3364    -                 Up   
Eth2/20/1.3369    -                 Up   
Eth2/20/1.3378    -                 Up   
Eth2/20/1.3383    -                 Up   
Eth2/20/1.3387    -                 Up   
Eth2/20/1.3393    -                 Up   
Eth2/20/1.3396    -                 Up   
Eth2/20/1.3405    -                 Up   
Eth2/20/1.3411    -                 Up   
Eth2/20/1.3418    -                 Up   
Eth2/20/1.3438    -                 Up   
Eth2/20/1.3585    -                 Up   
Eth2/20/1.3590    -                 Up   
Eth2/20/1.3605    -                 Up   
Eth2/20/1.3607    -                 Up   
Eth2/20/1.3611    -                 Up   
Eth2/20/1.3615    -                 Up   
Eth2/20/1.3620    -                 Up   
Eth2/20/1.3633    -                 Up   
Eth2/20/1.3639    -                 Up   
Eth2/20/1.3645    -                 Up   
Eth2/20/2         -                 Down 
Eth2/20/3         -                 Down 
Eth2/20/4         -                 Down 
Eth3/15/1         -                 Up   
Eth3/15/2         -                 Down 
Eth3/15/3         -                 Up   
Eth3/15/4         -                 Down 
