

CPU utilization for five seconds: 17%/0%; one minute: 11%; five minutes: 9%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
 5008     40295840  487227602      0   0.00%   0.00%  0.00%   -    sysmgr
 5623   1312158644  2437688181      0   0.33%   1.61%  0.71%   -    platform
 5697      1071350  22066327      0   0.00%   0.00%  0.00%   -    pixm_gl
 5698           60  103623682      0   0.15%   0.16%  0.17%   -    pdsd
 5702      1036710  21925401      0   0.00%   0.00%  0.00%   -    licmgr
 5703       638890   6624958      0   0.00%   0.00%  0.00%   -    fs-daemon
 5707       472020  43239964      0   0.00%   0.00%  0.00%   -    bloggerd
 5822       872340  21606225      0   0.00%   0.00%  0.00%   -    vdc_mgr
 5825      6586440  1275613615      0   0.05%   0.09%  0.08%   -    sysinfo
 5830        66000   2086833      0   0.00%   0.00%  0.00%   -    res_mgr
 5831      2858570  108005339      0   0.00%   0.00%  0.00%   -    plugin
 5832       871730  21594016      0   0.00%   0.00%  0.00%   -    pltfm_debug
 5843     81444850  97940533      0   0.00%   0.00%  0.00%   -    diagmgr
 5846      9237230  82322509      0   0.00%   0.00%  0.00%   -    clk_mgr
 5929     35657790  31904204      1   0.00%   0.00%  0.00%   -    diagclient
 5946   4154437536   8317922    499   0.00%   0.00%  0.00%   -    xbar
 6004     24860070  183099785      0   0.00%   0.00%  0.00%   -    module
 6030     11236400  96593277      0   0.00%   0.00%  0.00%   -    ifmgr
 6399       951210  21595066      0   0.00%   0.00%  0.00%   -    sim
 6401      3807450  34019558      0   0.00%   0.00%  0.00%   -    pltfm_config
 6404      1103780  23163463      0   0.00%   0.00%  0.00%   -    pixmc
 6407   2899882300  21584360    134   0.00%   0.00%  0.00%   -    monitorc
 6411      1013480  21587622      0   0.00%   0.00%  0.00%   -    giscm
 6459   3516757614  82471719     42   0.00%   0.00%  0.00%   -    diag_port_lb
 8924      4210740  107943303      0   0.00%   0.00%  0.00%   -    syslogd
 8935          560      3042      0   0.00%   0.00%  0.00%   -    confcheck
 8936      1440740  37667472      0   0.00%   0.00%  0.00%   -    feature-mgr
 8937        77240   1801147      0   0.00%   0.00%  0.00%   -    mmode
 8938       937160  21829662      0   0.00%   0.00%  0.00%   -    pixm_vl
 8939      3146100  107885426      0   0.00%   0.00%  0.00%   -    psshelper
 8940       880530  21584412      0   0.00%   0.00%  0.00%   -    session-mgr
 8941           70   3962374      0   0.00%   0.00%  0.00%   -    smm
 8942       866520  21584567      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 8943       585960  13553435      0   0.00%   0.00%  0.00%   -    vshd
