

PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
 9179  78405632  1280193203  617721856   ffe1e320/ffe1dd70  netstack
 9614  208814080  871855590   612212736   ffbd97a0/ffbd7c1c  monitor
 9965  130473984  1163791155  566726656   ff8a8ee0/ff8a8950  otv
 9123  62963712  1186842508  555884544   ffdb6320/ffdb6140  arp
 9043   2674688  1928640102  536330240   ffb57f50/ffb575b8  ascii-cfg
 9020  64765952  1697171660  530604032   ffac78f0/ffac5d7c  port-profile
 9902  48893952  1046956736  490016768   ff95be30/ff95baf0  isis_otv
 8956  20058112  1395538918  487247872   fffa9940/fffa8d8c  clis
 9130  27856896  1101953318  479191040   ff9a6c90/ff9a6b70  pktmgr
 9897  31629312  1152699353  470585344   ffb005f0/ffb004c0  mrib
 8942   5955584  1028872486  469594112   ffa631a0/ffa61f70  vpc_config_sync
 8937   4804608  1298591923  466251776   ffa8a250/ffa876ac  mmode
 9618  54525952  1362498534  465326080   ffbec3f0/ffbea66c  iscm
27997   2936832  838860800   464068608   ffc7ef20/ffc7e710  vsh
 9214  19922944  894373734   462536704   ffec0330/ffebb0dc  snmpd
 5698  29310976  0           455630848   ffc8e3e0/ffc8e2a0  pdsd
 9124  17907712  1044586790  455405568   ffdf96a0/ffdf9130  icmpv6
 9903  15962112  1046541516  452988928   ff949be0/ff9496a0  eigrp
 9598  15917056  1042257804  452902912   ffecaaa0/ffeca970  rpm
 9895  26624000  1048826265  452812800   ffc45ca0/ffc45b40  orib
 9606  31158272  1274692851  452333568   ffa6cc30/ffa6c6f0  igmp
 9920  16838656  1009299200  449695744   ffeb7780/ffeb7690  mcastfwd
 9751  11370496  1034333132  449503232   ffc02c50/ffc020fc  stp
 9644  10465280  851928166   447217664   ffa89d70/ffa8818c  ethpm
 9604  70946816  984005440   445247488   ff911450/ff90f86c  lim
 9900  14430208  1030980288  444760064   ffa080d0/ffa07fa0  m6rib
 9099  33124352  1046150643  442671104   ffb466c0/ffb46100  adjmgr
 9645  46821376  1033721145  440819712   fff552f0/fff5354c  l2fm
 9909  24539136  1021785177  434008064   ffc1f020/ffc1d4ac  ufdm
 9640  46948352  809872729   428904448   ffee41e0/ffee2dac  vlan_mgr
 9213   4743168  1026677440  427597824   ffe7a040/ffe784cc  otm
 9212   3293184  1027677683  427491328   fffcd0b0/fffc8ccc  ntp
 9059  21078016  1321785113  421191680   ffe0cdb0/ffe0cb60  urib
 9605  17887232  1056892108  419069952   ffdbce40/ffdbc8e0  l2rib
 6459  32751616  834240000   416088064   ffec35d0/ffec27e0  diag_port_lb
 9892   4665344  1031381286  415600640   ffc439b0/ffc4192c  tunnel
 9646  33058816  765449203   414085120   ffb60ea0/ffb5f30c  aclqos
 9101  14323712  1033543564  413540352   ffc25aa0/ffc25950  u6rib
 9120   8511488  1051017510  409686016   ff819230/ff818ca0  npacl
 6404  28315648  857934105   407523328   ffb0af40/ffb0a310  pixmc
 8938  30797824  983108403   406016000   ffb2cce0/ffb2c0a0  pixm_vl
 9272  30269440  879326694   405942272   ff940070/ff93fb9c  callhome
 5946  21188608  0           404549632   ffc46e80/ffc3f6d0  xbar
 5623  25133056  0           404086784   ffc36dd0/ffc34a10  platform
 9208   2957312  863709465   403402752   ffc49510/ffc4834c  cdp
 9206   3465216  890799456   402894848   ff932df0/ff92db3c  radius
 5697  20254720  976250880   401514496   fff60df0/fff601b0  pixm_gl
 9642  15646720  1640130764  400252928   ffec8a30/ffec7430  ipqosmgr
 9894   2928640  1025524006  398487552   ffa57560/ffa559ec  sal
 6411  10301440  767652441   394752000   ffc28250/ffc266cc  giscm
 6030   8667136  764838272   391434240   ffd48140/ffd470f0  ifmgr
 9607  14372864  776808313   390717440   ff999140/ff99797c  eltm
 9610  13410304  969281280   390705152   ffec6100/ffec457c  adbm
 9925  14512128  1157786150  389902336   ffece780/ffecdeb0  m2rib
 9898  11145216  1132961139  389754880   ffe56c80/ffe5507c  mfdm
 9096  10711040  1633444454  389357568   ffeee000/ffeecd50  aclmgr
 5929  20652032  679076851   388120576   ff8ee790/ff8ed470  diagclient
 9058  15175680  1026790899  387981312   ffb37c30/ffb376e0  l3vm
11288   7098368  814875776   385212416   fff461c0/fff4463c  lldp
 6399   8323072  823804652   384851968   ff991ed0/ff9906ec  sim
 8924  11681792  776329382   384073728   ffd8b9c0/ffd874cc  syslogd
 9209  11280384  1081971123  383614976   ff840300/ff83e78c  cfs
 9643   6361088  767640755   383488000   fff680f0/fff670b0  lacp
 9054   5885952  776136979   382926848   fff21cf0/fff21618  vman
 9896   8552448  888364646   382914560   fff2c460/fff2c340  oim
 5707   8953856  0           382836736   ff9e38f0/ff9e293c  bloggerd
 9893   6742016  1404964915  382590976   ff878920/ff877ca0  spm
 9601   6365184  1019077312  382566400   ffd60b20/ffd5fb00  plcmgr
 9899   3522560  755446771   380825600   ffe2fbc0/ffe2eb30  mcm
 6401   3977216  772009849   380432384   ff9df400/ff9dd84c  pltfm_config
 9041   2949120  0           379625472   ffe93040/ffe9129c  cert_enroll
 6407   3452928  752608243   379613184   ffc75830/ffc747f0  monitorc
 5008  16252928  0           379363328   ffc0a010/ffc09c10  sysmgr
 8941   7966720  1022289804  378683392   ffe110b0/ffe10ae0  smm
 9608   8396800  1018009484  378613760   ffe56df0/ffe56cc0  ecp
 9639   4395008  767595699   378408960   ffa3dca0/ffa3bf1c  eth_port_channel
 5822   3153920  823750963   378187776   ffba78f0/ffba6b60  vdc_mgr
 5702   2605056  750522150   377667584   ff9a3b50/ff9a34e8  licmgr
 9901   3186688  1017599475  377090048   ffcd7310/ffcd556c  l2pt
 9891   2912256  755748646   376516608   ff915860/ff914830  u2
 9262   3837952  771888198   376483840   ff961fc0/ff95cf4c  tacacs
 9055   3551232  763238784   376291328   ffab5900/ffab42c0  vmm
 9602   4214784  1018216742  375861248   ffaecdc0/ffaeb20c  pfstat
 8940   5664768  824135276   375615488   ffa04260/ffa03240  session-mgr
 9100   3764224  753405734   375177216   ffc84240/ffc83200  ncpinframgr
 9600   4943872  830671564   375156736   ff8734b0/ff872480  plsm
 8943   2621440  962860800   374984704   ffa75de0/ffa7530c  vshd
 9047   2953216  753905856   374939648   ff812fe0/ff811fb0  evms
 9611   3375104  1017905856  374841344   ffc491f0/ffc481a0  acllog
 9040   2781184  0           374644736   ff88c7f0/ff88b390  aaa
 5846   2023424  734815628   374464512   ffe25ee0/ffe24eb0  clk_mgr
 9053   4300800  753441779   374448128   ffd205a0/ffd1f550  statsprofiler
 8936   3219456  0           374341632   ffa7dcd0/ffa7d890  feature-mgr
 9042   2895872  0           374296576   ffd42510/ffd410b8  securityd
 9086   2813952  1016955174  374018048   ffefa0c0/ffef9080  eem_policy_dir
 5830   3534848  756972620   374009856   fffb4040/fffb3adc  res_mgr
 9044   3448832  750792486   373161984   ffadc4f0/ffadb6d0  cli_acl
 9051   2310144  768396358   373014528   ff94ed70/ff94e7b0  sksd
 8939   3330048  1037680371  372748288   fff66060/fff65c30  psshelper
 9052   2760704  751544921   372695040   ffa9ecf0/ffa9dc90  snmpmib_proc
 9641   2531328  772796992   372436992   ffd22650/ffd222a0  eth_dstats
 9045   2392064  1015193484  372379648   ffc1f680/ffc1e660  evmc
 9057   2445312  1014824025  372187136   ff81d770/ff81c730  xmpp
 9049   2330624  910463699   372166656   ffce2920/ffce16e0  mvsh
 5843   4034560  662032166   371048448   ffa76840/ffa757e0  diagmgr
 9276   3149824  472988876   370626560   ffb72420/ffb6e64c  dcos-xinetd
 8935   2031616  0           370593792   ffe61a70/ffe61850  confcheck
 9056   1888256  0           370319360   ffc970b0/ffc96e90  xmlma
 9273   2281472  0           369963008   ffe69bc0/ffe65dfc  ntpd
 5832   4325376  734288473   369721344   ffdb15d0/ffdb0590  pltfm_debug
 5703   1286144  0           368631808   ffacf720/ffaceeb0  fs-daemon
 5831   2936832  659653209   359395328   ffed1880/ffed084c  plugin
 5825   6991872  752525593   283172864   ff851890/ff8516fc  sysinfo
 9048    442368  0           277405696   fff9be40/fff9ba10  mping_server
 9210    434176  658366438   276525056   ffe36810/ffe36458  ip_dummy
 9211    434176  658366438   276525056   ffaed280/ffaecec8  ipv6_dummy
 9216    434176  658366438   276525056   ffee9520/ffee9168  tcpudp_dummy

All processes: MemAlloc = 1869996032
