

CPU utilization for five seconds: 16%/0%; one minute: 11%; five minutes: 8%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
 3864      7694490  1430496177      0   0.00%   0.00%  0.00%   -    syslogd
 3869         3680     56849      0   0.00%   0.00%  0.00%   -    confcheck
 3870    357390680  785007648      0   0.09%   0.06%  0.07%   -    feature-mgr
 3871        19860    485373      0   0.00%   0.00%  0.00%   -    mmode
 3872       463740   9053150      0   0.00%   0.00%  0.00%   -    pixm_vl
 3873       812620  29027333      0   0.00%   0.00%  0.00%   -    psshelper
 3874       222250   5816501      0   0.00%   0.00%  0.00%   -    session-mgr
 3875           70   1068152      0   0.00%   0.00%  0.00%   -    smm
 3876       224690   5817829      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3877       633080  14980203      0   0.00%   0.00%  0.00%   -    vshd
 3880            0         3      0   0.00%   0.00%  0.00%   -    klogd
 3884      1046270   4125153      0   0.00%   0.00%  0.01%   -    clis
 3886        82300   1375960      0   0.00%   0.00%  0.00%   -    port-profile
 3893      1659900  33231687      0   0.00%   0.00%  0.00%   -    aaa
 3894       758850  29031051      0   0.00%   0.00%  0.00%   -    cert_enroll
 3895       882800  29498572      0   0.00%   0.00%  0.00%   -    securityd
 3896       145590   3634656      0   0.00%   0.00%  0.00%   -    ascii-cfg
 3897       218830   5818081      0   0.00%   0.00%  0.00%   -    cli_acl
 3898        56990   1454094      0   0.00%   0.00%  0.00%   -    evmc
 3900        74960   1938469      0   0.00%   0.00%  0.00%   -    evms
 3901           40       258      0   0.00%   0.00%  0.00%   -    mping_server
 3902        76040   1938494      0   0.00%   0.00%  0.00%   -    mvsh
 3904       727740  29023477      0   0.00%   0.00%  0.00%   -    sksd
 3905       125710   3129534      0   0.00%   0.00%  0.00%   -    snmpmib_proc
 3906      4414810  23593412      0   0.00%   0.00%  0.00%   -    statsprofiler
 3907       223340   3633339      0   0.00%   0.00%  0.00%   -    vman
 3908       234910   5935076      0   0.00%   0.00%  0.00%   -    vmm
 3909       346360   9678433      0   0.00%   0.00%  0.00%   -    xmlma
 3910       217860   5816430      0   0.00%   0.00%  0.00%   -    xmpp
 3911          100   1086456      0   0.00%   0.00%  0.00%   -    l3vm
 3912           90  153708348      0   0.00%   0.00%  0.00%   -    urib
 3935       225930   5816095      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 3945       462860   3208310      0   0.00%   0.00%  0.00%   -    aclmgr
 3948           80  1910509966      0   0.00%   0.01%  0.01%   -    adjmgr
 3949       222310   5819889      0   0.00%   0.00%  0.00%   -    ncpinframgr
 3950           80  93834259      0   0.00%   0.00%  0.00%   -    u6rib
 3963          110   3017246      0   0.00%   0.00%  0.00%   -    npacl
 3966          130  4122508361      0   6.24%   2.50%  1.21%   -    arp
 3968           90  17173113      0   0.00%   0.02%  0.00%   -    icmpv6
 3972          120  3960865811      0   1.78%   1.73%  1.69%   -    pktmgr
 3998          180  839863819      0   0.43%   0.41%  0.38%   -    netstack
 4013      1441530  29033594      0   0.00%   0.00%  0.00%   -    radius
 4014     14073050  35635811      0   0.00%   0.00%  0.00%   -    cdp
 4015    140176340  1703501765      0   0.01%   0.04%  0.04%   -    cfs
 4016           30       176      0   0.00%   0.00%  0.00%   -    ip_dummy
 4017           20       178      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 4018       136990   1760717      0   0.00%   0.00%  0.00%   -    ntp
 4019       457260   8355588      0   0.00%   0.00%  0.00%   -    otm
 4020     66012724  1422193728      0   0.01%   0.83%  0.94%   -    snmpd
 4023           20       176      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4056      4334900  59382144      0   0.00%   0.00%  0.00%   -    tacacs
 4062     82738170  547771235      0   0.00%   0.00%  0.00%   -    ntpd
 4067       866450  29552768      0   0.00%   0.00%  0.00%   -    callhome
 4070       281160   1757442      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 4117          130  33911692      0   0.00%   0.00%  0.00%   -    rpm
 4118       224820   5816813      0   0.00%   0.00%  0.00%   -    plsm
 4119       656820   8739905      0   0.00%   0.00%  0.00%   -    plcmgr
