

PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
 3998  79454208  1280193203  618770432   fff714c0/fff70f10  netstack
 4133  208818176  871855590   612216832   ffa1a960/ffa18ddc  monitor
 3966  76681216  1186847014  574427136   ffb4cf50/ffb4cd70  arp
 3896   2711552  1928640102  536367104   ffad22f0/ffad1958  ascii-cfg
 3886  64790528  1697171660  530628608   ffb22e10/ffb2129c  port-profile
 3884  28999680  1395538918  496189440   ff88ac10/ff88a05c  clis
 3972  28975104  1101953318  482361344   fff4eed0/fff4edb0  pktmgr
 4165  75960320  1033721145  477069312   ff929010/ff92726c  l2fm
 4167  30416896  1034333132  470843392   ff8ce320/ff8cd7cc  stp
 4183  32940032  1152694848  470609920   ffb0aa80/ffb0a950  mrib
 3876   5984256  1028872486  469622784   ffdb4df0/ffdb3bc0  vpc_config_sync
 4137  54743040  1362498534  467779584   ff9c7f40/ff9c61bc  iscm
 4020  24424448  894364723   467197952   ffa2ccb0/ffa2a8ac  snmpd
 3871   5316608  1298591923  465297408   ff80bb10/ff808f6c  mmode
30470   2936832  838860800   464068608   ffc0b800/ffc0aff0  vsh
 4192  24350720  1046541516  461377536   ffb754d0/ffb74f90  eigrp
 3968  19218432  1044586790  457486336   ffb7f910/ffb7f3a0  icmpv6
 4196  12173312  1039851404  456577024   ffed64c0/ffed1e6c  dhcp_snoop
 5699  29310976  0           455630848   ff9f9180/ff9f9040  pdsd
 4117  17227776  1042257804  454983680   ff9e2af0/ff9e29c0  rpm
 4125  32268288  1274692851  453324800   ffc2d340/ffc2ce00  igmp
 4164  14684160  851928166   451436544   ff869510/ff86792c  ethpm
 4188   7892992  1040283942  450715648   ff8612d0/ff85c66c  hsrp_engine
 4198  14016512  1009299200  446443520   fff2c2f0/fff2c200  mcastfwd
 4186  15769600  1030980288  446296064   ffd29440/ffd29310  m6rib
 4123  73342976  984005440   446177280   ffc7b0f0/ffc7950c  lim
 3948  33124352  1046155148  443441152   ff8821d0/ff881c10  adjmgr
 4191  27070464  1326349696  442822656   ff8303d0/ff82fbe0  ospf
 4190  25460736  1326349696  441212928   ff876d90/ff8765a0  ospf
 4182   8044544  1033251110  437063680   ffdcc3c0/ffdca40c  nfm
 4160  47587328  809872729   434069504   ffe9f830/ffe9e3fc  vlan_mgr
 4194  24518656  1021785177  432521216   fff896b0/fff87b3c  ufdm
 3912  23707648  1321785113  426057728   ff8a48f0/ff8a46a0  urib
 4018   3317760  1027601088  426049536   ffeef7c0/ffeeb3dc  ntp
 4019   4521984  1026677440  425910272   ffa61d50/ffa601dc  otm
 4177   9637888  978111436   422006784   ff885d50/ff88134c  vpc
 4124  17887232  1056892108  417603584   ffb24bc0/ffb24660  l2rib
 3950  15638528  1033543564  417091584   ffcc1ce0/ffcc1b90  u6rib
 6459  32116736  834240000   415453184   ffd56420/ffd55630  diag_port_lb
 4189   3637248  1034201382  415444992   ff8090b0/ff80467c  glbp
