
VPC Role: Primary
VPC Peer-Link Status: Up

Interface      Orphan Port        Orphan-port   
               Suspend-config     Status        
------------   ----------------   -------------
Po1001            -                 Up   
Eth1/9            -                 Down 
Eth1/10           -                 Down 
Eth1/11           -                 Down 
Eth1/12           -                 Down 
Eth1/13           -                 Down 
Eth1/14           -                 Down 
Eth1/15           -                 Down 
Eth1/17           -                 Down 
Eth1/21           -                 Down 
Eth1/22           -                 Up   
Eth1/23           -                 Down 
Eth2/9            -                 Down 
Eth2/10           -                 Down 
Eth2/11           -                 Down 
Eth2/12           -                 Down 
Eth2/13           -                 Up   
Eth2/13.3424      -                 Up   
Eth2/13.3541      -                 Up   
Eth2/14           -                 Up   
Eth2/14.3424      -                 Up   
Eth2/14.3541      -                 Up   
Eth2/21           -                 Down 
Eth2/22           -                 Up   
Eth2/23           -                 Down 
Eth3/1            -                 Down 
Eth3/2            -                 Down 
Eth3/3            -                 Down 
Eth3/4            -                 Down 
Eth3/5            -                 Down 
Eth3/6            -                 Down 
Eth3/7            -                 Down 
Eth3/8            -                 Down 
Eth3/9            -                 Down 
Eth3/10           -                 Down 
Eth3/11           -                 Down 
Eth3/12           -                 Down 
Eth3/13           -                 Up   
Eth3/14           -                 Up   
Eth3/16           -                 Down 
Eth3/17           -                 Down 
Eth3/18           -                 Down 
Eth1/19/2         -                 Down 
Eth1/19/3         -                 Down 
Eth1/19/4         -                 Down 
Eth1/20/1         -                 Up   
Eth1/20/1.552     -                 Up   
Eth1/20/1.2622    -                 Up   
Eth1/20/1.3003    -                 Up   
Eth1/20/1.3008    -                 Up   
Eth1/20/1.3015    -                 Up   
Eth1/20/1.3020    -                 Up   
Eth1/20/1.3025    -                 Up   
Eth1/20/1.3029    -                 Up   
Eth1/20/1.3039    -                 Up   
Eth1/20/1.3046    -                 Up   
Eth1/20/1.3065    -                 Up   
Eth1/20/1.3083    -                 Up   
Eth1/20/1.3209    -                 Up   
Eth1/20/1.3215    -                 Up   
Eth1/20/1.3220    -                 Up   
Eth1/20/1.3320    -                 Up   
Eth1/20/1.3365    -                 Up   
Eth1/20/1.3368    -                 Up   
Eth1/20/1.3379    -                 Up   
Eth1/20/1.3384    -                 Up   
Eth1/20/1.3388    -                 Up   
Eth1/20/1.3392    -                 Up   
Eth1/20/1.3397    -                 Up   
Eth1/20/1.3406    -                 Up   
Eth1/20/1.3412    -                 Up   
Eth1/20/1.3419    -                 Up   
Eth1/20/1.3437    -                 Up   
Eth1/20/1.3584    -                 Up   
Eth1/20/1.3589    -                 Up   
Eth1/20/1.3603    -                 Up   
Eth1/20/1.3608    -                 Up   
Eth1/20/1.3612    -                 Up   
Eth1/20/1.3616    -                 Up   
Eth1/20/1.3621    -                 Up   
Eth1/20/1.3634    -                 Up   
Eth1/20/1.3640    -                 Up   
Eth1/20/1.3646    -                 Up   
Eth1/20/2         -                 Down 
Eth1/20/2.3420    -                 Down 
Eth1/20/3         -                 Down 
Eth1/20/4         -                 Down 
Eth2/15/2         -                 Down 
Eth2/15/3         -                 Down 
Eth2/15/4         -                 Down 
Eth2/19/1         -                 Down 
Eth2/19/2         -                 Down 
Eth2/19/3         -                 Down 
Eth2/19/4         -                 Down 
Eth2/20/1         -                 Up   
Eth2/20/1.554     -                 Up   
Eth2/20/1.2624    -                 Up   
Eth2/20/1.3004    -                 Up   
Eth2/20/1.3009    -                 Up   
Eth2/20/1.3016    -                 Up   
Eth2/20/1.3021    -                 Up   
Eth2/20/1.3026    -                 Up   
Eth2/20/1.3031    -                 Up   
Eth2/20/1.3041    -                 Up   
Eth2/20/1.3048    -                 Up   
Eth2/20/1.3067    -                 Up   
Eth2/20/1.3085    -                 Up   
Eth2/20/1.3211    -                 Up   
Eth2/20/1.3216    -                 Up   
Eth2/20/1.3222    -                 Up   
Eth2/20/1.3322    -                 Up   
Eth2/20/1.3366    -                 Up   
Eth2/20/1.3370    -                 Up   
Eth2/20/1.3377    -                 Up   
Eth2/20/1.3382    -                 Up   
Eth2/20/1.3386    -                 Up   
Eth2/20/1.3394    -                 Up   
Eth2/20/1.3398    -                 Up   
Eth2/20/1.3407    -                 Up   
Eth2/20/1.3413    -                 Up   
Eth2/20/1.3420    -                 Up   
Eth2/20/1.3439    -                 Up   
Eth2/20/1.3586    -                 Up   
Eth2/20/1.3591    -                 Up   
Eth2/20/1.3604    -                 Up   
Eth2/20/1.3609    -                 Up   
Eth2/20/1.3613    -                 Up   
Eth2/20/1.3617    -                 Up   
Eth2/20/1.3622    -                 Up   
Eth2/20/1.3635    -                 Up   
Eth2/20/1.3641    -                 Up   
Eth2/20/1.3647    -                 Up   
Eth2/20/2         -                 Down 
Eth2/20/3         -                 Down 
Eth2/20/4         -                 Down 
Eth3/15/1         -                 Up   
Eth3/15/2         -                 Down 
Eth3/15/3         -                 Up   
Eth3/15/4         -                 Down 
