

CPU utilization for five seconds: 10%/0%; one minute: 8%; five minutes: 8%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
 5623   1281624664  2473910730      0   0.29%   0.26%  0.29%   -    platform
 9536          130  957218053      0   0.31%   0.25%  0.26%   -    isis_otv
 5699           60  3448713303      0   0.19%   0.20%  0.19%   -    pdsd
 5825      6845100  1293084832      0   0.29%   0.09%  0.07%   -    sysinfo
 9516    605791430  920167624      0   0.05%   0.03%  0.02%   -    l2fm
 9110          130  2016501430      0   0.01%   0.02%  0.02%   -    pktmgr
 9146          190  3836767712      0   0.03%   0.01%  0.00%   -    netstack
 9477           70  2305754914      0   0.00%   0.00%  0.00%   -    ecp
 9186     52130860  1321502885      0   0.00%   0.00%  0.00%   -    snmpd
 5008     41682730  504677319      0   0.03%   0.00%  0.00%   -    sysmgr
 9475          100  798434218      0   0.00%   0.00%  0.00%   -    igmp
 9529           80  878242751      0   0.00%   0.00%  0.00%   -    orib
30434          160       232      0   0.05%   0.00%  0.00%   0    vsh
 9837           90  1714103803      0   0.00%   0.00%  0.00%   -    otv
 9521    113043830  1849162031      0   0.00%   0.00%  0.00%   -    stp
 9526      8787170  25470051      0   0.01%   0.00%  0.00%   -    tunnel
 9080           80  1155185523      0   0.00%   0.00%  0.00%   -    adjmgr
 5930     36052130  31963835      1   0.00%   0.00%  0.00%   -    diagclient
 9474      7319130  117383738      0   0.00%   0.00%  0.00%   -    l2rib
 5843     80170830  113416629      0   0.00%   0.00%  0.00%   -    diagmgr
 5846      7975830  86802417      0   0.00%   0.00%  0.00%   -    clk_mgr
 9016      3053840  108942107      0   0.00%   0.00%  0.00%   -    securityd
 9518     13429580  68186238      0   0.00%   0.00%  0.00%   -    ethpm
 9228      8753650  121126262      0   0.00%   0.00%  0.00%   -    tacacs
 6401      7453160  57356468      0   0.00%   0.00%  0.00%   -    pltfm_config
 9531          100  279834698      0   0.00%   0.00%  0.00%   -    mrib
 8951       583580  13681102      0   0.00%   0.00%  0.00%   -    vshd
 5702      1047800  22153480      0   0.00%   0.00%  0.00%   -    licmgr
 5698      1077330  22265833      0   0.00%   0.00%  0.00%   -    pixm_gl
 5703       657630   6692779      0   0.00%   0.00%  0.00%   -    fs-daemon
 5707       558570  43649219      0   0.00%   0.00%  0.00%   -    bloggerd
 5822       859310  21823160      0   0.00%   0.00%  0.00%   -    vdc_mgr
 5830        65390   2102833      0   0.00%   0.00%  0.00%   -    res_mgr
 5831      2821710  109031926      0   0.00%   0.00%  0.00%   -    plugin
 5832       867590  21810621      0   0.00%   0.00%  0.00%   -    pltfm_debug
 5946   4154437386   8398061    494   0.00%   0.00%  0.00%   -    xbar
 6006     22302370  202316083      0   0.00%   0.00%  0.00%   -    module
 6030     11591970  99036329      0   0.00%   0.00%  0.00%   -    ifmgr
 6399       938260  21810705      0   0.00%   0.00%  0.00%   -    sim
 6404      1100120  23397824      0   0.00%   0.00%  0.00%   -    pixmc
 6407    537770292  21801991     24   0.00%   0.00%  0.00%   -    monitorc
 6411       993390  21804452      0   0.00%   0.00%  0.00%   -    giscm
 6459   3766089048  109131410     34   0.00%   0.00%  0.00%   -    diag_port_lb
 8916      4186560  108980618      0   0.00%   0.00%  0.00%   -    syslogd
 8943          530      2924      0   0.00%   0.00%  0.00%   -    confcheck
 8944      1439830  38026378      0   0.00%   0.00%  0.00%   -    feature-mgr
 8945        75920   1818409      0   0.00%   0.00%  0.00%   -    mmode
 8946       941400  22066685      0   0.00%   0.00%  0.00%   -    pixm_vl
 8947      3129490  108916383      0   0.00%   0.00%  0.00%   -    psshelper
 8948       857340  21802233      0   0.00%   0.00%  0.00%   -    session-mgr
 8949           70   3999818      0   0.00%   0.00%  0.00%   -    smm
 8950       860150  21802860      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 8969       387980   7671605      0   0.00%   0.00%  0.00%   -    clis
 9001       157900   3693136      0   0.00%   0.00%  0.00%   -    port-profile
 9014      2769970  108967366      0   0.00%   0.00%  0.00%   -    aaa
 9015      2862690  108915010      0   0.00%   0.00%  0.00%   -    cert_enroll
 9017       550970  13635486      0   0.00%   0.00%  0.00%   -    ascii-cfg
 9018       832430  21802279      0   0.00%   0.00%  0.00%   -    cli_acl
 9019       220410   5451113      0   0.00%   0.00%  0.00%   -    evmc
 9021       283070   7268030      0   0.00%   0.00%  0.00%   -    evms
 9022           60       702      0   0.00%   0.00%  0.00%   -    mping_server
 9023       293070   7268116      0   0.00%   0.00%  0.00%   -    mvsh
 9025      2795440  108915106      0   0.00%   0.00%  0.00%   -    sksd
 9026       444250  11217844      0   0.00%   0.00%  0.00%   -    snmpmib_proc
 9027      4394830  33700675      0   0.00%   0.00%  0.00%   -    statsprofiler
 9028       838510  13628496      0   0.00%   0.00%  0.00%   -    vman
 9029       847880  21800241      0   0.00%   0.00%  0.00%   -    vmm
 9030      1339900  36312855      0   0.00%   0.00%  0.00%   -    xmlma
 9031       834540  21802267      0   0.00%   0.00%  0.00%   -    xmpp
 9032           90   4005737      0   0.00%   0.00%  0.00%   -    l3vm
 9033           90  115738330      0   0.00%   0.00%  0.00%   -    urib
 9057       848210  21802177      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 9075      4239510   6479544      0   0.00%   0.00%  0.00%   -    aclmgr
 9081       844430  21806426      0   0.00%   0.00%  0.00%   -    ncpinframgr
 9082           80  13802962      0   0.00%   0.00%  0.00%   -    u6rib
 9101          110   5816005      0   0.00%   0.00%  0.00%   -    npacl
 9104          130  121340110      0   0.00%   0.00%  0.00%   -    arp
 9105           90   9457050      0   0.00%   0.00%  0.00%   -    icmpv6
 9177      5412120  108921606      0   0.00%   0.00%  0.00%   -    radius
 9179      2783090  32580481      0   0.00%   0.00%  0.00%   -    cdp
 9181      1281170  25425722      0   0.00%   0.00%  0.00%   -    cfs
 9182           30       639      0   0.00%   0.00%  0.00%   -    ip_dummy
 9183           40       639      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 9184       498560   6253312      0   0.00%   0.00%  0.00%   -    ntp
 9185       873940  21804336      0   0.00%   0.00%  0.00%   -    otm
 9188           30       639      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 9234      6007810  109028364      0   0.00%   0.00%  0.00%   -    ntpd
 9239      3209210  110807806      0   0.00%   0.00%  0.00%   -    callhome
 9244         2810     17417      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 9468           90  50363039      0   0.00%   0.00%  0.00%   -    rpm
 9469       841230  21802874      0   0.00%   0.00%  0.00%   -    plsm
 9470      1729750  27298597      0   0.00%   0.00%  0.00%   -    plcmgr
 9471      4448950  34571966      0   0.00%   0.00%  0.00%   -    pfstat
 9473      1117770  22682012      0   0.00%   0.00%  0.00%   -    lim
 9476       310100   7279499      0   0.00%   0.00%  0.00%   -    eltm
 9479       149760   7268788      0   0.00%   0.00%  0.00%   -    adbm
 9480       357740   5379905      0   0.00%   0.00%  0.00%   -    acllog
 9484     27911260  230877096      0   0.00%   0.00%  0.00%   -    monitor
 9487       932460  21803341      0   0.00%   0.00%  0.00%   -    iscm
 9511       777060  11275513      0   0.00%   0.00%  0.00%   -    eth_port_channel
 9512       424600  10938398      0   0.00%   0.00%  0.00%   -    vlan_mgr
 9517       676650  12774410      0   0.00%   0.00%  0.00%   -    eth_dstats
 9519     13580340  47240264      0   0.00%   0.00%  0.00%   -    ipqosmgr
 9520      3838940  23224686      0   0.00%   0.00%  0.00%   -    lacp
 9522       329820   4498970      0   0.00%   0.00%  0.00%   -    aclqos
 9525       421330  10898232      0   0.00%   0.00%  0.00%   -    u2
 9527       959850   6258670      0   0.00%   0.00%  0.00%   -    spm
 9528       890150  21802863      0   0.00%   0.00%  0.00%   -    sal
 9530           90  36352117      0   0.00%   0.00%  0.00%   -    oim
 9532      5791530  42201882      0   0.00%   0.00%  0.00%   -    mfdm
 9533       896860  21802524      0   0.00%   0.00%  0.00%   -    mcm
 9534           90  377553592      0   0.00%   0.00%  0.00%   -    m6rib
 9535     30147380  115253432      0   0.00%   0.00%  0.00%   -    l2pt
 9537           90  550668414      0   0.00%   0.00%  0.00%   -    eigrp
 9784      2088220  32366154      0   0.00%   0.00%  0.00%   -    ufdm
 9795          100  630786330      0   0.00%   0.00%  0.00%   -    mcastfwd
 9800       360150   5737229      0   0.00%   0.00%  0.00%   -    m2rib
