

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1      1307742  26050492     50    0.0%  init
    2            3       304     10    0.0%  kthreadd
    3        11888   2702318      4    0.0%  migration/0
    4     10523907  2147483647      4    0.0%  ksoftirqd/0
    5      1096306  33522975     32    0.0%  watchdog/0
    6        10855   2418913      4    0.0%  migration/1
    7      9993890  2147483647      3    0.0%  ksoftirqd/1
    8        85992  33522975      2    0.0%  watchdog/1
    9     12138816  186684262     65    0.0%  events/0
   10      4737113  165632621     28    0.0%  events/1
   11            1        54     23    0.0%  khelper
   12           27        10   2735    0.0%  netns
   13           16      3408      4    0.0%  kblockd/0
   14           10      1176      8    0.0%  kblockd/1
   15            0         2      0    0.0%  kacpid
   16            0         2      0    0.0%  kacpi_notify
   17            0         2      0    0.0%  ksuspend_usbd
   18           13       312     41    0.0%  khubd
   19       100017  13896151      7    0.0%  pdflush
   20        69156   9505138      7    0.0%  pdflush
   21            0         2      0    0.0%  kswapd0
   22            0         2      2    0.0%  aio/0
   23            0         2      1    0.0%  aio/1
   24            0         2      0    0.0%  nfsiod
   25            0         2      1    0.0%  kide/0
   26            0         2      1    0.0%  kide/1
   29            0         2      2    0.0%  scsi_eh_0
   30       191168  33539930      5    0.0%  usb-storage
   32            0         2      2    0.0%  rpciod/0
   33            0        17      8    0.0%  rpciod/1
   34       559757  121611863      4    0.0%  kirqd
  439           14         2   7399    0.0%  jffs2_gcd_mtd2
  545       116030   4181708     27    0.0%  kjournald
  550        65160   3848349     16    0.0%  kjournald
 1235        59811   3648044     16    0.0%  kjournald
 1244        70265   3604875     19    0.0%  kjournald
 1756            1        30     38    0.0%  portmap
 1765            4         5    853    0.0%  rpc.statd
 1780            0         2      3    0.0%  lockd
 1781          107     30022      3    0.0%  nfsd
 1782          108     30021      3    0.0%  nfsd
 1783          108     30017      3    0.0%  nfsd
 1784          102     30003      3    0.0%  nfsd
 1785          122     30004      4    0.0%  nfsd
 1786          100     30009      3    0.0%  nfsd
