

CPU utilization for five seconds: 38%/1%; one minute: 27%; five minutes: 18%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1       774510   8262787      0   0.00%   0.00%  0.00%   -    init
 1748       516240  33819706      0   0.00%   0.00%  0.00%   1    vsh
 1749       511390  33813644      0   0.00%   0.00%  0.00%   2    vsh
 1750       513780  33814461      0   0.00%   0.00%  0.00%   3    vsh
 1751       514930  33814728      0   0.00%   0.00%  0.00%   4    vsh
 2545           10        31      0   0.00%   0.00%  0.00%   -    portmap
 2554           10         6      1   0.00%   0.00%  0.00%   -    rpc.statd
 2582            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 2605      2641490  76170482      0   0.00%   0.00%  0.00%   -    sysmgr
 3530        17700   3724300      0   0.00%   0.00%  0.00%   -    insmod
 3969           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3970           10         4      2   0.00%   0.00%  0.00%   -    tftpd
 3971       831000  46873355      0   0.00%   0.00%  0.00%   -    syslogd
 3972           60       433      0   0.00%   0.00%  0.00%   -    sdwrapd
 3973    923752360  535939436      1   4.58%   2.07%  2.18%   -    pfma
 3997          100      2210      0   0.00%   0.00%  0.00%   -    klogd
 4035       194140   9385099      0   0.00%   0.38%  0.08%   -    vshd
 4036          130   1256611      0   0.00%   0.00%  0.00%   -    smm
 4037       344010  37334064      0   0.00%   0.00%  0.00%   -    psshelper
 4038        18960   1239771      0   0.00%   0.00%  0.00%   -    mmode
 4039        29440    627636      0   0.00%   0.00%  0.00%   -    lmgrd
 4040       129160   7491495      0   0.00%   0.00%  0.00%   -    licmgr
 4041      1411610   1852253      0   0.00%   0.06%  0.10%   -    fs-daemon
 4042     18937030  295681321      0   0.00%   0.00%  0.00%   -    feature-mgr
 4043        93550   7474394      0   0.00%   0.00%  0.00%   -    fcfwd
 4044         5530     46578      0   0.00%   0.00%  0.00%   -    confcheck
 4045       103820   7303283      0   0.00%   0.00%  0.00%   -    capability
 4046        67710  14083515      0   0.00%   0.00%  0.00%   -    bloggerd
 4047       344630  37333988      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 4058       126030    666926      0   0.00%   0.00%  0.00%   -    cisco
 4059       196320   5287619      0   0.00%   0.00%  0.00%   -    clis
 4088      1103970   9255818      0   0.00%   0.00%  0.01%   -    port-profile
 4090       114410   7311523      0   0.00%   0.00%  0.00%   -    provision
 4097       208900  14490373      0   0.00%   0.00%  0.00%   -    zschk
 4098       230690  14498526      0   0.00%   0.00%  0.00%   -    xmpp
 4099       191360  12473020      0   0.00%   0.00%  0.00%   -    xmlma
 4100       207820  14491314      0   0.00%   0.00%  0.00%   -    vmm
 4101       161770   4720354      0   0.00%   0.00%  0.00%   -    vman
 4102       209690  14501377      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4103       194300  18678241      0   0.00%   0.00%  0.00%   -    ttyd
 4104       125600  141684539      0   0.39%   0.46%  0.46%   -    sysinfo
 4105       233740  12415914      0   0.00%   0.00%  0.00%   -    sunnyvale
 4106     23693830  133277801      0   0.00%   0.02%  0.03%   -    statsprofiler
 4107          400      1701      0   0.00%   0.00%  0.00%   -    sksd
 4108     19132730   6302369      3   0.09%   0.02%  0.02%   -    sensor
 4110         7970    715888      0   0.00%   0.00%  0.00%   -    res_mgr
 4111       346250  37607058      0   0.00%   0.00%  0.00%   -    plugin
 4112       460370  15559480      0   0.00%   0.00%  0.00%   -    pltfm_config
 4113       284280   7494458      0   0.00%   0.00%  0.00%   -    plog_sup
 4114      1794700  23823483      0   0.00%   0.00%  0.00%   -    pfstat
 4115        16120   1252169      0   0.00%   0.00%  0.00%   -    patch-installer
 4116       113660   4704783      0   0.00%   0.00%  0.00%   -    obfl
 4117      3558350  44631479      0   0.00%   0.00%  0.00%   -    nohms
 4119      8428180  152494650      0   0.00%   0.01%  0.01%   -    nfp
 4120        74440   4905289      0   0.00%   0.00%  0.00%   -    mvsh
 4121       223570  14494702      0   0.00%   0.00%  0.00%   -    mcm
 4122       228590  14500175      0   0.09%   0.00%  0.00%   -    lim
 4123       465820  37371041      0   0.00%   0.00%  0.00%   -    ledmgr
 4124      1483290  41785147      0   0.00%   0.00%  0.00%   -    l2rib
 4125       868270  14230500      0   0.00%   0.00%  0.00%   -    ifmgr
 4126       761090   7735715      0   0.00%   0.00%  0.00%   -    idehsd
 4127        71120   4904014      0   0.00%   0.00%  0.00%   -    evms
 4129        56150   3688875      0   0.00%   0.00%  0.00%   -    evmc
 4130    272640570  29181927      9   0.00%   0.12%  0.28%   -    ethpc
 4131     15458800  249824587      0   0.00%   0.01%  0.01%   -    eth_dstats
 4132          290      2046      0   0.00%   0.00%  0.00%   -    core-dmon
 4134   1093938180  3349927325      0   1.56%   1.40%  1.48%   -    carmelusd
 4135       170960  18680487      0   0.00%   0.00%  0.00%   -    bootvar
 4136        99060   7468284      0   0.00%   0.00%  0.00%   -    bios_daemon
 4137       485990  37333625      0   0.00%   0.00%  0.00%   -    bfdc
