

CPU utilization for five seconds: 13%/0%; one minute: 7%; five minutes: 4%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1      1525380  27356117      0   0.00%   0.00%  0.00%   -    init
 2011           10        30      0   0.00%   0.00%  0.00%   -    portmap
 2020           10         6      1   0.00%   0.00%  0.00%   -    rpc.statd
 2048            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 2071     11648690  272772575      0   0.00%   0.00%  0.00%   -    sysmgr
 3125        52400  13488233      0   0.00%   0.00%  0.00%   -    insmod
 3233           10        19      0   0.00%   0.00%  0.00%   S0    getty
 3633           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3634           10         8      1   0.00%   0.00%  0.00%   -    tftpd
 3635      2461390  167327366      0   0.00%   0.00%  0.00%   -    syslogd
 3636          200      1301      0   0.00%   0.00%  0.00%   -    sdwrapd
 3637   1779468500  650858133      2   0.21%   0.25%  0.32%   -    pfma
 3685       753600  33796841      0   0.00%   0.00%  0.00%   -    vshd
 3686          110   4509028      0   0.00%   0.00%  0.00%   -    smm
 3687      1560760  134897768      0   0.00%   0.00%  0.00%   -    psshelper
 3688       103940   2250297      0   0.00%   0.00%  0.00%   -    lmgrd
 3689       811080  30446772      0   0.00%   0.00%  0.00%   -    licmgr
 3690      1898150   4583261      0   0.00%   0.01%  0.02%   -    fs-daemon
 3691      3678170  66950465      0   0.00%   0.00%  0.00%   -    feature-mgr
 3692       424800  26980524      0   0.00%   0.00%  0.00%   -    fcfwd
 3693         2280     19305      0   0.00%   0.00%  0.00%   -    confcheck
 3694       269870  13516222      0   0.00%   0.00%  0.00%   -    capability
 3695      1529780  134897969      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3703       681090  17766529      0   0.00%   0.00%  0.00%   -    clis
 3706       790210   4501469      0   0.00%   0.00%  0.00%   -    cisco
 3708          200      3660      0   0.00%   0.00%  0.00%   -    klogd
 3715      1438170  28043210      0   0.00%   0.00%  0.00%   -    port-profile
 3717       293890  13524371      0   0.00%   0.00%  0.00%   -    provision
 3723       559630  27065851      0   0.00%   0.00%  0.00%   -    zschk
 3724       543210  27064964      0   0.00%   0.00%  0.00%   -    xmpp
 3725       736640  44970229      0   0.00%   0.00%  0.00%   -    xmlma
 3726       538250  27062161      0   0.00%   0.00%  0.00%   -    vmm
 3727       606050  16867684      0   0.00%   0.00%  0.00%   -    vman
 3728       545180  27078036      0   0.00%   0.00%  0.00%   -    vdc_mgr
 3729       721250  67451610      0   0.00%   0.00%  0.00%   -    ttyd
 3730       372550  215033305      0   0.11%   0.11%  0.11%   -    sysinfo
 3731    100828370  512043903      0   0.00%   0.00%  0.00%   -    statsprofiler
 3732         1490      5860      0   0.00%   0.00%  0.00%   -    sksd
 3733    114309780  15027138      7   0.00%   0.00%  0.00%   -    sensor
 3735        32470   2578312      0   0.00%   0.00%  0.00%   -    res_mgr
 3736      1419130  134905817      0   0.00%   0.00%  0.00%   -    plugin
 3737      1436110  36006883      0   0.00%   0.00%  0.00%   -    pltfm_config
 3738      2693980  27033953      0   0.00%   0.00%  0.00%   -    plog_sup
 3739      6759450  60230648      0   0.00%   0.00%  0.00%   -    pfstat
 3740        65370   4514458      0   0.00%   0.00%  0.00%   -    patch-installer
 3741     12135110  53854689      0   0.00%   0.00%  0.00%   -    pacifica
 3742       381470  16869775      0   0.00%   0.00%  0.00%   -    obfl
 3743       274200  13516920      0   0.00%   0.00%  0.00%   -    nohms
 3744     12797520  542779361      0   0.00%   0.00%  0.00%   -    nfp
 3745       194370   9011621      0   0.00%   0.00%  0.00%   -    mvsh
 3746       576060  27065337      0   0.00%   0.00%  0.00%   -    mcm
 3747       606650  27079360      0   0.00%   0.00%  0.00%   -    lim
 3748      1804540  134906175      0   0.00%   0.00%  0.00%   -    ledmgr
 3749      2289260  34196629      0   0.00%   0.00%  0.00%   -    ifmgr
 3750      2590720  27003463      0   0.00%   0.00%  0.00%   -    idehsd
 3751       183350   9011688      0   0.00%   0.00%  0.00%   -    evms
 3753       146460   6759731      0   0.00%   0.00%  0.00%   -    evmc
 3754    405017200  63955368      6   0.00%   0.01%  0.02%   -    ethpc
 3755    123978540  2115232654      0   0.01%   0.00%  0.00%   -    eth_dstats
 3756         6930      4837      1   0.00%   0.00%  0.00%   -    core-dmon
 3758       717070  67466395      0   0.00%   0.00%  0.00%   -    bootvar
 3759       335270  26978532      0   0.00%   0.00%  0.00%   -    bios_daemon
 3760   2147483620  3912808129      0   0.01%   0.02%  0.02%   -    bigsurusd
 3761      1307860  81884030      0   0.00%   0.00%  0.00%   -    bfdc
 3762       721280  35973836      0   0.00%   0.00%  0.00%   -    bcm_usd
 3763       252690  13488807      0   0.00%   0.00%  0.00%   -    athertonusd
 3764       283590  16873455      0   0.00%   0.00%  0.00%   -    ascii-cfg
 3765        97970   4506072      0   0.00%   0.00%  0.00%   -    adbm
 3766      1749200  134923379      0   0.00%   0.00%  0.00%   -    securityd
 3767      1053420  12275694      0   0.00%   0.00%  0.00%   -    PMon
 3768      1567190  134901016      0   0.00%   0.00%  0.00%   -    cert_enroll
 3769      1574540  134966218      0   0.00%   0.00%  0.00%   -    aaa
 3787          200   4534224      0   0.00%   0.00%  0.00%   -    l3vm
 3788          180  139502924      0   0.00%   0.00%  0.00%   -    urib
 3792       215950   3569594      0   0.00%   0.00%  0.00%   -    aclmgr
 3795   1397492740  2662674615      0   0.21%   0.10%  0.09%   -    fwm
 3796       561320  27112256      0   0.00%   0.00%  0.00%   -    qd
 3797    950109920  2756493338      0   0.39%   2.22%  1.03%   -    statsclient
 3808           20        23      0   0.00%   0.00%  0.00%   -    core-client
 3815          130  2340606329      0   0.00%   0.00%  0.00%   -    adjmgr
 3816          200  28644312      0   0.00%   0.00%  0.00%   -    u6rib
 3822      7917890   3901592      2   0.00%   0.00%  0.00%   -    copp
 3823          760   7413059      0   0.00%   0.00%  0.00%   -    npacl
 3824       153500   2813516      0   0.00%   0.00%  0.00%   -    spm
 3843          760  14725039      0   0.00%   0.00%  0.00%   -    arp
 3845          610   7988570      0   0.00%   0.00%  0.00%   -    icmpv6
 3851      1818960  134921455      0   0.00%   0.00%  0.00%   -    callhome
 3854          250  1303963062      0   0.47%   0.31%  0.23%   -    pktmgr
 3855       574700  27065384      0   0.00%   0.00%  0.00%   -    sal
 3909    306525040  1473027289      0   0.01%   0.15%  0.06%   -    fex
 3912     35075210  313788131      0   0.00%   0.09%  0.18%   -    lldp
 3913          340  701832973      0   0.54%   0.26%  0.11%   -    netstack
 3955      4171790  245284467      0   0.00%   0.00%  0.00%   -    radius
 3956       281100   6650962      0   0.00%   0.00%  0.00%   -    acllog
 3957     13288230  45112408      0   0.00%   0.00%  0.00%   -    cdp
 3958    466088780  3416126259      0   0.05%   0.04%  0.03%   -    cfs
 3959          160  703990751      0   0.00%   0.01%  0.01%   -    ecp
 3960          160  2900298974      0   0.03%   0.07%  0.07%   -    igmp
 3961           50       949      0   0.00%   0.00%  0.00%   -    ip_dummy
 3962           40       961      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 3964          150  346541710      0   0.00%   0.00%  0.00%   -    mrib
 3965       569000  27085091      0   0.00%   0.00%  0.00%   -    otm
 3966          150  54199934      0   0.00%   0.00%  0.00%   -    rpm
 3967           40       913      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4000      9544090  147735009      0   0.00%   0.00%  0.00%   -    tacacs
 4018         4160     27031      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 4027       647270  27111651      0   0.00%   0.00%  0.00%   -    iscm
 4028          150   4616008      0   0.00%   0.00%  0.00%   -    mcastfwd
 4046   2147499808  684764347      3   0.00%   0.00%  0.00%   -    afm
 4047       954800   8306597      0   0.00%   0.00%  0.00%   -    m2rib
 4048    658397930  2513901328      0   1.37%   0.16%  0.07%   -    stp
 4049        95830   1368642      0   0.00%   0.00%  0.00%   -    ptplc
 4050       652820  27075768      0   0.00%   0.00%  0.00%   -    monitor
 4051       623960   7811387      0   0.00%   0.00%  0.00%   -    ntp
 4056      7015920  208896581      0   0.00%   0.00%  0.00%   -    ntpd
 4057      1742380  24342927      0   0.09%   0.01%  0.00%   -    eth_port_channel
 4058     17814790  17660027      1   0.00%   0.02%  0.00%   -    vlan_mgr
 4059      3187440  46437539      0   0.00%   0.00%  0.00%   -    ipqosmgr
 4060     36785530  469689800      0   0.00%   0.00%  0.00%   -    lacp
 4062    497016310  2741590248      0   1.11%   0.23%  0.12%   -    ethpm
 4063      3573740  61893869      0   0.00%   0.00%  0.00%   -    interface-vlan
 4064     17583680  235328784      0   0.00%   0.00%  0.00%   -    vpc
 4067      1681390  40419194      0   0.00%   0.00%  0.00%   -    btcm
 4068    727499770  237244635      3   0.05%   0.07%  0.06%   -    udld
 4081      2058740  13109059      0   0.00%   0.00%  0.00%   -    mfdm
 4082      1050470  28634990      0   0.00%   0.00%  0.00%   -    ufdm
 4658           10         8      1   0.00%   0.00%  0.00%   -    sh
 4665           20        60      0   0.00%   0.00%  0.00%   -    libvirtd
 6729          940     11297      0   0.31%   0.11%  0.02%   -    dcos_sshd
 6736          350       318      1   0.05%   0.00%  0.00%   0    vsh
24652    154726620  349860583      0   0.41%   0.37%  0.52%   -    snmpd
