

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/29       1       trnk-bndl     Po1001
Eth1/30       1       trnk-bndl     Po1000
Eth1/31       1       trnk-bndl     Po7
Eth1/32       1       trnk-bndl     Po7
Eth1/33       1       trnk-bndl     Po7
Eth1/34       1       trnk-bndl     Po7
Eth1/35       1       trnk-bndl     Po1000
Eth1/36       1       trnk-bndl     Po1001
Eth1/39       1       trnk-bndl     Po390
Eth1/40       1       trnk-bndl     Po390
Eth1/41       1       trnk-bndl     Po391
Eth1/42       1       trnk-bndl     Po391
Po7           1       trunking      --
Po301         1       trunking      --
Po302         1       trunking      --
Po303         1       trunking      --
Po304         1       trunking      --
Po305         1       trunking      --
Po306         1       trunking      --
Po307         1       trunking      --
Po308         1       trunking      --
Po309         1       trunking      --
Po310         1       trunking      --
Po311         1       trunking      --
Po312         1       trunking      --
Po313         1       trunking      --
Po314         1       trunking      --
Po315         1       trunking      --
Po316         1       trunking      --
Po317         1       trunking      --
Po318         1       trunking      --
Po319         1       trunking      --
Po320         1       trunking      --
Po321         1       trunking      --
Po322         1       trunking      --
Po323         1       trunking      --
Po324         1       trunking      --
Po325         1       trunking      --
Po326         1       trunking      --
Po327         1       trunking      --
Po328         1       trunking      --
Po329         1       trunking      --
Po330         1       trunking      --
Po331         1       trunking      --
Po332         1       trunking      --
Po333         1       trunking      --
Po334         1       trunking      --
Po335         1       trunking      --
Po336         1       trunking      --
Po337         1       trunking      --
Po338         1       trunking      --
Po339         1       trunking      --
Po340         1       trunking      --
Po341         1       trunking      --
Po342         1       trunking      --
Po343         1       trunking      --
Po344         1       trunking      --
Po345         1       trunking      --
Po346         1       trunking      --
Po347         1       trunking      --
Po348         1       trunking      --
Po349         1       trunking      --
Po350         1       trunking      --
Po351         1       trunking      --
Po352         1       trunking      --
Po353         1       trunking      --
Po354         1       trunking      --
Po355         1       trunking      --
Po356         1       trunking      --
Po357         1       trunking      --
Po358         1       trunking      --
Po359         1       trunking      --
Po360         1       trunking      --
Po361         1       trunking      --
Po362         1       trunking      --
Po363         1       trunking      --
Po364         1       trunking      --
Po365         1       trunking      --
Po366         1       trunking      --
Po367         1       trunking      --
Po368         1       trunking      --
Po369         1       trunking      --
Po370         1       trunking      --
Po371         1       trunking      --
Po372         1       trunking      --
Po373         1       trunking      --
Po374         1       trunking      --
Po375         1       trunking      --
Po376         1       trunking      --
Po377         1       trunking      --
Po378         1       trunking      --
Po379         1       trunking      --
Po380         1       trunking      --
Po381         1       trunking      --
Po382         1       trunking      --
Po383         1       trunking      --
Po384         1       trunking      --
Po385         1       trunking      --
Po386         1       trunking      --
Po387         1       trunking      --
Po388         1       trunking      --
Po389         1       trunking      --
Po390         1       trunking      --
Po391         1       trunking      --
Po392         1       trunking      --
Po393         1       trunking      --
Po394         1       trunking      --
Po395         1       trunking      --
Po396         1       trunking      --
Po397         1       trunking      --
Po398         1       trunking      --
Po399         1       trunking      --
Po400         1       trunking      --
Po401         1       trunking      --
Po402         1       trunking      --
Po403         1       trunking      --
Po404         1       trunking      --
Po405         1       trunking      --
Po406         1       trunking      --
Po407         1       trunking      --
Po408         1       trunking      --
Po409         1       trunking      --
Po410         1       trunking      --
Po411         1       trunking      --
Po412         1       trunking      --
Po413         1       trunking      --
Po414         1       trunking      --
Po415         1       trunking      --
Po416         1       trunking      --
Po417         1       trunking      --
Po418         1       trunking      --
Po419         1       trunking      --
Po420         1       trunking      --
Po421         1       trunking      --
Po424         1       trunking      --
Po425         1       trunking      --
Po428         1       trunking      --
Po429         1       trunking      --
Po430         1       trunking      --
Po431         1       trunking      --
Po432         1       trunking      --
Po434         1       trunking      --
Po435         1       trunking      --
Po436         1       trunking      --
Po1000        1       trunking      --
Po1001        1       trunking      --
Eth102/1/12   1       trunking      --
Eth102/1/13   1       trunking      --
Eth102/1/14   1       trunking      --
Eth102/1/15   1       trunking      --
Eth102/1/17   1       trunking      --
Eth102/1/18   1       trunking      --
Eth102/1/19   1       trunking      --
Eth102/1/20   1       trunking      --
