

CPU utilization for five seconds: 9%/1%; one minute: 4%; five minutes: 2%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1      1157910  20836109      0   0.00%   0.00%  0.00%   -    init
 2452           10        30      0   0.00%   0.00%  0.00%   -    portmap
 2461           10         6      1   0.00%   0.00%  0.00%   -    rpc.statd
 2489            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 2512      6603710  210612665      0   0.00%   0.00%  0.00%   -    sysmgr
 3563        40740  10415467      0   0.00%   0.00%  0.00%   -    insmod
 4072           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 4073           10         5      2   0.00%   0.00%  0.00%   -    tftpd
 4074      1631240  129932953      0   0.00%   0.00%  0.00%   -    syslogd
 4075          110       832      0   0.00%   0.00%  0.00%   -    sdwrapd
 4076   1879882040  596134024      3   0.25%   0.27%  0.24%   -    pfma
 4125       495700  26091180      0   0.00%   0.00%  0.00%   -    vshd
 4126          120   3478424      0   0.00%   0.00%  0.00%   -    smm
 4127       962360  104167367      0   0.00%   0.00%  0.00%   -    psshelper
 4128        33540   1738813      0   0.00%   0.00%  0.00%   -    mmode
 4129        77050   1736505      0   0.00%   0.00%  0.00%   -    lmgrd
 4130       334290  20851403      0   0.00%   0.00%  0.00%   -    licmgr
 4131       535010   2269110      0   0.00%   0.06%  0.03%   -    fs-daemon
 4132      1861550  37999314      0   0.00%   0.00%  0.00%   -    feature-mgr
 4133       243620  20833681      0   0.00%   0.00%  0.00%   -    fcfwd
 4134         9150     72314      0   0.00%   0.00%  0.00%   -    confcheck
 4135       185230  10435273      0   0.00%   0.00%  0.00%   -    capability
 4136       954900  104167618      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 4147       330990   1738892      0   0.00%   0.00%  0.00%   -    cisco
 4148       336330  12372608      0   0.00%   0.00%  0.00%   -    clis
 4150          170      3151      0   0.00%   0.00%  0.00%   -    klogd
 4157       778180  21066062      0   0.00%   0.00%  0.00%   -    port-profile
 4159       205450  10444874      0   0.00%   0.00%  0.00%   -    provision
 4166       385610  20950447      0   0.00%   0.00%  0.00%   -    zschk
 4167       374860  20948286      0   0.00%   0.00%  0.00%   -    xmpp
 4168       501250  34724898      0   0.00%   0.00%  0.00%   -    xmlma
 4169       379500  20949008      0   0.00%   0.00%  0.00%   -    vmm
 4170       418160  13024715      0   0.00%   0.00%  0.00%   -    vman
 4171       384320  20963970      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4172       457750  52085640      0   0.00%   0.00%  0.00%   -    ttyd
 4173       249960  147927738      0   0.13%   0.12%  0.11%   -    sysinfo
 4174     14255030  88145171      0   0.00%   0.00%  0.00%   -    statsprofiler
 4175          930      3777      0   0.00%   0.00%  0.00%   -    sksd
 4176     15019320  10378268      1   0.00%   0.00%  0.00%   -    sensor
 4178        20360   1987198      0   0.00%   0.00%  0.00%   -    res_mgr
 4179       864880  104174267      0   0.00%   0.00%  0.00%   -    plugin
