
Mount-on                  1K-blocks      Used   Available   Use%  Filesystem
/                            409600     76396      333204     19   /dev/root
/proc                             0         0           0      0   proc
/post                          2048         4        2044      1   none
/var                         409600     76396      333204     19   none
/sys                              0         0           0      0   none
/isan                       2097152   1198656      898496     58   none
/var/tmp                     512000       800      511200      1   none
/var/sysmgr                 2048000       204     2047796      1   none
/nxos/tmp                     40960      1044       39916      3   none
/var/sysmgr/ftp              409600       120      409480      1   none
/var/sysmgr/ftp/cores        102400         0      102400      0   none
/callhome                     61440         0       61440      0   none
/dev/shm                     524288    258136      266152     50   none
/volatile                    153600         4      153596      1   none
/debug                        20480         0       20480      0   none
/dev/mqueue                       0         0           0      0   none
/debugfs                          0         0           0      0   nodev
/mnt/plog                     49024      1312       47712      3   /dev/mtdblock2
/mnt/cfg/0                   123967      4684      112882      4   /dev/sda5
/mnt/cfg/1                   109381      4684       99049      5   /dev/sda6
/var/sysmgr/startup-cfg      409600      9208      400392      3   none
/dev/pts                          0         0           0      0   devpts
/mnt/pss                     123999      6410      111186      6   /dev/sda4
/smack                            0         0           0      0   smackfs
/bootflash                  7184716    741796     6077948     11   /dev/sda3
/proc/bus/usb                     0         0           0      0   none
/cgroup                           0         0           0      0   vdccontrol
