
  FEX         FEX           FEX              FEX              Fex       
Number    Description      State            Model            Serial     
------------------------------------------------------------------------
102   vN5K10-2-102                Online   N2K-C2348UPQ-10GE   FOC2028R1MX
104   vN5K10-2-104                Online   N2K-C2348UPQ-10GE   FOC2026R12M
106  vN2K10-106 660c15GBI                Online         N2K-B22HP-P   FOC2044R03V
108  vN2K10-108 460c25GBI                Online         N2K-B22HP-P   FOC2039R120
110  vN2K10-110 460c25GBI                Online         N2K-B22HP-P   FOC2039R11W
112  vN2K10-112 660c15GBJ                Online         N2K-B22HP-P   FOC2039R121
114        FEX0114                Online         N2K-B22HP-P   FOC2244R0EJ
116        FEX0116                Online         N2K-B22HP-P   FOC2245R0LH
