

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/10       1       trnk-bndl     Po1001
Eth1/11       1       trnk-bndl     Po7
Eth1/12       1       trnk-bndl     Po1000
Eth2/10       1       trnk-bndl     Po1001
Eth2/11       1       trnk-bndl     Po7
Eth2/12       1       trnk-bndl     Po1000
Po7           1       trunking      --
Po201         1       trunking      --
Po202         1       trunking      --
Po203         1       trunking      --
Po204         1       trunking      --
Po205         1       trunking      --
Po206         1       trunking      --
Po207         1       trunking      --
Po208         1       trunking      --
Po209         1       trunking      --
Po210         1       trunking      --
Po211         1       trunking      --
Po212         1       trunking      --
Po213         1       trunking      --
Po214         1       trunking      --
Po215         1       trunking      --
Po216         1       trunking      --
Po217         1       trunking      --
Po218         1       trunking      --
Po219         1       trunking      --
Po220         1       trunking      --
Po221         1       trunking      --
Po222         1       trunking      --
Po223         1       trunking      --
Po224         1       trunking      --
Po225         1       trunking      --
Po226         1       trunking      --
Po227         1       trunking      --
Po228         1       trunking      --
Po229         1       trunking      --
Po230         1       trunking      --
Po233         1       trunking      --
Po234         1       trunking      --
Po350         1       trunking      --
Po351         1       trunking      --
Po352         1       trunking      --
Po357         1       trunking      --
Po358         1       trunking      --
Po359         1       trunking      --
Po360         1       trunking      --
Po361         1       trunking      --
Po362         1       trunking      --
Po363         1       trunking      --
Po364         1       trunking      --
Po381         1       trunking      --
Po382         1       trunking      --
Po383         1       trunking      --
Po384         1       trunking      --
Po385         1       trunking      --
Po386         1       trunking      --
Po387         1       trunking      --
Po388         1       trunking      --
Po389         1       trunking      --
Po390         1       trunking      --
Po391         1       trunking      --
Po392         1       trunking      --
Po393         1       trunking      --
Po394         1       trunking      --
Po395         1       trunking      --
Po396         1       trunking      --
Po397         1       trunking      --
Po398         1       trunking      --
Po399         1       trunking      --
Po400         1       trunking      --
Po401         1       trunking      --
Po402         1       trunking      --
Po403         1       trunking      --
Po404         1       trunking      --
Po405         1       trunking      --
Po406         1       trunking      --
Po407         1       trunking      --
Po408         1       trunking      --
Po409         1       trunking      --
Po410         1       trunking      --
Po411         1       trunking      --
Po413         1       trunking      --
Po423         1       trunking      --
Po1000        1       trunking      --
Po1001        1       trunking      --
Eth101/1/3    1       trnk-bndl     Po234
Eth101/1/4    1       trnk-bndl     Po233
Eth101/1/25   1       trnk-bndl     Po201
Eth101/1/26   1       trnk-bndl     Po202
Eth101/1/27   1       trnk-bndl     Po201
Eth101/1/28   1       trnk-bndl     Po202
Eth101/1/29   1       trnk-bndl     Po406
Eth101/1/30   1       trnk-bndl     Po407
Eth101/1/31   1       trnk-bndl     Po408
Eth101/1/32   1       trnk-bndl     Po409
Eth101/1/33   1       trnk-bndl     Po410
Eth101/1/34   1       trnk-bndl     Po411
Eth101/1/35   1       trnk-bndl     Po400
Eth101/1/36   1       trnk-bndl     Po401
Eth101/1/37   1       trnk-bndl     Po402
Eth101/1/38   1       trnk-bndl     Po403
Eth101/1/39   1       trnk-bndl     Po404
Eth101/1/40   1       trnk-bndl     Po405
Eth103/1/1    1       trnk-bndl     Po224
Eth103/1/2    1       trunking      --
Eth103/1/3    1       trnk-bndl     Po226
Eth103/1/4    1       trnk-bndl     Po228
Eth103/1/5    1       trnk-bndl     Po230
Eth103/1/6    1       trnk-bndl     Po352
Eth103/1/8    1       trunking      --
Eth103/1/9    1       trnk-bndl     Po223
Eth103/1/10   1       trunking      --
Eth103/1/11   1       trnk-bndl     Po225
Eth103/1/12   1       trnk-bndl     Po227
Eth103/1/13   1       trnk-bndl     Po229
Eth103/1/14   1       trnk-bndl     Po397
Eth103/1/16   1       trunking      --
Eth105/1/1    1       trnk-bndl     Po210
Eth105/1/2    1       trnk-bndl     Po204
Eth105/1/3    1       trnk-bndl     Po206
Eth105/1/4    1       trnk-bndl     Po208
Eth105/1/12   1       trnk-bndl     Po215
Eth105/1/13   1       trnk-bndl     Po217
Eth105/1/14   1       trnk-bndl     Po219
Eth105/1/15   1       trnk-bndl     Po221
Eth107/1/1    1       trnk-bndl     Po209
