
Note: 
--------::Going through port database. Please be patient.::--------

VLAN           Orphan Ports             
-------        -------------------------
139            Eth103/1/2                                                    
172            Eth103/1/2                                                    
174            Eth103/1/2                                                    
177            Eth103/1/2                                                    
178            Eth103/1/2                                                    
180            Eth103/1/2                                                    
184            Eth103/1/2                                                    
193            Eth103/1/2                                                    
280            Eth103/1/2                                                    
294            Eth103/1/2                                                    
3130           Eth103/1/2                                                    
3137           Eth103/1/2                                                    
3138           Eth103/1/2                                                    
3139           Eth103/1/2                                                    
3144           Eth103/1/2                                                    
3153           Eth103/1/2                                                    
3154           Eth103/1/2                                                    
3162           Eth103/1/2                                                    
3184           Eth103/1/2                                                    
3186           Eth103/1/2                                                    
3187           Eth103/1/2                                                    
3188           Eth103/1/2                                                    
3189           Eth103/1/2                                                    
3192           Eth103/1/2                                                    
3198           Eth103/1/2                                                    
3200           Eth103/1/2                                                    
3203           Eth103/1/2                                                    
3318           Eth103/1/2                                                    
3428           Eth103/1/2                                                    
3443           Eth103/1/2                                                    
3488           Eth103/1/2                                                    
3539           Eth103/1/2, Eth103/1/10                                       
3628           Eth103/1/2, Eth103/1/10                                       
3630           Eth103/1/2, Eth103/1/10                                       
3636           Eth103/1/2, Eth103/1/10                                       
3642           Eth103/1/2, Eth103/1/10                                       
3769           Eth103/1/2                                                    
3772           Eth103/1/2                                                    
3801           Eth101/1/1, Eth101/1/2, Eth103/1/2                            
3804           Eth103/1/2                                                    
3812           Eth103/1/2                                                    
3825           Eth103/1/2                                                    
3837           Eth103/1/2                                                    
3842           Eth103/1/2                                                    
3865           Eth103/1/2                                                    
3901           Eth103/1/2                                                    
3902           Eth103/1/2                                                    
3903           Eth103/1/2                                                    
3904           Eth103/1/2                                                    
3905           Eth103/1/2                                                    
3906           Eth103/1/2, Eth111/1/8                                        
3907           Eth103/1/2, Eth103/1/8, Eth103/1/16                           
3908           Eth103/1/2, Eth103/1/8, Eth103/1/16                           
3909           Eth103/1/2                                                    
3915           Eth103/1/2, Eth103/1/10                                       
3924           Eth103/1/2, Eth103/1/10                                       
3925           Eth103/1/2                                                    
3926           Eth103/1/2                                                    
3929           Eth103/1/2                                                    
3930           Eth103/1/2                                                    
3935           Eth103/1/2                                                    
3943           Eth103/1/2                                                    
3952           Eth103/1/2, Eth103/1/8, Eth103/1/10                           
3953           Eth103/1/2, Eth103/1/8, Eth103/1/10                           
3954           Eth101/1/10, Eth101/1/11, Eth101/1/12, Eth101/1/13,           
               Eth101/1/14, Eth101/1/15, Eth101/1/19, Eth101/1/20,           
               Eth101/1/23, Eth101/1/24                                      
3957           Eth103/1/2, Eth105/1/9, Eth107/1/9, Eth107/1/16               
3958           Eth103/1/2                                                    
3965           Eth103/1/2                                                    
3966           Eth103/1/2, Eth103/1/10                                       
