

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1         1066  21540471      0    0.0%  init
    2          503   3296308      0    0.0%  migration/0
    3         1825  1602689984      0    0.0%  ksoftirqd/0
    4         1529   6086063      0    0.0%  desched/0
    5          880   3405999      0    0.0%  migration/1
    6          909  52254695      0    0.0%  ksoftirqd/1
    7         1134   5993604      0    0.0%  desched/1
    8         1304  91426962      0    0.0%  events/0
    9          713  98005686      0    0.0%  events/1
   10          507    153391      3    0.0%  khelper
   15            0        32     15    0.0%  kthread
   24            0         2      2    0.0%  kacpid
  463          324     18766     17    0.0%  kblockd/0
  464          296     16796     17    0.0%  kblockd/1
  477            7       441     16    0.0%  khubd
  545          878  10359465      0    0.0%  pdflush
  546            0         1      3    0.0%  kswapd0
  547            0         2      1    0.0%  aio/0
  548            0         2      1    0.0%  aio/1
 1106            0         2      1    0.0%  kide/0
 1107            0         2      1    0.0%  kide/1
 1110            0         2      1    0.0%  ata/0
 1111            0         2      1    0.0%  ata/1
 1116            0         1      2    0.0%  mtdblockd
 1178          751  1604077792      0    0.0%  kirqd
 1189            0         1      4    0.0%  scsi_eh_0
 1190          161   1162663      0    0.0%  usb-storage
 1497         1574   6566756      0    0.0%  cmond/0
 1498         1319   6566745      0    0.0%  cmond/1
 1714           46       258    179    0.0%  kjournald
 1722           76       205    375    0.0%  kjournald
 2495           27        22   1257    0.0%  jffs2_gcd_mtd2
 2555         1686    194449      8    0.0%  kjournald
 2570         1029       615   1673    0.0%  kjournald
 3058            0        21     35    0.0%  portmap
 3067           94     27375      3    0.0%  nfsd
 3068           86     27363      3    0.0%  nfsd
 3069           90     27363      3    0.0%  nfsd
 3070           85     27363      3    0.0%  nfsd
 3071           85     27363      3    0.0%  nfsd
 3072           85     27363      3    0.0%  nfsd
 3073           89     27365      3    0.0%  nfsd
 3074           86     27365      3    0.0%  nfsd
 3075            0         2     21    0.0%  lockd
 3076            0         1      3    0.0%  rpciod
 3081            0         1     64    0.0%  rpc.mountd
 3087            2         8    337    0.0%  rpc.statd
 3114         2337  356309576      0    0.0%  sysmgr
 3768            0         1     14    0.0%  mping-thread
 4018          374   9853408      0    0.0%  insmod
 4482           13         5   2649    0.0%  xinetd
 4483            3         4    912    0.0%  tftpd
 4484          480  605577548      0    0.0%  syslogd
 4485           94       998     94    0.0%  sdwrapd
 4486          841  1093833186      0    1.0%  pfma
 4493          896  49249155      0    0.0%  ls-notify-mts-t
 4499         1926  318493950      0    0.0%  usd_mts_kthread
 4506            0         1      7    0.0%  pfm_gem_hp_kern
 4510         2354  24991371      0    0.0%  vshd
 4511           51        11   4668    0.0%  smm
 4512          678  99785755      0    0.0%  psshelper
 4513          168   1707870      0    0.0%  lmgrd
 4514         1276  20035347      0    0.0%  licmgr
 4515         1814      1522   1192    0.0%  fs-daemon
 4516         1926  173672426      0    0.0%  feature-mgr
 4517         1160  19985843      0    0.0%  fcfwd
 4518          260      4259     61    0.0%  confcheck
 4519           29  11290948      0    0.0%  capability
 4520         1979  99795006      0    0.0%  psshelper_gsvc
 4528         1778   3464099      0    0.0%  cisco
 4531         2185  10015364      0    0.0%  clis
 4533          987     48366     20    0.0%  klogd
 4534          765  22808266      0    0.0%  port-profile
 4536         1346  11324666      0    0.0%  provision
 4540         2073  21408426      0    0.0%  zschk
 4541          804  99820619      0    0.0%  xmlma
 4542          853  23166650      0    0.0%  vmm
 4543         1496  23079774      0    0.0%  vdc_mgr
 4544         2469  49809931      0    0.0%  ttyd
 4545          116  12155068      0    0.0%  sysinfo
 4546          296  32839879      0    0.0%  sunnyvale
 4547         1328   7263651      0    0.0%  sensor
 4549         2174   1914412      1    0.0%  res_mgr
 4550         1375   2083130      0    0.0%  plugin
 4551          335  29394247      0    0.0%  pltfm_config
 4552          790  19997967      0    0.0%  plog_sup
 4553         2257  34537754      0    0.0%  pfstat
 4554          675  12318476      0    0.0%  obfl
 4555          106        22   4824    0.0%  npacl
 4556          432  10673519      0    0.0%  nohms
 4557         1977   7423397      0    0.0%  mvsh
 4558          166  98572208      0    0.0%  ledmgr
 4559            5  57701384      0    0.0%  ifmgr
 4560         1405  20458640      0    0.0%  idehsd
 4561            1  57977440      0    0.0%  evmc
 4562         2020  21539373      0    0.0%  ethpc
 4563         1435  556497750      0    0.0%  eth_dstats
 4564           89       920     97    0.0%  core-dmon
 4565          520  3170890661      0    0.0%  carmelusd
 4566         1313  32033984      0    0.0%  btcm
 4567          262  49871998      0    0.0%  bootvar
 4568           25  19852220      0    0.0%  bios_daemon
 4569          730  26274338      0    0.0%  bcm_usd
 4570         1300   9850512      0    0.0%  athertonusd
 4571         1586  12485751      0    0.0%  ascii-cfg
 4572         1348  99368678      0    0.0%  securityd
 4573         2060  99762505      0    0.0%  cert_enroll
 4574         2439  99848123      0    0.0%  aaa
 4575         1065   2488653      0    0.0%  aclmgr
 4577           66        22   3010    0.0%  l3vm
 4578         2157  23311404      0    0.0%  monitor
 4579          135        41   3308    0.0%  mrib
 4580           78        32   2447    0.0%  u6rib
 4581           99        42   2368    0.0%  urib
 4585            7        15    471    0.0%  core-client
 4586         1549  21740938      0    0.0%  qd
 4593          897  487874699      0    0.0%  eth_port_channel
 4594         1134  960635564      0    0.0%  fwm
 4595         1841  226660835      0    0.0%  statsclient
 4603          297  391871149      0    1.0%  snmpd
 4608          260   5810467      0    0.0%  m2rib
 4609          846  38454692      0    0.0%  vlan_mgr
 4610          808   7773199      0    0.0%  ipqosmgr
 4612         2121  2365855852      0    0.0%  ethpm
 4629         1424  40552548      0    0.0%  afm
 4632         1460  99863585      0    0.0%  callhome
 4637          307  33111381      0    0.0%  ipfib
 4638         1809  26160954      0    0.0%  mfdm
 4639         1486  23327800      0    0.0%  ufdm
 4668         2247  101366975      0    0.0%  tacacs
 4669           55        25   2221    0.0%  adjmgr
 4670         2274  23170769      0    0.0%  sal
 4676           50        20   2503    0.0%  arp
 4677           53        27   1996    0.0%  icmpv6
 4678          182        87   2098    1.0%  netstack
 4765         2127  354506683      0    0.0%  radius
 4766          888  812065388      0    0.0%  cfs
 4767          108        47   2315    0.0%  igmp
 4768           25       889     28    0.0%  ip_dummy
 4769           25       890     28    0.0%  ipv6_dummy
 4770         1307  239007452      0    0.0%  lacp
 4771         1383  15392390      0    0.0%  ntp
 4772         1691  23292084      0    0.0%  otm
 4773           25       897     28    0.0%  pktmgr_dummy
 4774           71        30   2387    0.0%  rpm
 4775           25       889     28    0.0%  tcpudp_dummy
 4777          663  688914026      0    0.0%  vpc
 4778          840     44010     19    0.0%  dcos-xinetd
 4779          214  368719668      0    0.0%  ntpd
 4780         1371  140644091      0    0.0%  cdp
 4781          342  1511726553      0    0.0%  fex
 4782         2072  256945877      0    0.0%  lldp
 4783         1184  1291150759      0    0.0%  stp
 4787         2044  248155565      0    0.0%  udld
 4791           62        29   2154    0.0%  mcastfwd
 4798          357  167162696      0    0.0%  interface-vlan
 4919          452  23158323      0    0.0%  msp
 4921          190  23193237      0    0.0%  vms
 4924         1330  33930650      0    0.0%  vim
 5041         1329   6566775      0    0.0%  wdpunch_thread
11495          844   9340442      0    0.0%  pdflush
16851          678     10961     61    0.0%  dcos_sshd
16868         1021       521   1960    0.0%  vsh
17239            1         5    203    0.0%  vsh
17240           19         6   3300    0.0%  ps
30843            5        20    285    0.0%  getty

CPU util  :   0.0% user,   6.9% kernel,   93.1% idle
