
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID            Local Intf      Hold-time  Capability  Port ID  
vdic-hv101h          Eth1/17         120        B           eth5              
vdic-hv101h          Eth1/18         120        B           eth6              
vdic-hv102h          Eth1/23         120        B           eth5              
vdic-hv102h          Eth1/24         120        B           eth6              
vdic-hv103h          Eth1/25         120        B           eth5              
vdic-hv103h          Eth1/26         120        B           eth6              
vdic-hv104h          Eth1/27         120        B           eth5              
vdic-hv104h          Eth1/28         120        B           eth6              
5K-01-1.vtb          Eth1/29         120        B           Eth1/29           
5K-01-1.vtb          Eth1/30         120        B           Eth1/30           
vN77-1-vN7K1         Eth1/31         120        BR          Eth2/1/1          
vN77-2-vN7K2         Eth1/32         120        BR          Eth2/1/1          
vN77-1-vN7K1         Eth2/1          120        BR          Eth2/1/2          
vN77-2-vN7K2         Eth2/2          120        BR          Eth2/1/2          
5K-01-1.vtb          Eth2/3          120        B           Eth2/3            
5K-01-1.vtb          Eth2/4          120        B           Eth2/4            
vdic-hv105h          Eth2/5          120        B           eth5              
vdic-hv105h          Eth2/6          120        B           eth6              
vdic-hv106h          Eth2/7          120        B           eth5              
vdic-hv106h          Eth2/8          120        B           eth6              
vdic-hv107h          Eth2/9          120        B           eth5              
vdic-hv107h          Eth2/10         120        B           eth6              
vdic-hv108h          Eth2/11         120        B           eth5              
vdic-hv108h          Eth2/12         120        B           eth6              
vdic-hv109h          Eth2/13         120        B           eth5              
vdic-hv109h          Eth2/14         120        B           eth6              
vdic-hv110h          Eth2/15         120        B           eth5              
vdic-hv110h          Eth2/16         120        B           eth6              
ca-storage-01        Eth102/1/14     180                    eth0              
ca-storage-01        Eth102/1/41     180                    eth1              
441e.a171.b9af       Eth109/1/6      120        S           441e.a171.b9af    
e839.3519.f5df       Eth109/1/8      120        S           e839.3519.f5df    
441e.a174.139d       Eth109/1/13     120        S           441e.a174.139d    
441e.a171.b9a7       Eth109/1/14     120        S           441e.a171.b9a7    
441e.a174.1645       Eth109/1/15     120        S           441e.a174.1645    
e839.3519.f5d7       Eth109/1/16     120        S           e839.3519.f5d7    
441e.a171.b9b3       Eth110/1/6      120        S           441e.a171.b9b3    
e839.3519.f5e3       Eth110/1/8      120        S           e839.3519.f5e3    
441e.a174.13a1       Eth110/1/13     120        S           441e.a174.13a1    
441e.a171.b9ab       Eth110/1/14     120        S           441e.a171.b9ab    
441e.a174.1649       Eth110/1/15     120        S           441e.a174.1649    
e839.3519.f5db       Eth110/1/16     120        S           e839.3519.f5db    
Total entries displayed: 42
