

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/17       1       trnk-bndl     Po201
Eth1/18       1       trnk-bndl     Po202
Eth1/19       1       trnk-bndl     Po203
Eth1/20       1       trnk-bndl     Po204
Eth1/21       1       trnk-bndl     Po205
Eth1/22       1       trnk-bndl     Po206
Eth1/27       1       trnk-bndl     Po207
Eth1/28       1       trnk-bndl     Po208
Eth1/29       1       trnk-bndl     Po1001
Eth1/30       1       trnk-bndl     Po1000
Eth1/31       1       trnk-bndl     Po7
Eth1/32       1       trnk-bndl     Po7
Eth2/1        1       trnk-bndl     Po7
Eth2/2        1       trnk-bndl     Po7
Eth2/3        1       trnk-bndl     Po1000
Eth2/4        1       trnk-bndl     Po1001
Eth2/9        1       trnk-bndl     Po209
Eth2/10       1       trnk-bndl     Po210
Eth2/11       1       trnk-bndl     Po211
Eth2/12       1       trnk-bndl     Po212
Eth2/13       1       trnk-bndl     Po213
Eth2/14       1       trnk-bndl     Po214
Po7           1       trunking      --
Po201         1       trunking      --
Po202         1       trunking      --
Po203         1       trunking      --
Po204         1       trunking      --
Po205         1       trunk-down    --
Po206         1       trunk-down    --
Po207         1       trunking      --
Po208         1       trunking      --
Po209         1       trunking      --
Po210         1       trunking      --
Po211         1       trunking      --
Po212         1       trunking      --
Po213         1       trunking      --
Po214         1       trunking      --
Po303         1       not-trunking  --
Po304         1       not-trunking  --
Po305         1       trunk-down    --
Po307         1       not-trunking  --
Po308         1       trunking      --
Po309         1       trunking      --
Po312         1       trunk-down    --
Po314         1       not-trunking  --
Po316         1       not-trunking  --
Po317         1       trunking      --
Po319         1       trunking      --
Po321         1       trunk-down    --
Po322         1       trunk-down    --
Po323         1       trunk-down    --
Po324         1       trunk-down    --
Po325         1       trunk-down    --
Po326         1       trunk-down    --
Po327         1       trunk-down    --
Po328         1       trunk-down    --
Po329         1       not-trunking  --
Po1000        1       trunking      --
Po1001        1       trunking      --
Eth102/1/17   1       trunk-down    --
Eth102/1/18   1       trunk-down    --
Eth102/1/19   1       trunk-down    --
Eth107/1/17   1       trnk-bndl     Po307
Eth107/1/18   1       trnk-bndl     Po307
Eth107/1/19   1       trnk-bndl     Po307
Eth107/1/20   1       trnk-bndl     Po307
Eth107/1/21   1       trnk-bndl     Po307
Eth107/1/22   1       trnk-bndl     Po307
Eth107/1/23   1       trnk-bndl     Po307
Eth107/1/24   1       trnk-bndl     Po307
Eth107/1/31   1       trnk-bndl     Po305
Eth107/1/34   1       trunk-down    --
Eth107/1/37   1       trunk-down    --
Eth107/1/38   1       trunk-down    --
Eth107/1/39   1       trunk-down    --
Eth107/1/40   1       trunk-down    --
Eth107/1/41   1       trunk-down    --
Eth107/1/46   1       trnk-bndl     Po305
Eth107/1/47   1       trnk-bndl     Po305
Eth107/1/48   1       trnk-bndl     Po305
Eth108/1/31   1       trnk-bndl     Po314
Eth108/1/32   1       trnk-bndl     Po314
Eth108/1/33   1       trnk-bndl     Po314
Eth108/1/34   1       trnk-bndl     Po314
Eth108/1/37   1       trunk-down    --
Eth108/1/38   1       trnk-bndl     Po316
Eth108/1/39   1       trnk-bndl     Po316
Eth108/1/40   1       trnk-bndl     Po316
Eth108/1/41   1       trnk-bndl     Po316
Eth108/1/42   1       trnk-bndl     Po316
Eth108/1/43   1       trunk-down    --
Eth108/1/44   1       trunk-down    --
Eth108/1/45   1       trunk-down    --
Eth108/1/46   1       trunk-down    --
Eth109/1/5    1       trunking      --
Eth109/1/6    1       trunking      --
Eth109/1/7    1       trunking      --
Eth109/1/8    1       trunking      --
Eth109/1/13   1       trunking      --
Eth109/1/14   1       trunking      --
Eth109/1/15   1       trunking      --
Eth109/1/16   1       trunking      --
Eth110/1/1    1       trnk-bndl     Po317
Eth110/1/2    1       trnk-bndl     Po317
Eth110/1/3    1       trnk-bndl     Po319
Eth110/1/4    1       trnk-bndl     Po319
Eth110/1/5    1       trunking      --
Eth110/1/6    1       trunking      --
Eth110/1/7    1       trunking      --
Eth110/1/8    1       trunking      --
