

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1          565  43631957      0    0.0%  init
    2         1638   6863619      0    0.0%  migration/0
    3         2451  250115421      0    0.0%  ksoftirqd/0
    4          400  12636329      0    0.0%  desched/0
    5           22   7152076      0    0.0%  migration/1
    6          896  4142560493      0    0.0%  ksoftirqd/1
    7           14  12507986      0    0.0%  desched/1
    8         2025  169538380      0    0.0%  events/0
    9          284  202092675      0    0.0%  events/1
   10         1081    310946      3    0.0%  khelper
   15            0        30     14    0.0%  kthread
   24            0         2      2    0.0%  kacpid
  463          497     38247     13    0.0%  kblockd/0
  464          502     34691     14    0.0%  kblockd/1
  477            6       441     14    0.0%  khubd
  545          577  31148876      0    0.0%  pdflush
  546            0         1      4    0.0%  kswapd0
  547            0         2      1    0.0%  aio/0
  548            0         2      1    0.0%  aio/1
 1106            0         2      1    0.0%  kide/0
 1107            0         2      1    0.0%  kide/1
 1110            0         2      1    0.0%  ata/0
 1111            0         2      1    0.0%  ata/1
 1116            0         1      3    0.0%  mtdblockd
 1175          938  4288067203      0    0.0%  kirqd
 1189            0         1      5    0.0%  scsi_eh_0
 1190          406   2313223      0    0.0%  usb-storage
 1497         1717  13496245      0    0.0%  cmond/0
 1498          505  13496233      0    0.0%  cmond/1
 1714           85       616    138    0.0%  kjournald
 1722           98       373    263    0.0%  kjournald
 2478            4         2   2290    0.0%  jffs2_gcd_mtd2
 2538         2316    391516      5    0.0%  kjournald
 2553          516       342   1509    0.0%  kjournald
 3039            0        21     35    0.0%  portmap
 3048          163     56248      2    0.0%  nfsd
 3049          146     56236      2    0.0%  nfsd
 3050          149     56236      2    0.0%  nfsd
 3051          174     56236      3    0.0%  nfsd
 3052          176     56236      3    0.0%  nfsd
 3053          158     56236      2    0.0%  nfsd
 3054          192     56238      3    0.0%  nfsd
 3055          198     56238      3    0.0%  nfsd
 3056            0         2     21    0.0%  lockd
 3057            0         1      3    0.0%  rpciod
 3062            0         1     65    0.0%  rpc.mountd
 3068            3         8    389    0.0%  rpc.statd
 3095          323  762745967      0    0.0%  sysmgr
 3749            0         1     13    0.0%  mping-thread
 3999         1933  20247555      0    0.0%  insmod
 4463           13         5   2678    0.0%  xinetd
 4464            4        16    307    0.0%  tftpd
 4465         1990  1484666360      0    0.0%  syslogd
 4466          165      2042     80    0.0%  sdwrapd
 4467         1024  2030966281      0   11.0%  pfma
 4474         1228  101219250      0    0.0%  ls-notify-mts-t
 4480         1232  695996955      0    0.0%  usd_mts_kthread
 4487            0         1     41    0.0%  pfm_gem_hp_kern
 4491         2231  51024344      0    0.0%  vshd
 4492           50        13   3916    0.0%  smm
 4493         1677  203880663      0    0.0%  psshelper
 4494         1869   3450536      0    0.0%  lmgrd
 4495          761  40826499      0    0.0%  licmgr
 4496         1820      2506    726    0.0%  fs-daemon
 4497         1322  182358059      0    0.0%  feature-mgr
 4498         2036  40806153      0    0.0%  fcfwd
 4499         1837    110487     16    0.0%  confcheck
 4500          134  22720566      0    0.0%  capability
 4501         1752  203885286      0    0.0%  psshelper_gsvc
 4508         2067   5440896      0    0.0%  cisco
 4512          634  20416691      0    0.0%  clis
 4515         1893  45541198      0    0.0%  port-profile
 4516         2031  22777692      0    0.0%  provision
 4521          682  43723147      0    0.0%  zschk
 4522         1773  203810079      0    0.0%  xmlma
 4523          898  46455880      0    0.0%  vmm
 4524         1503  46330931      0    0.0%  vdc_mgr
 4525         1791  101787414      0    0.0%  ttyd
 4526          598  25045263      0    0.0%  sysinfo
 4527         2350  67485556      0    0.0%  sunnyvale
 4528         1375  15008014      0    0.0%  sensor
 4530          482   3896524      0    0.0%  res_mgr
 4531         1925   4224365      0    0.0%  plugin
 4532         1927  59211658      0    0.0%  pltfm_config
 4533         1869  40843593      0    0.0%  plog_sup
 4534           31  71493130      0    0.0%  pfstat
 4535         2330  25317488      0    0.0%  obfl
 4536          106        84   1265    0.0%  npacl
 4537          402  21802721      0    0.0%  nohms
 4538         1371  15072047      0    0.0%  mvsh
 4539          543  202621340      0    0.0%  ledmgr
 4540         1256  91565636      0    0.0%  ifmgr
 4541           41  41478775      0    0.0%  idehsd
 4542          991  111166168      0    0.0%  evmc
 4543         1768  44088840      0    0.0%  ethpc
 4544         1339  689569669      0    0.0%  eth_dstats
 4545          127      1916     66    0.0%  core-dmon
 4546         1796  2307579903      0    0.0%  carmelusd
 4548          185  101837668      0    0.0%  bootvar
 4549          393  40622847      0    0.0%  bios_daemon
 4550         2118  54035800      0    0.0%  bcm_usd
 4551         1237  20245125      0    0.0%  athertonusd
 4552         2369  25480586      0    0.0%  ascii-cfg
 4553         2172  203346395      0    0.0%  securityd
