


PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1        42709   1084515     39   0.00%  init
    2          360     23372     15   0.00%  kthreadd
    3        31014    790531     39   0.00%  ksoftirqd/0
    6       225368    394684    571   0.00%  migration/0
    7        18399   1335639     13   0.00%  watchdog/0
    8       228167    365586    624   0.00%  migration/1
    9            0         6     75   0.00%  kworker/1:0
   10       179616   9662788     18   0.00%  ksoftirqd/1
   11      1266330  264599682      4   0.00%  kworker/0:1
   12        20130   1335640     15   0.00%  watchdog/1
   13       229302    398585    575   0.00%  migration/2
   15       124720   6031587     20   0.00%  ksoftirqd/2
   16        19629   1335639     14   0.00%  watchdog/2
   17       219276    423617    517   0.00%  migration/3
   18       914386  189919303      4   0.00%  kworker/3:0
   19        35158    985118     35   0.00%  ksoftirqd/3
   20        17720   1335639     13   0.00%  watchdog/3
   21        73377   1808923     40   0.00%  migration/4
   22            0        10      2   0.00%  kworker/4:0
   23         1953    204677      9   0.00%  ksoftirqd/4
   24         8317   1335639      6   0.00%  watchdog/4
   25        69429   1801763     38   0.00%  migration/5
   26            0         4      3   0.00%  kworker/5:0
   27        42374   5914318      7   0.00%  ksoftirqd/5
   28         7848   1335639      5   0.00%  watchdog/5
   29        68847   1753416     39   0.00%  migration/6
   31        29861   3911692      7   0.00%  ksoftirqd/6
   32         8242   1335639      6   0.00%  watchdog/6
   33        78037   1772232     44   0.00%  migration/7
   34            0         4      4   0.00%  kworker/7:0
   35         2264    273268      8   0.00%  ksoftirqd/7
   36         8273   1335639      6   0.00%  watchdog/7
   37            0         2      4   0.00%  cpuset
   38            0         2      2   0.00%  khelper
   39            1       176      7   0.00%  kdevtmpfs
   40            0         2      2   0.00%  netns
   41         6524    891110      7   0.00%  sync_supers
   42          761     84705      8   0.00%  bdi-default
   43            0         7      4   0.00%  kblockd
   44            0         2      3   0.00%  ata_sff
   45            0        26     25   0.00%  khubd
   46            0         2      4   0.00%  rpciod
   47       430652  89705338      4   0.00%  kworker/3:1
   67         2853     44535     64   0.00%  khungtaskd
   68            0         3      2   0.00%  kswapd0
   69    280060748  298092503    939   0.75%  ksmd
   70            0         5      1   0.00%  fsnotify_mark
   71            0         2      2   0.00%  unionfs_siod
   72            0         2      2   0.00%  nfsiod
   73            0         2      2   0.00%  crypto
   87            0         3      4   0.00%  scsi_eh_0
   88            0        20      6   0.00%  scsi_eh_1
   89            0         3      3   0.00%  scsi_eh_2
   90            0         3      3   0.00%  scsi_eh_3
