

CPU utilization for five seconds: 12%/2%; one minute: 8%; five minutes: 5%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
 4878     33937730  523013385      0   0.00%   0.00%  0.00%   -    sysmgr
 5842    443844706  1986526746      0   0.00%   0.00%  0.00%   -    platform
 6095       888520  33309885      0   0.00%   0.00%  0.00%   -    pixm_gl
 6096          100  1058660300      0   0.05%   0.08%  0.10%   -    pdsd
 6098       997430  28148725      0   0.00%   0.00%  0.00%   -    licmgr
 6103       232520  24522397      0   0.00%   0.00%  0.00%   -    bloggerd
 6146       704130  33141796      0   0.00%   0.00%  0.00%   -    vdc_mgr
 6149     10125630  1262523531      0   0.07%   0.09%  0.07%   -    sysinfo
 6154        47410   2368251      0   0.00%   0.00%  0.00%   -    res_mgr
 6156       702440  33070769      0   0.00%   0.00%  0.00%   -    pltfm_debug
 6167    121548200  208423989      0   0.00%   0.00%  0.00%   -    diagmgr
 6170      7147760  108525699      0   0.00%   0.00%  0.00%   -    clk_mgr
 6224     54502550  45454983      1   0.00%   0.00%  0.00%   -    diagclient
 6347      1068760  12667252      0   0.00%   0.00%  0.00%   -    xbar
 6388     20712420  285242466      0   0.00%   0.00%  0.00%   -    module
 6393     14283930  117508644      0   0.01%   0.00%  0.00%   -    ifmgr
 6753       796390  33026849      0   0.00%   0.00%  0.00%   -    sim
 6755      7585060  86000408      0   0.00%   0.00%  0.00%   -    pltfm_config
 6761       731700  33053844      0   0.00%   0.00%  0.00%   -    monitorc
 6767       833360  33013581      0   0.00%   0.00%  0.00%   -    giscm
 6805    148010790  126643935      1   0.00%   0.00%  0.00%   -    diag_port_lb
 8057      2627310  122637052      0   0.00%   0.00%  0.00%   -    syslogd
 8060          720      3363      0   0.00%   0.00%  0.00%   -    confcheck
 8061      1458420  40258127      0   0.00%   0.00%  0.00%   -    feature-mgr
 8062       765460  33917198      0   0.00%   0.00%  0.00%   -    pixm_vl
 8063      1813870  122508310      0   0.00%   0.00%  0.00%   -    psshelper
 8064       716380  33504514      0   0.00%   0.00%  0.00%   -    session-mgr
 8065          150   4557103      0   0.00%   0.00%  0.00%   -    smm
 8066       724680  33559989      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 8067       420770  15382526      0   0.00%   0.00%  0.00%   -    vshd
 8071       302370   8595828      0   0.00%   0.00%  0.00%   -    clis
