
Mount-on                  1K-blocks      Used   Available   Use%  Filesystem
/                            409600     76392      333208     19   /dev/root
/proc                             0         0           0      0   proc
/post                          2048         4        2044      1   none
/var                         409600     76392      333208     19   none
/sys                              0         0           0      0   none
/isan                       2097152   1198664      898488     58   none
/var/tmp                     512000       244      511756      1   none
/var/sysmgr                 2048000      2028     2045972      1   none
/nxos/tmp                     40960      1224       39736      3   none
/var/sysmgr/ftp              409600       120      409480      1   none
/var/sysmgr/ftp/cores        102400         0      102400      0   none
/callhome                     61440         0       61440      0   none
/dev/shm                     524288    257868      266420     50   none
/volatile                    153600         0      153600      0   none
/debug                        20480         0       20480      0   none
/dev/mqueue                       0         0           0      0   none
/debugfs                          0         0           0      0   nodev
/mnt/plog                     49024      1340       47684      3   /dev/mtdblock2
/mnt/cfg/0                   123967      4719      112847      5   /dev/sda5
/mnt/cfg/1                   109381      4719       99014      5   /dev/sda6
/var/sysmgr/startup-cfg      409600      8040      401560      2   none
/dev/pts                          0         0           0      0   devpts
/mnt/pss                     123999      6669      110927      6   /dev/sda4
/smack                            0         0           0      0   smackfs
/bootflash                  7184716    743060     6076684     11   /dev/sda3
/proc/bus/usb                     0         0           0      0   none
/cgroup                           0         0           0      0   vdccontrol
