

CPU utilization for five seconds: 43%/2%; one minute: 20%; five minutes: 11%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1        39810    372406      0   0.00%   0.00%  0.00%   -    init
 2557           10        31      0   0.00%   0.00%  0.00%   -    portmap
 2566           10         6      1   0.00%   0.00%  0.00%   -    rpc.statd
 2594            0         2      0   0.00%   0.00%  0.00%   -    rpc.mountd
 2617       114020   3426083      0   0.00%   0.00%  0.00%   -    sysmgr
 3542          800    168420      0   0.00%   0.00%  0.00%   -    insmod
 3981           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3982           10         4      2   0.00%   0.00%  0.00%   -    tftpd
 3983        36780   2151892      0   0.00%   0.00%  0.00%   -    syslogd
 3984           30        39      0   0.00%   0.00%  0.00%   -    sdwrapd
 3985     37431910   7231890      5   1.17%   1.88%  1.41%   -    pfma
 4011         8500    427019      0   0.00%   0.00%  0.00%   -    vshd
 4012          130     58228      0   0.00%   0.00%  0.00%   -    smm
 4013        15230   1687360      0   0.00%   0.00%  0.00%   -    psshelper
 4014          990     56157      0   0.00%   0.00%  0.00%   -    mmode
 4015         1330     28181      0   0.00%   0.00%  0.00%   -    lmgrd
 4016         5760    338606      0   0.00%   0.00%  0.00%   -    licmgr
 4017        12100     50339      0   0.00%   0.38%  0.15%   -    fs-daemon
 4018        25830    517761      0   0.09%   0.01%  0.00%   -    feature-mgr
 4019         4230    337647      0   0.00%   0.00%  0.00%   -    fcfwd
 4020           90       658      0   0.00%   0.00%  0.00%   -    confcheck
 4021         4800    330999      0   0.00%   0.00%  0.00%   -    capability
 4022         3250    629150      0   0.00%   0.00%  0.00%   -    bloggerd
 4023        15560   1687275      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 4034         5700     29539      0   0.00%   0.00%  0.00%   -    cisco
 4035        21040   1667003      0   0.00%   0.00%  0.00%   -    clis
 4040           70      1125      0   0.00%   0.00%  0.00%   -    klogd
 4053        26730    404122      0   0.00%   0.01%  0.04%   -    port-profile
 4055         5210    332726      0   0.00%   0.00%  0.00%   -    provision
 4064         9450    659226      0   0.00%   0.00%  0.00%   -    zschk
