
*:IPv6 group   #:group belongs to a bundle
                     P indicates configured to preempt.
                     |
 Interface   Grp  Prio P State    Active addr      Standby addr     Group addr
  Vlan2291    2291  50     Listen   10.208.10.5      10.208.10.3      10.208.10.1     (conf)
  Vlan2292    2292  100    Active   local            10.208.11.2      10.208.11.1     (conf)
  Vlan2801    2801  110    Standby  10.152.8.3       local            10.152.8.1      (conf)
  Vlan2901    2901  110    Active   local            10.150.8.3       10.150.8.1      (conf)
  Vlan2911    2911  150    Active   local            10.133.192.3     10.133.192.1    (conf)
  Vlan2912    2912  150    Active   local            10.133.196.3     10.133.196.1    (conf)
  Vlan2913    2913  150    Active   local            10.133.200.3     10.133.200.1    (conf)
  Vlan2914    2914  150    Active   local            10.133.204.3     10.133.204.1    (conf)
  Vlan2915    2915  150    Active   local            10.133.208.3     10.133.208.1    (conf)
  Vlan2916    2916  50     Standby  10.84.80.3       local            10.84.80.1      (conf)
  Vlan2917    2917  110    Standby  10.84.96.3       local            10.84.96.1      (conf)
  Vlan2918    2918  110    Active   local            10.150.158.3     10.150.158.1    (conf)
  Vlan2951    2951  110    Active   local            10.150.240.3     10.150.240.1    (conf)
  Vlan2954    2954  150    Active   local            10.150.208.3     10.150.208.1    (conf)
  Vlan3035    3035  110    Active   local            10.106.170.83    10.106.170.81   (conf)
  Vlan3036    3036  110    Active   local            10.150.253.83    10.150.253.81   (conf)
  Vlan3061    3061  50     Standby  10.192.126.229   local            10.192.126.230  (conf)
  Vlan3095    3095  50     Standby  10.133.156.3     local            10.133.156.1    (conf)
  Vlan3104    3104  150    Active   local            10.106.133.67    10.106.133.65   (conf)
  Vlan3105    3105  50     Standby  10.106.132.5     local            10.106.132.1    (conf)
  Vlan3108    3108  150    Active   local            172.16.173.11    172.16.173.9    (conf)
  Vlan3115    3315  110    Active   local            172.16.99.131    172.16.99.129   (conf)
  Vlan3126    3126  100    Standby  10.132.168.195   local            10.132.168.193  (conf)
  Vlan3155    3155  100    Active   local            10.132.155.5     10.132.155.1    (conf)
  Vlan3157    3157  50     Standby  10.132.157.5     local            10.132.157.1    (conf)
  Vlan3163    3163  50     Standby  10.132.163.5     local            10.132.163.1    (conf)
  Vlan3187    3187  130    Active   local            10.132.147.5     10.132.147.1    (conf)
  Vlan3191    3191  110    Active   local            172.16.37.5      172.16.37.1     (conf)
  Vlan3192    3192  100    Active   local            10.132.192.5     10.132.192.1    (conf)
  Vlan3283    3283  150    Active   local            172.16.94.3      172.16.94.1     (conf)
  Vlan3285    3285  100    Active   local            10.192.126.243   10.192.126.241  (conf)
  Vlan3292    3292  100    Active   local            10.192.126.251   10.192.126.249  (conf)
  Vlan3299    3299  50     Standby  10.84.196.5      local            10.84.196.1     (conf)
  Vlan3314    3314  100    Active   local            172.16.12.5      172.16.12.1     (conf)
  Vlan3315    3315  50     Standby  172.16.44.5      local            172.16.44.1     (conf)
  Vlan3329    3329  150    Initial  unknown          unknown          10.133.64.1     (conf)
  Vlan3330    3330  150    Initial  unknown          unknown          10.133.68.1     (conf)
  Vlan3331    3331  150    Initial  unknown          unknown          10.133.72.1     (conf)
  Vlan3332    3332  150    Initial  unknown          unknown          10.133.76.1     (conf)
  Vlan3333    3333  150    Initial  unknown          unknown          10.133.80.1     (conf)
  Vlan3334    3334  150    Initial  unknown          unknown          10.133.84.1     (conf)
  Vlan3335    3335  150    Initial  unknown          unknown          10.133.88.1     (conf)
  Vlan3336    3336  150    Initial  unknown          unknown          10.133.92.1     (conf)
  Vlan3337    3337  150    Initial  unknown          unknown          10.133.96.1     (conf)
  Vlan3338    3338  150    Initial  unknown          unknown          10.133.100.1    (conf)
  Vlan3339    3339  150    Initial  unknown          unknown          10.133.104.1    (conf)
  Vlan3340    3340  150    Initial  unknown          unknown          10.133.108.1    (conf)
  Vlan3341    3341  150    Active   local            10.133.112.5     10.133.112.1    (conf)
  Vlan3342    3342  150    Active   local            10.133.116.5     10.133.116.1    (conf)
  Vlan3343    3343  150    Active   local            10.133.120.5     10.133.120.1    (conf)
  Vlan3344    3344  150    Active   local            10.133.124.5     10.133.124.1    (conf)
  Vlan3347    3347  50     Standby  10.133.148.3     local            10.133.148.1    (conf)
  Vlan3428    3428  150    Active   local            172.16.99.197    172.16.99.193   (conf)
  Vlan3429    3429  150    Active   local            172.16.99.5      172.16.99.1     (conf)
  Vlan3430    3430  150    Active   local            172.16.100.5     172.16.100.1    (conf)
  Vlan3453    3453  50     Standby  10.133.129.5     local            10.133.129.1    (conf)
  Vlan3491    3491  50     Standby  10.150.156.3     local            10.150.156.1    (conf)
  Vlan3519    3519  150    Standby  10.80.112.5      local            10.80.112.1     (conf)
  Vlan3523    3523  150    Active   local            10.80.96.5       10.80.96.1      (conf)
  Vlan3529    3529  100  P Standby  172.16.227.243   local            172.16.227.241  (conf)
  Vlan3530    3530  100  P Active   local            172.16.231.195   172.16.231.193  (conf)
  Vlan3532    3532  150    Active   local            10.150.134.3     10.150.134.1    (conf)
  Vlan3533    3533  150    Active   local            10.150.157.3     10.150.157.1    (conf)
  Vlan3534    3534  150    Active   local            172.16.218.147   172.16.218.145  (conf)
  Vlan3535    3535  150    Active   local            172.16.218.99    172.16.218.97   (conf)
  Vlan3543    3543  150    Active   local            172.16.176.5     172.16.176.1    (conf)
  Vlan3544    3544  50     Standby  10.150.176.5     local            10.150.176.1    (conf)
  Vlan3546    3546  110    Active   local            10.84.8.3        10.84.8.1       (conf)
  Vlan3552    3552  50     Standby  10.84.0.3        local            10.84.0.1       (conf)
  Vlan3557    3557  150    Active   local            10.106.173.131   10.106.173.129  (conf)
  Vlan3558    3558  150    Active   local            10.150.253.131   10.150.253.129  (conf)
  Vlan3565    3565  110  P Active   local            10.151.240.3     10.151.240.1    (conf)
  Vlan3566    3566  110  P Active   local            172.16.203.3     172.16.203.1    (conf)
  Vlan3567    3567  110  P Active   local            10.151.241.3     10.151.241.1    (conf)
  Vlan3573    3573  150    Active   local            10.107.0.5       10.107.0.1      (conf)
  Vlan3597    3597  50     Standby  172.16.247.131   local            172.16.247.129  (conf)
  Vlan3656    3656  110    Active   local            10.194.162.3     10.194.162.1    (conf)
  Vlan3662    3662  100    Active   local            10.194.166.3     10.194.166.1    (conf)
  Vlan3668    3668  110    Active   local            10.194.170.3     10.194.170.1    (conf)
  Vlan3674    3674  100    Active   local            10.194.130.3     10.194.130.1    (conf)
  Vlan3768    3768  100    Standby  10.0.251.133     local            10.0.251.129    (conf)
  Vlan3769    3769  130    Active   local            10.150.139.5     10.150.139.1    (conf)
  Vlan3770    3770  100    Active   local            10.150.137.3     10.150.137.1    (conf)
  Vlan3771    3771  100    Active   local            10.150.138.5     10.150.138.1    (conf)
  Vlan3772    3772  130    Active   local            172.16.34.5      172.16.34.1     (conf)
  Vlan3773    3773  100    Active   local            172.16.33.5      172.16.33.1     (conf)
  Vlan3774    3774  100    Active   local            172.16.240.131   172.16.240.129  (conf)
  Vlan3775    3775  100    Active   local            10.150.145.3     10.150.145.1    (conf)
  Vlan3776    3776  50     Standby  10.194.133.3     local            10.194.133.1    (conf)
  Vlan3777    3777  50     Standby  10.150.128.3     local            10.150.128.1    (conf)
  Vlan3778    3778  50     Standby  10.133.128.3     local            10.133.128.1    (conf)
  Vlan3779    3779  50     Standby  172.16.99.99     local            172.16.99.97    (conf)
  Vlan3781    3781  100    Active   local            10.193.2.3       10.193.2.1      (conf)
  Vlan3782    3782  100    Active   local            10.150.133.5     10.150.133.1    (conf)
  Vlan3783    3783  50     Standby  172.16.36.3      local            172.16.36.1     (conf)
  Vlan3784    3784  100    Standby  10.148.131.5     local            10.148.131.1    (conf)
  Vlan3785    3785  50     Active   local            10.148.4.5       10.148.4.1      (conf)
  Vlan3786    3786  50     Active   local            10.148.132.5     10.148.132.1    (conf)
  Vlan3787    3787  50     Standby  10.208.255.131   local            10.208.255.129  (conf)
  Vlan3791    3791  100    Standby  10.150.132.3     local            10.150.132.1    (conf)
  Vlan3792    3792  100    Active   local            10.150.131.3     10.150.131.1    (conf)
  Vlan3799    3799  50   P Standby  10.150.255.67    local            10.150.255.65   (conf)
  Vlan3801    3801  110    Active   local            10.151.1.5       10.151.1.1      (conf)
  Vlan3802    3802  110    Active   local            10.151.2.5       10.151.2.1      (conf)
  Vlan3803    3803  110    Active   local            10.151.3.5       10.151.3.1      (conf)
  Vlan3804    3804  110    Active   local            10.151.4.5       10.151.4.1      (conf)
  Vlan3805    3805  110    Active   local            10.151.5.5       10.151.5.1      (conf)
  Vlan3806    3806  110    Active   local            10.151.6.5       10.151.6.1      (conf)
  Vlan3807    3807  110    Active   local            10.151.7.5       10.151.7.1      (conf)
  Vlan3808    3808  110    Active   local            10.151.8.5       10.151.8.1      (conf)
  Vlan3809    3809  110    Active   local            10.151.9.5       10.151.9.1      (conf)
  Vlan3810    3810  110    Active   local            10.151.10.5      10.151.10.1     (conf)
  Vlan3811    3811  110    Active   local            10.151.11.5      10.151.11.1     (conf)
  Vlan3812    3812  110    Initial  unknown          unknown          10.151.12.1     (conf)
  Vlan3813    3813  110    Active   local            10.151.13.5      10.151.13.1     (conf)
  Vlan3814    3814  110    Active   local            10.151.14.5      10.151.14.1     (conf)
  Vlan3815    3815  110    Active   local            10.151.15.5      10.151.15.1     (conf)
  Vlan3816    3816  110    Active   local            10.151.16.5      10.151.16.1     (conf)
  Vlan3817    3817  110    Active   local            10.151.17.5      10.151.17.1     (conf)
  Vlan3818    3818  110    Active   local            10.151.18.5      10.151.18.1     (conf)
  Vlan3819    3819  110    Active   local            10.151.19.5      10.151.19.1     (conf)
  Vlan3820    3820  110    Active   local            10.151.20.5      10.151.20.1     (conf)
  Vlan3821    3821  110    Active   local            10.148.3.5       10.148.3.1      (conf)
  Vlan3822    3822  110    Active   local            10.151.22.5      10.151.22.1     (conf)
  Vlan3823    3823  110    Active   local            10.149.209.5     10.149.209.1    (conf)
  Vlan3824    3824  100    Active   local            10.193.6.3       10.193.6.1      (conf)
  Vlan3825    3825  110    Active   local            10.151.25.5      10.151.25.1     (conf)
  Vlan3826    3826  110    Active   local            10.151.26.5      10.151.26.1     (conf)
  Vlan3827    3827  50     Active   local            10.151.27.5      10.151.27.1     (conf)
  Vlan3828    3828  100  P Standby  172.16.227.67    local            172.16.227.65   (conf)
  Vlan3829    3829  110    Active   local            172.16.248.5     172.16.248.1    (conf)
  Vlan3830    3830  50     Standby  10.144.160.5     local            10.144.160.1    (conf)
  Vlan3831    3831  50     Active   local            10.151.31.5      10.151.31.1     (conf)
  Vlan3832    3832  50     Active   local            10.151.32.5      10.151.32.1     (conf)
  Vlan3833    3833  50     Active   local            10.151.33.5      10.151.33.1     (conf)
  Vlan3834    3834  50     Active   local            10.151.34.5      10.151.34.1     (conf)
  Vlan3835    3835  50     Active   local            10.151.35.5      10.151.35.1     (conf)
  Vlan3836    3836  50     Initial  unknown          unknown          10.151.36.1     (conf)
  Vlan3837    3837  110    Standby  10.208.6.5       local            10.208.6.1      (conf)
  Vlan3838    3838  110    Standby  10.208.8.5       local            10.208.8.1      (conf)
  Vlan3839    3839  110    Standby  10.208.38.5      local            10.208.38.1     (conf)
  Vlan3840    3840  50     Active   local            10.151.40.5      10.151.40.1     (conf)
  Vlan3841    3841  50     Standby  10.151.41.5      local            10.151.41.1     (conf)
  Vlan3842    3842  50     Standby  10.151.42.5      local            10.151.42.1     (conf)
  Vlan3843    3843  50     Standby  10.151.43.5      local            10.151.43.1     (conf)
  Vlan3844    3844  50     Active   local            10.151.44.5      10.151.44.1     (conf)
  Vlan3845    3845  50     Standby  10.151.45.5      local            10.151.45.1     (conf)
  Vlan3846    3846  50     Standby  10.151.46.5      local            10.151.46.1     (conf)
  Vlan3847    3847  50     Standby  10.151.47.5      local            10.151.47.1     (conf)
  Vlan3848    3848  50     Active   local            10.151.48.5      10.151.48.1     (conf)
  Vlan3849    3849  50     Active   local            10.151.49.5      10.151.49.1     (conf)
  Vlan3851    3851  50     Active   local            10.151.51.5      10.151.51.1     (conf)
  Vlan3852    3852  50     Standby  10.151.52.5      local            10.151.52.1     (conf)
  Vlan3853    3853  50     Standby  10.151.53.5      local            10.151.53.1     (conf)
  Vlan3854    3854  50     Standby  10.151.54.5      local            10.151.54.1     (conf)
  Vlan3855    3855  50     Standby  10.151.55.5      local            10.151.55.1     (conf)
  Vlan3856    3856  50     Standby  10.151.56.5      local            10.151.56.1     (conf)
  Vlan3857    3857  50     Standby  10.151.57.5      local            10.151.57.1     (conf)
  Vlan3858    3858  50     Standby  10.151.58.5      local            10.151.58.1     (conf)
  Vlan3859    3859  50     Standby  10.151.59.5      local            10.151.59.1     (conf)
  Vlan3860    3860  50     Standby  10.151.60.5      local            10.151.60.1     (conf)
  Vlan3861    3861  50     Standby  10.151.61.5      local            10.151.61.1     (conf)
  Vlan3862    3862  50     Standby  10.151.62.5      local            10.151.62.1     (conf)
  Vlan3863    3863  50     Active   local            10.151.63.5      10.151.63.1     (conf)
  Vlan3864    3864  50     Active   local            10.151.64.5      10.151.64.1     (conf)
  Vlan3866    3866  100  P Active   local            10.0.243.3       10.0.243.1      (conf)
  Vlan3867    3867  50     Standby  10.208.4.5       local            10.208.4.1      (conf)
  Vlan3868    3868  50     Active   local            172.16.230.131   172.16.230.129  (conf)
  Vlan3869    3869  110    Standby  10.208.36.5      local            10.208.36.1     (conf)
  Vlan3901    3901  110    Active   local            10.134.1.5       10.134.1.1      (conf)
  Vlan3904    3904  110    Active   local            10.134.4.5       10.134.4.1      (conf)
  Vlan3912    3912  110    Active   local            10.134.12.5      10.134.12.1     (conf)
  Vlan3915    3915  110    Active   local            10.0.244.133     10.0.244.129    (conf)
  Vlan3917    3917  110    Active   local            10.134.17.5      10.134.17.1     (conf)
  Vlan3923    3923  110    Active   local            10.144.161.5     10.144.161.1    (conf)
  Vlan3926    3926  110    Active   local            172.16.228.133   172.16.228.129  (conf)
  Vlan3945    3945  50     Standby  10.134.45.5      local            10.134.45.1     (conf)
  Vlan3948    3948  50     Active   local            10.134.48.5      10.134.48.1     (conf)
  Vlan3965    3965  50     Active   local            10.134.65.5      10.134.65.1     (conf)
