
VPC Role: Primary
VPC Peer-Link Status: Up

Interface      Orphan Port        Orphan-port   
               Suspend-config     Status        
------------   ----------------   -------------
Po1               -                 Up   
Po2               -                 Up   
Po1001            -                 Up   
Po1.2626          -                 Up   
Po2.2627          -                 Up   
Po1.3069          -                 Up   
Po2.3070          -                 Up   
Po1.3075          -                 Up   
Po2.3076          -                 Up   
Po1.3088          -                 Up   
Po2.3089          -                 Up   
Po1.3224          -                 Up   
Po2.3225          -                 Up   
Po1.3230          -                 Up   
Po2.3231          -                 Up   
Po1.3239          -                 Up   
Po2.3240          -                 Up   
Po1.3246          -                 Up   
Po2.3247          -                 Up   
Po1.3273          -                 Up   
Po2.3274          -                 Up   
Po1.3287          -                 Up   
Po2.3288          -                 Up   
Po1.3295          -                 Up   
Po2.3296          -                 Up   
Po1.3548          -                 Up   
Po2.3549          -                 Up   
Po1.3569          -                 Up   
Po2.3570          -                 Up   
Po1.3578          -                 Up   
Po2.3579          -                 Up   
Po1.3593          -                 Up   
Po2.3594          -                 Up   
Po1.3658          -                 Up   
Po2.3659          -                 Up   
Po1.3664          -                 Up   
Po2.3665          -                 Up   
Po1.3670          -                 Up   
Po2.3671          -                 Up   
Po1.3676          -                 Up   
Po2.3677          -                 Up   
Po1.3680          -                 Up   
Po2.3681          -                 Up   
Po1.3684          -                 Up   
Po2.3685          -                 Up   
Po1.3688          -                 Up   
Po2.3689          -                 Up   
Po1.3694          -                 Up   
Po2.3695          -                 Up   
Po1.3701          -                 Up   
Po2.3702          -                 Up   
Po1.3706          -                 Up   
Po2.3707          -                 Up   
Po1.3711          -                 Up   
Po2.3712          -                 Up   
Po1.3716          -                 Up   
Po2.3717          -                 Up   
Po1.3721          -                 Up   
Po2.3722          -                 Up   
Po1.3726          -                 Up   
Po2.3727          -                 Up   
Po1.3731          -                 Up   
Po2.3732          -                 Up   
Po1.3736          -                 Up   
Po2.3737          -                 Up   
Po1.3741          -                 Up   
Po2.3742          -                 Up   
Eth1/11           -                 Down 
Eth1/11.3250      -                 Down 
Eth1/11.3254      -                 Down 
Eth1/14           -                 Down 
Eth1/15           -                 Down 
Eth1/16           -                 Down 
Eth1/17           -                 Up   
Eth1/17.3525      -                 Up   
Eth1/17.3536      -                 Up   
Eth1/18           -                 Up   
Eth1/18.3525      -                 Up   
Eth1/18.3536      -                 Up   
Eth1/21           -                 Down 
Eth1/22           -                 Down 
Eth1/24           -                 Up   
Eth2/11           -                 Down 
Eth2/11.3251      -                 Down 
Eth2/11.3255      -                 Down 
Eth2/14           -                 Down 
Eth2/16           -                 Down 
Eth2/18           -                 Down 
Eth2/19           -                 Up   
Eth2/24           -                 Up   
Eth3/10           -                 Down 
Eth3/11           -                 Down 
Eth3/12           -                 Down 
Eth3/14           -                 Down 
Eth3/15           -                 Down 
Eth3/17           -                 Down 
Eth3/18           -                 Up   
Eth3/24           -                 Down 
Eth2/15/2         -                 Down 
Eth2/15/3         -                 Down 
Eth2/15/4         -                 Down 
Eth2/21/1         -                 Up   
Eth2/21/2         -                 Up   
Eth2/21/3         -                 Down 
Eth2/21/4         -                 Down 
Eth3/16/1         -                 Up   
Eth3/16/2         -                 Down 
Eth3/16/3         -                 Up   
Eth3/16/4         -                 Down 
Eth3/23/1         -                 Up   
Eth3/23/2         -                 Up   
Eth3/23/3         -                 Up   
Eth3/23/4         -                 Up   
