

CPU utilization for five seconds: 35%/1%; one minute: 19%; five minutes: 12%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1        83990    849483      0   0.00%   0.00%  0.00%   -    init
 2550           10        30      0   0.00%   0.00%  0.00%   -    portmap
 2559           10         6      1   0.00%   0.00%  0.00%   -    rpc.statd
 2587            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 2610       262650   7856110      0   0.00%   0.00%  0.00%   -    sysmgr
 3535         1890    384660      0   0.00%   0.00%  0.00%   -    insmod
 3974           10         3      3   0.00%   0.00%  0.00%   -    xinetd
 3975           10         4      2   0.00%   0.00%  0.00%   -    tftpd
 3976        82410   4893459      0   0.00%   0.00%  0.00%   -    syslogd
 3977           30        56      0   0.00%   0.00%  0.00%   -    sdwrapd
 3978     86602730  19606282      4   3.40%   2.13%  1.47%   -    pfma
 4002        19610    970448      0   0.00%   0.00%  0.00%   -    vshd
 4003          130    130657      0   0.00%   0.00%  0.00%   -    smm
 4004        35790   3853351      0   0.00%   0.00%  0.00%   -    psshelper
 4005         2020    127688      0   0.00%   0.00%  0.00%   -    mmode
 4006         2990     64239      0   0.00%   0.00%  0.00%   -    lmgrd
 4007        13150    772983      0   0.00%   0.00%  0.00%   -    licmgr
 4008        34220    149742      0   0.00%   0.38%  0.15%   -    fs-daemon
 4009       178160   3110318      0   0.00%   0.00%  0.00%   -    feature-mgr
 4010         9470    771210      0   0.00%   0.00%  0.00%   -    fcfwd
 4011         1010      8413      0   0.00%   0.00%  0.00%   -    confcheck
 4012        10530    755921      0   0.00%   0.00%  0.00%   -    capability
 4013         7040   1424481      0   0.00%   0.00%  0.00%   -    bloggerd
 4014        34510   3853319      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 4024        31120   1920661      0   0.00%   0.00%  0.00%   -    clis
 4028        12980     67391      0   0.00%   0.00%  0.00%   -    cisco
 4031           70      1618      0   0.00%   0.00%  0.00%   -    klogd
 4045        60220    912518      0   0.00%   0.00%  0.00%   -    port-profile
 4048        11460    758172      0   0.00%   0.00%  0.00%   -    provision
 4055        21340   1497785      0   0.00%   0.00%  0.00%   -    zschk
 4056        22880   1498382      0   0.00%   0.00%  0.00%   -    xmpp
 4057        19590   1286269      0   0.00%   0.00%  0.00%   -    xmlma
 4058        20900   1496142      0   0.00%   0.00%  0.00%   -    vmm
 4059        16520    487282      0   0.00%   0.00%  0.00%   -    vman
 4060        21190   1498312      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4061        19890   1928342      0   0.00%   0.00%  0.00%   -    ttyd
 4062        10960  11014922      0   0.48%   0.49%  0.47%   -    sysinfo
 4063        29550   1283944      0   0.00%   0.00%  0.00%   -    sunnyvale
 4064       181240   1962338      0   0.00%   0.00%  0.00%   -    statsprofiler
 4065           80       417      0   0.00%   0.00%  0.00%   -    sksd
 4066      1969830    549191      3   0.00%   0.03%  0.02%   -    sensor
 4068         1100     76211      0   0.00%   0.00%  0.00%   -    res_mgr
 4069        34950   3882711      0   0.00%   0.00%  0.00%   -    plugin
 4070        47790   1631005      0   0.00%   0.00%  0.00%   -    pltfm_config
 4071        62200    774602      0   0.00%   0.00%  0.00%   -    plog_sup
 4072       118170   2519373      0   0.00%   0.00%  0.00%   -    pfstat
 4073         1780    129331      0   0.00%   0.00%  0.00%   -    patch-installer
 4074        11680    484854      0   0.00%   0.00%  0.00%   -    obfl
 4075       373080   4587039      0   0.09%   0.00%  0.00%   -    nohms
 4076       780220  15632451      0   0.00%   0.01%  0.01%   -    nfp
 4077         7570    504968      0   0.00%   0.00%  0.00%   -    mvsh
 4078        22340   1497665      0   0.00%   0.00%  0.00%   -    mcm
 4079        23190   1496057      0   0.00%   0.00%  0.00%   -    lim
 4080        47260   3858813      0   0.00%   0.00%  0.00%   -    ledmgr
 4081       149290   4242870      0   0.09%   0.01%  0.01%   -    l2rib
 4082       123450   1790830      0   0.09%   0.00%  0.00%   -    ifmgr
 4083        77860    790115      0   0.00%   0.00%  0.00%   -    idehsd
 4084         7190    506955      0   0.00%   0.00%  0.00%   -    evms
 4086         5780    381351      0   0.00%   0.00%  0.00%   -    evmc
 4087     19127190   2305850      8   0.00%   0.84%  0.51%   -    ethpc
 4088      1723130  27956267      0   0.00%   0.02%  0.01%   -    eth_dstats
 4089          200      1633      0   0.00%   0.00%  0.00%   -    core-dmon
 4091     94130000  281791217      0   4.38%   2.25%  1.65%   -    carmelusd
 4092        17980   1928490      0   0.00%   0.00%  0.00%   -    bootvar
 4093         9710    771838      0   0.00%   0.00%  0.00%   -    bios_daemon
 4094        46700   3856266      0   0.00%   0.00%  0.00%   -    bfdc
 4095        19630   1031248      0   0.00%   0.00%  0.00%   -    bcm_usd
 4096         7190    384678      0   0.00%   0.00%  0.00%   -    athertonusd
 4097         8130    483323      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4098         3870    383711      0   0.00%   0.00%  0.00%   -    adbm
 4099        47310   3855611      0   0.00%   0.00%  0.00%   -    securityd
 4100        27960    358115      0   0.00%   0.00%  0.00%   -    PMon
 4101        47190   3908180      0   0.00%   0.00%  0.00%   -    cert_enroll
 4102        35970   3865946      0   0.09%   0.00%  0.00%   -    aaa
 4107          210    131668      0   0.00%   0.00%  0.00%   -    l3vm
 4108          200   4030564      0   0.00%   0.00%  0.00%   -    urib
 4112        90850    115372      0   0.00%   0.00%  0.00%   -    aclmgr
 4135           20        22      0   0.00%   0.00%  0.00%   -    core-client
 4136        21200   1495804      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4137        27730   1599147      0   1.75%   0.14%  0.03%   -    qd
 4152     18368790  23190507      0   0.48%   0.35%  0.34%   -    fwm
 4156    115986910  40041648      2   1.46%   1.60%  1.43%   -    statsclient
 4158     61049240  141876622      0   0.19%   3.32%  1.66%   -    snmpd
 4162       198030    200294      0   0.09%   0.01%  0.00%   -    copp
 4163          240    222956      0   0.00%   0.00%  0.00%   -    npacl
 4168          180  304468914      0   0.00%   0.03%  0.03%   -    adjmgr
 4170          160    826407      0   0.00%   0.00%  0.00%   -    u6rib
 4212        21730   1496598      0   0.00%   0.00%  0.00%   -    sal
 4228        51080   4056015      0   0.00%   0.00%  0.00%   -    callhome
 4251          320   1733302      0   0.09%   0.01%  0.01%   -    arp
 4252          180    204683      0   0.00%   0.00%  0.00%   -    icmpv6
 4254          410  249045567      0   1.55%   0.80%  0.67%   -    pktmgr
 4290       365160  15774408      0   0.00%   0.00%  0.00%   -    fex
 4293      1306200   5124455      0   0.09%   0.48%  0.19%   -    lldp
 4294          440  131681016      0   1.55%   0.40%  0.17%   -    netstack
 4351        90580   3873031      0   0.00%   0.00%  0.00%   -    radius
 4355         8100    196764      0   0.00%   0.00%  0.00%   -    acllog
 4356      1240900   3645424      0   0.00%   0.04%  0.03%   -    cdp
 4358      4616190  54481650      0   0.09%   0.08%  0.07%   -    cfs
 4359          150  386946422      0   0.19%   0.05%  0.04%   -    ecp
 4360          300  29888372      0   0.00%   0.01%  0.02%   -    igmp
 4361           20       192      0   0.00%   0.00%  0.00%   -    ip_dummy
 4362           20       189      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 4363          250   9848310      0   0.00%   0.00%  0.00%   -    mrib
 4365        22090   1498821      0   0.00%   0.00%  0.00%   -    otm
 4366          170   1564667      0   0.00%   0.00%  0.00%   -    rpm
 4367           20        69      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4371     27225060   2964800      9   0.00%   0.31%  0.34%   -    afm
 4372         9240    389458      0   0.00%   0.00%  0.00%   -    m2rib
 4417          260      1383      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 4418       237890   4360464      0   0.19%   0.03%  0.01%   -    tacacs
 4419     22079450  46939339      0   1.26%   0.50%  0.45%   -    stp
 4427        24390   1499096      0   0.00%   0.00%  0.00%   -    iscm
 4436          260    136676      0   0.00%   0.00%  0.00%   -    mcastfwd
 4447         2790     40757      0   0.00%   0.00%  0.00%   -    ptplc
 4450        24820   1500429      0   0.00%   0.00%  0.00%   -    monitor
 4451        18180    236426      0   0.00%   0.00%  0.00%   -    ntp
 4453       237340   9010549      0   0.00%   0.00%  0.00%   -    ntpd
 4454        76720   1480909      0   0.09%   0.02%  0.00%   -    eth_port_channel
 4455       157910    672798      0   0.00%   0.02%  0.00%   -    vlan_mgr
 4456       185900   3161371      0   0.00%   0.01%  0.00%   -    interface-vlan
 4458       476400   7951049      0   0.00%   0.00%  0.00%   -    vpc
 4459      7869830  36623456      0   0.68%   1.13%  0.44%   -    ethpm
 4460        83050   1354758      0   0.19%   0.01%  0.00%   -    ipqosmgr
 4461      3366080  11147632      0   0.09%   0.06%  0.06%   -    lacp
 4464     19905990  11644609      1   0.48%   0.41%  0.40%   -    udld
