
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID            Local Intf      Hold-time  Capability  Port ID  
vdic-hv235h          Eth1/6          120        B           eth2              
vdic-hv235h          Eth1/7          120        B           eth4              
vdic-hv237h          Eth1/8          120        B           eth2              
vdic-hv237h          Eth1/9          120        B           eth4              
vdic-hv239h          Eth1/10         120        B           eth2              
vdic-hv239h          Eth1/11         120        B           eth4              
vdic-hv241h          Eth1/12         120        B           eth2              
vdic-hv241h          Eth1/13         120        B           eth4              
vdic-hv234h          Eth1/14         120        B           eth2              
vdic-hv234h          Eth1/15         120        B           eth4              
vdic-hv236h          Eth1/16         120        B           eth2              
vdic-hv236h          Eth1/17         120        B           eth4              
vdic-hv238h          Eth1/18         120        B           eth2              
vdic-hv238h          Eth1/19         120        B           eth4              
vdic-hv240h          Eth1/20         120        B           eth2              
vdic-hv240h          Eth1/21         120        B           eth4              
vdic-hv242h          Eth1/22         120        B           eth2              
vdic-hv242h          Eth1/23         120        B           eth4              
vdic-hv231h          Eth1/24         120        B           eth4              
vdic-hv229h          Eth1/25         120        B           eth3              
vdic-hv229h          Eth1/26         120        B           eth4              
vdic-hv231h          Eth1/27         120        B           eth2              
pN5K08-1.vtb         Eth1/28         120        B           Eth1/28           
pN5K08-1.vtb         Eth1/29         120        B           Eth1/29           
pN5K08-1.vtb         Eth1/30         120        B           Eth1/30           
pN77-1-switch1       Eth1/31         120        BR          Eth1/13/3         
pN77-2-switch2       Eth1/32         120        BR          Eth1/13/3         
pN77-1-switch1       Eth2/1          120        BR          Eth1/13/4         
pN77-2-switch2       Eth2/2          120        BR          Eth1/13/4         
pN5K08-1.vtb         Eth2/3          120        B           Eth2/3            
pN5K08-1.vtb         Eth2/4          120        B           Eth2/4            
pN5K08-1.vtb         Eth2/5          120        B           Eth2/5            
vdic-hv233h          Eth2/6          120        B           eth2              
vdic-hv230h          Eth2/7          120        B           eth3              
vdic-hv230h          Eth2/8          120        B           eth4              
vdic-hv232h          Eth2/9          120        B           eth2              
vdic-hv232h          Eth2/10         120        B           eth4              
vdic-hv233h          Eth2/11         120        B           eth4              
Total entries displayed: 38
