

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/9        3491    trnk-bndl     Po633
Eth1/49       1       trnk-bndl     Po7
Eth1/50       1       trnk-bndl     Po7
Eth1/51       1       trnk-bndl     Po1000
Eth1/52       1       trnk-bndl     Po1000
Eth2/5        3852    trnk-bndl     Po602
Eth2/6        3852    trnk-bndl     Po603
Eth2/7        3852    trnk-bndl     Po606
Eth2/8        3852    trnk-bndl     Po604
Eth2/9        3852    trnk-bndl     Po607
Eth2/10       3852    trnk-bndl     Po605
Eth2/11       2918    trnk-bndl     Po613
Eth2/12       2918    trnk-bndl     Po614
Eth2/13       2918    trnk-bndl     Po615
Eth2/14       2918    trnk-bndl     Po616
Eth2/15       2918    trnk-bndl     Po617
Eth2/16       2918    trnk-bndl     Po618
Eth2/17       2918    trnk-bndl     Po619
Eth2/18       2918    trnk-bndl     Po620
Eth2/19       2918    trnk-bndl     Po621
Eth2/20       2918    trnk-bndl     Po608
Eth2/21       2918    trnk-bndl     Po609
Eth2/22       2918    trnk-bndl     Po610
Eth2/23       2918    trnk-bndl     Po622
Eth2/24       2918    trnk-bndl     Po611
Eth3/1        2918    trnk-bndl     Po401
Eth3/2        2918    trnk-bndl     Po402
Eth3/3        2918    trnk-bndl     Po403
Eth3/4        2918    trnk-bndl     Po404
Eth3/5        2918    trnk-bndl     Po405
Eth3/6        2918    trnk-bndl     Po406
Eth3/7        2918    trnk-bndl     Po407
Eth3/8        2918    trnk-bndl     Po408
Eth3/9        2918    trnk-bndl     Po409
Eth3/10       2918    trnk-bndl     Po410
Eth3/11       2918    trnk-bndl     Po629
Eth3/12       2918    trnk-bndl     Po612
Eth3/13       2918    trnk-bndl     Po623
Eth3/14       2918    trnk-bndl     Po624
Eth3/15       2918    trnk-bndl     Po625
Eth3/16       2918    trnk-bndl     Po626
Eth3/17       2918    trnk-bndl     Po627
Eth3/18       2918    trnk-bndl     Po628
Eth3/21       3852    trnk-bndl     Po630
Eth3/22       3491    trnk-bndl     Po634
Eth3/23       3491    trnk-bndl     Po631
Eth3/24       3491    trnk-bndl     Po632
Po7           1       trunking      --
Po401         2918    trunking      --
Po402         2918    trunking      --
Po403         2918    trunking      --
Po404         2918    trunking      --
Po405         2918    trunking      --
Po406         2918    trunking      --
Po407         2918    trunking      --
Po408         2918    trunking      --
Po409         2918    trunking      --
Po410         2918    trunking      --
Po501         2918    trunking      --
Po502         2918    trunking      --
Po503         2918    trunking      --
Po504         2918    trunking      --
Po505         2918    trunking      --
Po506         2918    trunking      --
Po507         2918    trunking      --
Po508         2918    trunking      --
Po509         2918    trunking      --
Po510         2918    trunking      --
Po602         3852    trunking      --
Po603         3852    trunking      --
Po604         3852    trunking      --
Po605         3852    trunking      --
Po606         3852    trunking      --
Po607         3852    trunking      --
Po608         2918    trunking      --
Po609         2918    trunking      --
Po610         2918    trunking      --
Po611         2918    trunking      --
Po612         2918    trunking      --
Po613         2918    trunking      --
Po614         2918    trunking      --
Po615         2918    trunking      --
Po616         2918    trunking      --
Po617         2918    trunking      --
Po618         2918    trunking      --
Po619         2918    trunking      --
Po620         2918    trunking      --
Po621         2918    trunking      --
Po622         2918    trunking      --
Po623         2918    trunking      --
Po624         2918    trunking      --
Po625         2918    trunking      --
Po626         2918    trunking      --
Po627         2918    trunking      --
Po628         2918    trunking      --
Po629         2918    trunking      --
Po630         3852    trunking      --
Po631         3491    trunking      --
Po632         3491    trunking      --
Po633         3491    trunking      --
Po634         3491    trunking      --
Po702         3852    trunking      --
Po703         3852    trunking      --
Po704         3852    trunking      --
Po705         3852    trunking      --
Po706         3852    trunking      --
Po707         3852    trunking      --
Po708         2918    trunking      --
Po709         2918    trunking      --
Po710         2918    trunking      --
Po711         2918    trunking      --
Po712         2918    trunking      --
Po713         2918    trunking      --
Po714         2918    trunking      --
Po715         2918    trunking      --
Po716         2918    trunking      --
Po717         2918    trunking      --
Po718         2918    trunking      --
Po719         2918    trunking      --
Po720         2918    trunking      --
Po721         2918    trunking      --
Po722         2918    trunking      --
