

CPU utilization for five seconds: 12%/0%; one minute: 9%; five minutes: 6%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1       300560   3133126      0   0.00%   0.00%  0.00%   -    init
 2684           10        30      0   0.00%   0.00%  0.00%   -    portmap
 2693           10         6      1   0.00%   0.00%  0.00%   -    rpc.statd
 2721            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 2744      1031000  29313858      0   0.00%   0.00%  0.00%   -    sysmgr
 3793         5310   1444924      0   0.00%   0.00%  0.00%   -    insmod
 4315           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 4316           10        11      0   0.00%   0.00%  0.00%   -    tftpd
 4317       306200  18208628      0   0.00%   0.00%  0.00%   -    syslogd
 4318           90       279      0   0.00%   0.00%  0.00%   -    sdwrapd
 4319    258242450  82749352      3   0.72%   0.36%  0.31%   -    pfma
 4366        81120   3659428      0   0.00%   0.00%  0.00%   -    vshd
 4367          110    492466      0   0.00%   0.00%  0.00%   -    smm
 4368       145280  14450786      0   0.00%   0.00%  0.00%   -    psshelper
 4369         5460    245085      0   0.00%   0.00%  0.00%   -    mmode
 4370        11020    241149      0   0.00%   0.00%  0.00%   -    lmgrd
 4371        88560   3236357      0   0.00%   0.00%  0.00%   -    licmgr
 4372       109210    324998      0   0.00%   0.01%  0.02%   -    fs-daemon
 4373       430930   8011502      0   0.00%   0.00%  0.00%   -    feature-mgr
 4374        34950   2890277      0   0.00%   0.00%  0.00%   -    fcfwd
 4375         7110     43231      0   0.00%   0.00%  0.00%   -    confcheck
 4376        28400   1502645      0   0.00%   0.00%  0.00%   -    capability
 4377        25990   4868355      0   0.00%   0.00%  0.00%   -    bloggerd
 4378       140400  14450734      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 4389        86320    482303      0   0.00%   0.00%  0.00%   -    cisco
 4390       103250   6269934      0   0.00%   0.00%  0.00%   -    clis
 4395          200      3392      0   0.00%   0.00%  0.00%   -    klogd
 4402       159230   3013263      0   0.00%   0.00%  0.00%   -    port-profile
 4404        31220   1511884      0   0.00%   0.00%  0.00%   -    provision
 4410        60150   3423762      0   0.00%   0.00%  0.00%   -    zschk
 4411        60370   3083555      0   0.00%   0.00%  0.00%   -    xmpp
 4412        73460   4819287      0   0.00%   0.00%  0.00%   -    xmlma
 4413        58500   3422922      0   0.00%   0.00%  0.00%   -    vmm
 4414        63140   1808777      0   0.00%   0.00%  0.00%   -    vman
 4415        59020   3438222      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4416        81120   7228389      0   0.00%   0.00%  0.00%   -    ttyd
 4417        43690  28425909      0   0.13%   0.14%  0.14%   -    sysinfo
 4418      7188630  40994377      0   0.01%   0.00%  0.00%   -    statsprofiler
 4419          970      4336      0   0.00%   0.00%  0.00%   -    sksd
 4420      4722950   2065301      2   0.00%   0.00%  0.00%   -    sensor
 4422         4310    280462      0   0.00%   0.00%  0.00%   -    res_mgr
 4423       130390  14453524      0   0.00%   0.00%  0.00%   -    plugin
 4424       160640   4370208      0   0.00%   0.00%  0.00%   -    pltfm_config
 4425       301720   2896494      0   0.00%   0.00%  0.00%   -    plog_sup
 4426       584040   6360052      0   0.00%   0.00%  0.00%   -    pfstat
 4427         7040    489525      0   0.00%   0.00%  0.00%   -    patch-installer
 4428      2074300   5772985      0   0.00%   0.00%  0.00%   -    pacifica
 4429        43710   1809509      0   0.00%   0.00%  0.00%   -    obfl
 4430      1560430  16055408      0   0.00%   0.00%  0.00%   -    nohms
 4431      1631870  58203576      0   0.00%   0.00%  0.00%   -    nfp
 4432        19420    984454      0   0.00%   0.00%  0.00%   -    mvsh
 4433        62350   3235081      0   0.00%   0.00%  0.00%   -    mcm
 4434        64450   3248882      0   0.00%   0.00%  0.00%   -    lim
 4435       798190  144615874      0   0.00%   0.00%  0.00%   -    ledmgr
 4436       529590  15527740      0   0.01%   0.00%  0.00%   -    l2rib
 4437       358180   4800424      0   0.00%   0.00%  0.00%   -    ifmgr
 4438       296530   2893738      0   0.00%   0.00%  0.00%   -    idehsd
 4439        18820    984214      0   0.00%   0.00%  0.00%   -    evms
 4441        14630    734492      0   0.00%   0.00%  0.00%   -    evmc
 4442    150060280  11677371     12   0.25%   0.24%  0.24%   -    ethpc
 4443      6422480  101284292      0   0.01%   0.01%  0.01%   -    eth_dstats
 4444          480       293      1   0.00%   0.00%  0.00%   -    core-dmon
 4446        83180   7238361      0   0.00%   0.00%  0.00%   -    bootvar
 4447        36100   2890183      0   0.00%   0.00%  0.00%   -    bios_daemon
 4448   2150045088  4205891304      0   0.01%   0.04%  0.24%   -    bigsurusd
 4449       139860  10346942      0   0.00%   0.00%  0.00%   -    bfdc
 4450        81240   4028362      0   0.00%   0.00%  0.00%   -    bcm_usd
 4451        25050   1444966      0   0.00%   0.00%  0.00%   -    athertonusd
 4452        34050   1813706      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4453        10270    970709      0   0.00%   0.00%  0.00%   -    adbm
 4454       205240  14461646      0   0.00%   0.00%  0.00%   -    securityd
 4455       147280   1341413      0   0.00%   0.00%  0.00%   -    PMon
 4456       164300  14569327      0   0.00%   0.00%  0.00%   -    cert_enroll
 4457       148450  14513188      0   0.00%   0.00%  0.00%   -    aaa
 4466          210    532096      0   0.00%   0.00%  0.00%   -    l3vm
 4467          170  15105039      0   0.00%   0.00%  0.00%   -    urib
 4484       406010    455976      0   0.00%   0.00%  0.00%   -    aclmgr
 4485        57860   3427976      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4488    124426400  210521223      0   0.31%   0.16%  0.13%   -    fwm
 4489       123970   3835717      0   0.00%   0.00%  0.00%   -    qd
 4490    616599410  418188032      1   0.19%   2.04%  1.04%   -    statsclient
 4496    536676350  988688768      0   0.60%   1.39%  1.26%   -    snmpd
 4502           20        13      1   0.00%   0.00%  0.00%   -    core-client
 4507          150  1151373090      0   0.01%   0.02%  0.01%   -    adjmgr
 4508          180   3071831      0   0.00%   0.00%  0.00%   -    u6rib
 4515       757930    442867      1   0.00%   0.00%  0.00%   -    copp
 4516          270    798502      0   0.00%   0.00%  0.00%   -    npacl
 4520       143640    396800      0   0.00%   0.00%  0.00%   -    spm
 4536          670   2575571      0   0.00%   0.00%  0.00%   -    arp
 4541          500    802494      0   0.00%   0.00%  0.00%   -    icmpv6
 4544       209140  15248739      0   0.00%   0.00%  0.00%   -    callhome
 4554          360  1661407951      0   0.39%   0.21%  0.12%   -    pktmgr
 4555        62170   3428428      0   0.00%   0.00%  0.00%   -    sal
 4640     11002110  125358814      0   0.00%   0.02%  0.01%   -    fex
 4641     16071800  108568896      0   0.01%   0.06%  0.06%   -    lldp
 4644          480  867526949      0   0.45%   0.20%  0.08%   -    netstack
 4687       309210  14454688      0   0.00%   0.00%  0.00%   -    radius
 4688        28170    711914      0   0.00%   0.00%  0.00%   -    acllog
 4689      7840630  24416560      0   0.00%   0.01%  0.01%   -    cdp
 4690     30571440  275602452      0   0.05%   0.05%  0.04%   -    cfs
 4691          120  1455237142      0   0.00%   0.00%  0.00%   -    ecp
 4692          260  65081038      0   0.00%   0.00%  0.00%   -    igmp
 4693           20       102      0   0.00%   0.00%  0.00%   -    ip_dummy
 4694           30       104      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 4697          240  37131376      0   0.00%   0.00%  0.00%   -    mrib
 4699        66540   3468987      0   0.00%   0.00%  0.00%   -    otm
 4700          180   5892966      0   0.00%   0.00%  0.00%   -    rpm
 4701           20       103      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4744      1076970  16305454      0   0.00%   0.00%  0.00%   -    tacacs
 4746         1170      5477      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 4763        72310   3299847      0   0.00%   0.00%  0.00%   -    iscm
 4765          210    499408      0   0.00%   0.00%  0.00%   -    mcastfwd
 4802    405984970  84334415      4   0.00%   0.32%  0.34%   -    afm
 4803        52350    857332      0   0.00%   0.00%  0.00%   -    m2rib
 4804     42143050  200707832      0   0.99%   0.12%  0.06%   -    stp
 4810        10400    155043      0   0.00%   0.00%  0.00%   -    ptplc
 4811        79500   3290923      0   0.00%   0.00%  0.00%   -    monitor
 4812        79560    850597      0   0.00%   0.00%  0.00%   -    ntp
 4817       856630  23870642      0   0.00%   0.00%  0.00%   -    ntpd
 4818       276200   4147898      0   0.03%   0.01%  0.00%   -    eth_port_channel
 4819      1228490   2017711      0   0.00%   0.01%  0.00%   -    vlan_mgr
 4820       468030   5099355      0   0.00%   0.00%  0.00%   -    ipqosmgr
 4821     27649330  56390090      0   0.03%   0.03%  0.03%   -    lacp
 4823    127031080  428550436      0   0.78%   0.79%  0.53%   -    ethpm
 4824       425780   7389389      0   0.00%   0.00%  0.00%   -    interface-vlan
 4825      1755740  26959725      0   0.00%   0.00%  0.00%   -    vpc
 4828       164080   4671499      0   0.00%   0.00%  0.00%   -    btcm
 4829    204923830  33840780      6   0.25%   0.23%  0.24%   -    udld
 4834       382150   1469819      0   0.00%   0.00%  0.00%   -    mfdm
 4835       103290   3220626      0   0.00%   0.00%  0.00%   -    ufdm
 5566           10         5      2   0.00%   0.00%  0.00%   -    sh
 5573           40        57      0   0.00%   0.00%  0.00%   -    libvirtd
 8981         1060     10347      0   0.39%   0.12%  0.03%   -    dcos_sshd
 8988          450       437      1   0.13%   0.01%  0.00%   0    vsh
 9143           30        14      2   0.00%   0.00%  0.00%   S0    login
