
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID            Local Intf      Hold-time  Capability  Port ID  
sw-pr1-data-1.vtb24.rumgmt0           120        B           Eth103/1/5        
vdic-hv2053h         Eth1/1          120        B           eth1              
vdic-hv2053h         Eth1/2          120        B           eth2              
vdic-hv2054h         Eth1/3          120        B           eth1              
vdic-hv2054h         Eth1/4          120        B           eth2              
vdic-hv2055h         Eth1/5          120        B           eth1              
vdic-hv2055h         Eth1/6          120        B           eth2              
vdic-hv2056h         Eth1/7          120        B           eth1              
vdic-hv2056h         Eth1/8          120        B           eth2              
vdic-hv2057h         Eth1/9          120        B           eth1              
vdic-hv2057h         Eth1/10         120        B           eth2              
vdic-hv2058h         Eth1/11         120        B           eth1              
vdic-hv2058h         Eth1/12         120        B           eth2              
vdic-hv2059h         Eth1/13         120        B           eth1              
vdic-hv2059h         Eth1/14         120        B           eth2              
vdic-hv2060h         Eth1/15         120        B           eth1              
vdic-hv2060h         Eth1/16         120        B           eth2              
vdic-hv2061h         Eth1/17         120        B           eth1              
vdic-hv2061h         Eth1/18         120        B           eth2              
vdic-hv2062h         Eth1/19         120        B           eth1              
vdic-hv2062h         Eth1/20         120        B           eth2              
vdic-hv2063h         Eth1/21         120        B           eth1              
vdic-hv2063h         Eth1/22         120        B           eth2              
vdic-hv2064h         Eth1/23         120        B           eth1              
vdic-hv2064h         Eth1/24         120        B           eth2              
vdic-hv2065h         Eth1/25         120        B           eth1              
vdic-hv2065h         Eth1/26         120        B           eth2              
vdic-hv2066h         Eth1/27         120        B           eth1              
vdic-hv2066h         Eth1/28         120        B           eth2              
vdic-hv2067h         Eth1/29         120        B           eth1              
vdic-hv2067h         Eth1/30         120        B           eth2              
vdic-hv2068h         Eth1/31         120        B           eth1              
vdic-hv2068h         Eth1/32         120        B           eth2              
vdic-hv2069h         Eth1/33         120        B           eth1              
vdic-hv2069h         Eth1/34         120        B           eth2              
vdic-hv2070h         Eth1/35         120        B           eth1              
vdic-hv2070h         Eth1/36         120        B           eth2              
vdic-hv2071h         Eth1/37         120        B           eth1              
vdic-hv2071h         Eth1/38         120        B           eth2              
vdic-hv2072h         Eth1/39         120        B           eth1              
vdic-hv2072h         Eth1/40         120        B           eth2              
pN9K-con-exa8        Eth1/44         120        BR          Ethernet1/49      
pN5k10-2             Eth1/47         120        B           Eth1/47           
pN5k10-2             Eth1/48         120        B           Eth1/48           
pN77-1-switch1       Eth1/49         120        BR          Eth2/13           
pN77-2-switch2       Eth1/50         120        BR          Eth2/13           
pN5k10-2             Eth1/51         120        B           Eth1/51           
pN5k10-2             Eth1/52         120        B           Eth1/52           
Total entries displayed: 48
