

CPU utilization for five seconds: 11%/1%; one minute: 8%; five minutes: 4%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1       199850   2034512      0   0.00%   0.00%  0.00%   -    init
 2694           10        27      0   0.00%   0.00%  0.00%   -    portmap
 2729            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 2752       640580  18953697      0   0.00%   0.00%  0.00%   -    sysmgr
 3801         3530    937878      0   0.00%   0.00%  0.00%   -    insmod
 4323           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 4324           10         8      1   0.00%   0.00%  0.00%   -    tftpd
 4325       186080  11667192      0   0.00%   0.00%  0.00%   -    syslogd
 4326           50       150      0   0.00%   0.00%  0.00%   -    sdwrapd
 4327     51169730  18822473      2   0.00%   0.24%  0.12%   -    pfma
 4374        49540   2365519      0   0.00%   0.00%  0.00%   -    vshd
 4375          120    319777      0   0.00%   0.00%  0.00%   -    smm
 4376        91920   9380006      0   0.00%   0.00%  0.00%   -    psshelper
 4377         3470    158710      0   0.00%   0.00%  0.00%   -    mmode
 4378         7220    156449      0   0.00%   0.00%  0.00%   -    lmgrd
 4379        32840   1885534      0   0.00%   0.00%  0.00%   -    licmgr
 4380        50560    196635      0   0.00%   0.15%  0.07%   -    fs-daemon
 4381        95100   2145149      0   0.00%   0.00%  0.00%   -    feature-mgr
 4382        22520   1876090      0   0.00%   0.00%  0.00%   -    fcfwd
 4383          340      4485      0   0.00%   0.00%  0.00%   -    confcheck
 4384        18170    954073      0   0.00%   0.00%  0.00%   -    capability
 4385        16570   3151611      0   0.00%   0.00%  0.00%   -    bloggerd
 4386        90220   9379942      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 4397        32310    161815      0   0.00%   0.00%  0.00%   -    cisco
 4398        45900   5635359      0   0.00%   0.00%  0.00%   -    clis
 4409        89470   1911045      0   0.00%   0.00%  0.00%   -    port-profile
 4410        20110    956689      0   0.00%   0.00%  0.00%   -    provision
 4418        37140   1921500      0   0.00%   0.00%  0.00%   -    zschk
 4419        38180   1911446      0   0.00%   0.00%  0.00%   -    xmpp
 4420        47680   3127533      0   0.00%   0.00%  0.00%   -    xmlma
 4421        36210   1920345      0   0.00%   0.00%  0.00%   -    vmm
 4422        40140   1173474      0   0.00%   0.00%  0.00%   -    vman
 4423        35710   1922725      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4424        50100   4691035      0   0.00%   0.00%  0.00%   -    ttyd
 4425        24450  14256492      0   0.11%   0.14%  0.13%   -    sysinfo
 4426      1239530   7534020      0   0.00%   0.00%  0.00%   -    statsprofiler
 4427          350      1295      0   0.00%   0.00%  0.00%   -    sksd
