
  FEX         FEX           FEX              FEX              Fex       
Number    Description      State            Model            Serial     
------------------------------------------------------------------------
101     pN2K11-101                Online         N2K-B22HP-P   FOC1841R3ME
103     pN2K11-103                Online         N2K-B22HP-P   FOC2039R123
105     pN2K11-105                Online   N2K-C2348UPQ-10GE   FOC2024R035
107     pN2K11-107                Online         N2K-B22HP-P   FOC2045R2NE
109     pN2K11-109                Online         N2K-B22HP-P   FOC2039R118
111     pN2K11-111                Online         N2K-B22HP-P   FOC1546R04Z
113     pN2K11-113                Online         N2K-B22HP-P   FOC2044R169
115     pN2K11-115                Online         N2K-B22HP-P   FOC2045R2ND
117     pN2K11-117                Online         N2K-B22HP-P   FOC1948R0BK
119     pN2K11-119                Online         N2K-B22HP-P   FOC1948R0BJ
121     pN2K11-121                Online         N2K-B22HP-P   FOC2039R112
123        FEX0123                Online   N2K-C2348UPQ-10GE   FOC2024R2G5
127        FEX0127                Online         N2K-B22HP-P   FOC1617R0H8
