

CPU utilization for five seconds: 11%/0%; one minute: 9%; five minutes: 5%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
  682       188370   4104781      0   0.00%   0.00%  0.00%   -    vntag_mgr
  683      4279150  70728700      0   0.00%   0.00%  0.00%   -    fex
 4878     33937760  523014131      0   0.00%   0.00%  0.00%   -    sysmgr
 5842    443844706  1986532653      0   0.00%   0.00%  0.00%   -    platform
 6095       888520  33309892      0   0.00%   0.00%  0.00%   -    pixm_gl
 6096          100  1058671019      0   0.11%   0.09%  0.10%   -    pdsd
 6098       997430  28148758      0   0.00%   0.00%  0.00%   -    licmgr
 6099      1111380   8183837      0   0.00%   0.00%  0.00%   -    fs-daemon
 6103       232520  24522399      0   0.00%   0.00%  0.00%   -    bloggerd
 6146       704130  33141803      0   0.00%   0.00%  0.00%   -    vdc_mgr
 6149     10125630  1262524407      0   0.05%   0.09%  0.07%   -    sysinfo
 6154        47410   2368251      0   0.00%   0.00%  0.00%   -    res_mgr
 6155      1891310  122740127      0   0.00%   0.00%  0.00%   -    plugin
 6156       702440  33070777      0   0.00%   0.00%  0.00%   -    pltfm_debug
 6167    121548230  208424031      0   0.00%   0.00%  0.00%   -    diagmgr
 6170      7147760  108525717      0   0.00%   0.00%  0.00%   -    clk_mgr
 6224     54502560  45455006      1   0.00%   0.00%  0.00%   -    diagclient
 6347      1068760  12667257      0   0.00%   0.00%  0.00%   -    xbar
 6388     20712430  285242529      0   0.00%   0.00%  0.00%   -    module
 6393     14283940  117508706      0   0.00%   0.00%  0.00%   -    ifmgr
 6753       796390  33026855      0   0.00%   0.00%  0.00%   -    sim
 6755      7585060  86000427      0   0.00%   0.00%  0.00%   -    pltfm_config
 6758       922210  34008828      0   0.00%   0.00%  0.00%   -    pixmc
 6761       731700  33053851      0   0.00%   0.00%  0.00%   -    monitorc
 6767       833360  33013587      0   0.00%   0.00%  0.00%   -    giscm
 6805    148010790  126643937      1   0.00%   0.00%  0.00%   -    diag_port_lb
 7590     16068470  414023132      0   0.00%   0.00%  0.00%   -    syslogd
 7593         6140     71979      0   0.00%   0.00%  0.00%   -    confcheck
 7594    369890730  1438775702      0   0.13%   0.06%  0.05%   -    feature-mgr
 7595      1148220  37360568      0   0.00%   0.00%  0.00%   -    pixm_vl
 7596      1767750  122584390      0   0.00%   0.00%  0.00%   -    psshelper
 7597       717210  33885953      0   0.00%   0.00%  0.00%   -    session-mgr
 7598          150   4565171      0   0.00%   0.00%  0.00%   -    smm
 7599       714340  33943940      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 7600      1071250  26761727      0   0.00%   0.00%  0.00%   -    vshd
 7606      1899210  10861769      0   0.00%   0.00%  0.00%   -    clis
 7607       253190   6540372      0   0.00%   0.00%  0.00%   -    port-profile
 7615      2878540  127937766      0   0.00%   0.00%  0.00%   -    aaa
 7616      1722590  122870234      0   0.00%   0.00%  0.00%   -    cert_enroll
 7617      2177200  123007367      0   0.00%   0.00%  0.00%   -    securityd
 7618       383830  15340534      0   0.00%   0.00%  0.00%   -    ascii-cfg
 7619       709730  33993012      0   0.00%   0.00%  0.00%   -    cli_acl
 7620       183990   8323852      0   0.00%   0.00%  0.00%   -    evmc
 7622       231380  11049747      0   0.00%   0.00%  0.00%   -    evms
 7623          130      1218      0   0.00%   0.00%  0.00%   -    mping_server
 7624       243520  11087385      0   0.00%   0.00%  0.00%   -    mvsh
 7626      1697870  122537052      0   0.00%   0.00%  0.00%   -    sksd
 7627       383400  16888902      0   0.00%   0.03%  0.00%   -    snmpmib_proc
 7628     21171490  136152657      0   0.00%   0.00%  0.00%   -    statsprofiler
 7629       668200  15342061      0   0.00%   0.00%  0.00%   -    vman
 7630       722770  34042492      0   0.00%   0.00%  0.00%   -    vmm
 7631       879810  40870038      0   0.00%   0.00%  0.00%   -    xmlma
 7632       692050  33937409      0   0.00%   0.00%  0.00%   -    xmpp
 7633          180   4598488      0   0.00%   0.00%  0.00%   -    l3vm
 7634          180  290018330      0   0.00%   0.00%  0.00%   -    urib
 7646       694590  33958463      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 7649      1848230  17626252      0   0.00%   0.00%  0.00%   -    aclmgr
 7654          170  2168585312      0   0.00%   0.00%  0.00%   -    adjmgr
 7655       709660  33934728      0   0.00%   0.00%  0.00%   -    ncpinframgr
 7656          170  233078983      0   0.00%   0.00%  0.00%   -    u6rib
 7678          240  12796311      0   0.00%   0.00%  0.00%   -    npacl
 7681          240  1919292586      0   4.06%   1.24%  0.43%   -    arp
 7682          170  25533296      0   0.35%   0.02%  0.00%   -    icmpv6
 7686          250  741905447      0   0.27%   0.25%  0.22%   -    pktmgr
 7711          320  3946280961      0   0.39%   0.33%  0.27%   -    netstack
 7729      3220390  122674893      0   0.00%   0.00%  0.00%   -    radius
 7730     24056190  127436285      0   0.00%   0.00%  0.00%   -    cdp
 7732     89647500  728550948      0   0.00%   0.00%  0.00%   -    cfs
 7734           90       753      0   0.00%   0.00%  0.00%   -    ip_dummy
 7735           90       744      0   0.00%   0.00%  0.00%   -    ipv6_dummy
