

CPU utilization for five seconds: 6%/1%; one minute: 5%; five minutes: 4%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
25422    770273700  4242471473      0   0.48%   0.73%  0.68%   -    snmpd
 7681          240  2084507815      0   0.31%   0.42%  0.44%   -    arp
 7711          320  23852079      0   0.52%   0.32%  0.28%   -    netstack
 7686          250  1888865355      0   0.33%   0.28%  0.27%   -    pktmgr
 7858   1447924180  2504499647      0   0.21%   0.26%  0.23%   -    ethpm
 7803          180  1022245791      0   0.03%   0.05%  0.05%   -    sla_sender
 7594    379944440  1590447256      0   0.03%   0.05%  0.04%   -    feature-mgr
 7882    742864460  2178238574      0   0.05%   0.04%  0.04%   -    hsrp_engine
 7899    344021910  1586318703      0   0.01%   0.05%  0.04%   -    interface-vlan
 7856    284794450  1206183169      0   0.01%   0.02%  0.02%   -    ipqosmgr
32492    495780710  878518309      0   0.01%   0.01%  0.01%   -    udld
 7861    334907200  970257777      0   0.01%   0.01%  0.01%   -    stp
 7885          170  2189270026      0   0.03%   0.02%  0.01%   -    eigrp
 7808    132396140  2685999614      0   0.09%   0.01%  0.01%   -    pfstat
 7813          200  1941825370      0   0.00%   0.00%  0.00%   -    igmp
 7654          170  2194683861      0   0.00%   0.00%  0.00%   -    adjmgr
 7855     35109550  586810166      0   0.00%   0.00%  0.00%   -    eth_dstats
 7859    100554550  484734871      0   0.00%   0.00%  0.00%   -    l2fm
 7775     10845810  170626067      0   0.00%   0.00%  0.00%   -    tacacs
 7853      4451910  53729175      0   0.00%   0.00%  0.00%   -    eth_port_channel
 7615      3033260  129347958      0   0.00%   0.00%  0.00%   -    aaa
 4878     35025870  538021525      0   0.00%   0.00%  0.00%   -    sysmgr
28178          210  3754657459      0   0.00%   0.00%  0.00%   -    ospf
 7810     96608330  237745149      0   0.00%   0.00%  0.00%   -    lldp
29627          250       135      1   0.01%   0.00%  0.00%   1    vsh
 7777     26938570  524485266      0   0.00%   0.00%  0.00%   -    ntpd
 7874      9195310  142310888      0   0.00%   0.00%  0.00%   -    ufdm
 7600      1166190  28496621      0   0.00%   0.00%  0.00%   -    vshd
 7732     90467680  735311767      0   0.00%   0.00%  0.00%   -    cfs
 7880          200  471739521      0   0.00%   0.00%  0.00%   -    m6rib
 7805          190  93245409      0   0.00%   0.00%  0.00%   -    rpm
 7898       856210  10316263      0   0.00%   0.00%  0.00%   -    m2rib
  682       194380   4373501      0   0.00%   0.00%  0.00%   -    vntag_mgr
  683      4379250  74827462      0   0.00%   0.00%  0.00%   -    fex
 7590     16146260  419237834      0   0.00%   0.00%  0.00%   -    syslogd
 7593         6340     74018      0   0.00%   0.00%  0.00%   -    confcheck
 7595      1162020  37708433      0   0.00%   0.00%  0.00%   -    pixm_vl
 7596      1782380  123606506      0   0.00%   0.00%  0.00%   -    psshelper
 7597       722860  34152776      0   0.00%   0.00%  0.00%   -    session-mgr
 7598          150   4603483      0   0.00%   0.00%  0.00%   -    smm
 7599       719750  34210158      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 7606      1928150  11020108      0   0.00%   0.00%  0.00%   -    clis
 7607       255370   6592416      0   0.00%   0.00%  0.00%   -    port-profile
 7616      1739260  123912541      0   0.00%   0.00%  0.00%   -    cert_enroll
 7617      2209300  124090906      0   0.00%   0.00%  0.00%   -    securityd
 7618       387060  15468498      0   0.00%   0.00%  0.00%   -    ascii-cfg
 7619       715310  34261107      0   0.00%   0.00%  0.00%   -    cli_acl
 7620       185500   8387481      0   0.00%   0.00%  0.00%   -    evmc
 7622       233130  11134695      0   0.00%   0.00%  0.00%   -    evms
 7623          130      1226      0   0.00%   0.00%  0.00%   -    mping_server
 7624       245510  11172107      0   0.00%   0.00%  0.00%   -    mvsh
 7626      1711640  123559109      0   0.00%   0.00%  0.00%   -    sksd
 7627       387120  17027368      0   0.00%   0.00%  0.00%   -    snmpmib_proc
 7628     21340140  137276154      0   0.00%   0.00%  0.00%   -    statsprofiler
 7629       674150  15470021      0   0.00%   0.00%  0.00%   -    vman
 7630       731090  34325031      0   0.00%   0.00%  0.00%   -    vmm
 7631       887000  41211059      0   0.00%   0.00%  0.00%   -    xmlma
 7632       697540  34203767      0   0.00%   0.00%  0.00%   -    xmpp
 7633          180   4637365      0   0.00%   0.00%  0.00%   -    l3vm
 7634          180  293359050      0   0.00%   0.00%  0.00%   -    urib
 7646       699930  34226919      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 7649      1867380  17802443      0   0.00%   0.00%  0.00%   -    aclmgr
 7655       715070  34201218      0   0.00%   0.00%  0.00%   -    ncpinframgr
 7656          170  236009005      0   0.00%   0.00%  0.00%   -    u6rib
 7678          240  12901045      0   0.00%   0.00%  0.00%   -    npacl
 7682          170  25775039      0   0.00%   0.00%  0.00%   -    icmpv6
 7729      3248720  123697978      0   0.00%   0.00%  0.00%   -    radius
 7730     24315700  128585435      0   0.00%   0.00%  0.00%   -    cdp
 7734           90       759      0   0.00%   0.00%  0.00%   -    ip_dummy
 7735           90       750      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 7736       513170   7211314      0   0.00%   0.00%  0.00%   -    ntp
 7737       976400  37209080      0   0.00%   0.00%  0.00%   -    otm
 7740           90       760      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 7776       309330   1863992      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 7782      2110780  123557527      0   0.00%   0.00%  0.00%   -    callhome
 7802      1620340  19620611      0   0.00%   0.00%  0.00%   -    spm
 7804          160  12655588      0   0.00%   0.00%  0.00%   -    sla_responder
 7806       700420  34199513      0   0.00%   0.00%  0.00%   -    plsm
 7807      2449800  50074329      0   0.00%   0.00%  0.00%   -    plcmgr
 7811      1349260  38842563      0   0.00%   0.00%  0.00%   -    lim
 7812      4804620  135312551      0   0.00%   0.00%  0.00%   -    l2rib
 7814       306230  11460717      0   0.00%   0.00%  0.00%   -    eltm
 7815          160  3351792577      0   0.00%   0.00%  0.00%   -    ecp
 7817       126290   9683456      0   0.00%   0.00%  0.00%   -    adbm
 7818       242490   5533977      0   0.00%   0.00%  0.00%   -    acllog
 7819      4481790  60866950      0   0.00%   0.00%  0.00%   -    monitor
 7833       799790  34226319      0   0.00%   0.00%  0.00%   -    iscm
 7854      1493020  17862687      0   0.00%   0.00%  0.00%   -    vlan_mgr
 7857     53974570  237963147      0   0.00%   0.00%  0.00%   -    lacp
 7860      3444770  10884399      0   0.00%   0.00%  0.00%   -    aclqos
 7872       662180  34219542      0   0.00%   0.00%  0.00%   -    vrrp-cfg
 7873     24851690  231693024      0   0.00%   0.00%  0.00%   -    vpc
 7875       351090  16749689      0   0.00%   0.00%  0.00%   -    u2
 7876       729390  34208532      0   0.00%   0.00%  0.00%   -    sal
 7877          180  414579708      0   0.00%   0.00%  0.00%   -    mrib
 7878     13503100  97733402      0   0.00%   0.00%  0.00%   -    mfdm
 7879       747600  34124382      0   0.00%   0.00%  0.00%   -    mcm
 7881     39225400  157620464      0   0.00%   0.00%  0.00%   -    l2pt
 7883       987950  33999949      0   0.00%   0.00%  0.00%   -    bfd_app
 7884      1454750  47807703      0   0.00%   0.00%  0.00%   -    bfd
 7891       981750  34249430      0   0.00%   0.00%  0.00%   -    vrrp-eng
 7893          200   4767804      0   0.00%   0.00%  0.00%   -    mcastfwd
18324     30843130  167076577      0   0.00%   0.00%  0.00%   -    dhcp_snoop
29538          210  401904874      0   0.00%   0.00%  0.00%   -    bgp
29743         1170      1637      0   0.00%   0.00%  0.00%   1    vsh
