

PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
29538  16105472  0           691171328   ff84c130/ffffffff  bgp
 7885  19865600  1540587110  690450432   ffaf1220/ffffffff  eigrp
28178  14745600  1821030579  664940544   ff992040/ffffffff  ospf
 7633  10293248  1525116812  624582656   ffb83080/ffffffff  l3vm
 7819  208859136  839766707   583831552   ffb3dad0/ffffffff  monitor
 7711  52965376  1245657779  562057216   ffd04690/ffffffff  netstack
 7681  77656064  1148414246  550039552   ffa3dd90/ffffffff  arp
 7618   2867200  1430241472  507273216   ffbd6e60/ffffffff  ascii-cfg
 7607  64761856  1664609689  492752896   ffb50b50/ffffffff  port-profile
 7606  19619840  1351848115  445243392   ff8e7320/ffffffff  clis
 7686  19963904  1067764825  444223488   ff89d1d0/ffffffff  pktmgr
25422  22822912  861113395   434790400   ff942400/ffffffff  snmpd
 7861  24453120  1002275788  433434624   ff99a430/ffffffff  stp
 7599   5967872  996540300   429731840   fff7cbe0/ffffffff  vpc_config_sync
29627   2932736  838860800   426758144   ffb51fc0/ffffffff  vsh
 6096  27197440  0           424886272   ffb23920/ffffffff  pdsd
 7858  17035264  819483340   424357888   ffc11380/ffffffff  ethpm
 7805  10244096  1008150412  418979840   ff9b71f0/ffffffff  rpm
 7813  25219072  1241635264  417099776   ff83ece0/ffffffff  igmp
 7811  73138176  875029196   416899072   ff9e8f00/ffffffff  lim
 7882   7184384  1003135270  416591872   ffcc3690/ffffffff  hsrp_engine
 7682   6844416  1008213081  416165888   ff820120/ffffffff  icmpv6
 7884   9494528  926431641   414167040   ff991190/ffffffff  bfd
18324   8368128  998612057   413265920   ffad6ac0/ffffffff  dhcp_snoop
 7877  14618624  1113955699  412651520   ffde67d0/ffffffff  mrib
 7880   8404992  998098419   409927680   ffef2c50/ffffffff  m6rib
 7859  39858176  996649068   406953984   ff817ba0/ffffffff  l2fm
 7654  24453120  1013358886  405987328   ffea1520/ffffffff  adjmgr
 7833  22253568  1019783872  405782528   ffc35080/ffffffff  iscm
 7854  48160768  777657689   405311488   ffa3c9b0/ffffffff  vlan_mgr
 7874  23977984  1008448601  403173376   ffb59c90/ffffffff  ufdm
 7893  10215424  964617164   403120128   ffc26fd0/ffffffff  mcastfwd
 7736   3321856  995962764   397238272   ffe8c8a0/ffffffff  ntp
 7737   4468736  995196812   397230080   ff8cd050/ffffffff  otm
 7873  12742656  945918924   395919360   fff70060/ffffffff  vpc
 7856  35594240  1607357030  390463488   ffc48e60/ffffffff  ipqosmgr
 7812  12836864  1026474803  385888256   ffefd7f0/ffffffff  l2rib
  682  39534592  823637478   385613824   ffc65480/ffffffff  vntag_mgr
 6805  29974528  802457497   383488000   ffe61de0/ffffffff  diag_port_lb
 7634   9883648  1287646182  383328256   fff36350/ffffffff  urib
 7860  32874496  732278976   382300160   ff9df7b0/ffffffff  aclqos
 7891   4890624  995552755   379944960   ffc81e50/ffffffff  vrrp-eng
 7803   7864320  997201804   379392000   ffb28b50/ffffffff  sla_sender
 7656   7806976  1000562572  378109952   ff9c5d70/ffffffff  u6rib
 7595  30969856  950965452   376905728   ffd1bd80/ffffffff  pixm_vl
 7730   3514368  832003558   376008704   ff84cdd0/ffffffff  cdp
 7678   4612096  1018027507  375373824   ffd944f0/ffffffff  npacl
 6758  27512832  825155865   374693888   ffb3aac0/ffffffff  pixmc
 7883   3354624  732872896   374276096   ff9e49e0/ffffffff  bfd_app
 5842  25128960  0           373911552   ffceaaa0/ffffffff  platform
 7729   3465216  859080032   372588544   ffe1f060/ffffffff  radius
  683  22667264  744403545   371888128   ffb61290/ffffffff  fex
 6347  15511552  0           371593216   ffbb24c0/ffffffff  xbar
 6095  20230144  944846848   371449856   ffc2cf80/ffffffff  pixm_gl
 7810  22007808  779164390   368857088   ffb09040/ffffffff  lldp
 7876   2936832  994002828   368365568   fff2abd0/ffffffff  sal
 6767  10383360  736167308   364617728   ffdde660/ffffffff  giscm
 6224  21286912  676864601   363589632   ffdb24d0/ffffffff  diagclient
 6393   9420800  734137113   362799104   ffc93060/ffffffff  ifmgr
 7814  15523840  744732947   362700800   ff8c4e90/ffffffff  eltm
 7817  13496320  937088768   360071168   fff72190/ffffffff  adbm
 7878  10915840  1100786649  360042496   ffb79430/ffffffff  mfdm
 7649  10076160  1601720524  357564416   ff835ce0/ffffffff  aclmgr
 7898  12349440  1126210905  357457920   ffedbe80/ffffffff  m2rib
 7853   7766016  735538355   357126144   ffb315a0/ffffffff  eth_port_channel
 7857   8073216  736065510   356438016   ffd37e00/ffffffff  lacp
 7590  11567104  744461273   355168256   ffc9dfb0/ffffffff  syslogd
 6753   8290304  792296991   354697216   ffa52e40/ffffffff  sim
 7732  12128256  1050229171  354131968   ffd2cde0/ffffffff  cfs
