
VPC Role: Secondary
VPC Peer-Link Status: Up

Interface      Orphan Port        Orphan-port   
               Suspend-config     Status        
------------   ----------------   -------------
Po1               -                 Up   
Po2               -                 Up   
Po1001            -                 Up   
Po1.2628          -                 Up   
Po2.2629          -                 Up   
Po1.3071          -                 Up   
Po2.3072          -                 Up   
Po1.3077          -                 Up   
Po2.3078          -                 Up   
Po1.3090          -                 Up   
Po2.3091          -                 Up   
Po1.3226          -                 Up   
Po2.3227          -                 Up   
Po1.3232          -                 Up   
Po2.3233          -                 Up   
Po1.3241          -                 Up   
Po2.3242          -                 Up   
Po1.3248          -                 Up   
Po2.3249          -                 Up   
Po1.3275          -                 Up   
Po2.3276          -                 Up   
Po1.3289          -                 Up   
Po2.3290          -                 Up   
Po1.3297          -                 Up   
Po2.3298          -                 Up   
Po1.3550          -                 Up   
Po2.3551          -                 Up   
Po1.3571          -                 Up   
Po2.3572          -                 Up   
Po1.3580          -                 Up   
Po2.3581          -                 Up   
Po1.3595          -                 Up   
Po2.3596          -                 Up   
Po1.3660          -                 Up   
Po2.3661          -                 Up   
Po1.3666          -                 Up   
Po2.3667          -                 Up   
Po1.3672          -                 Up   
Po2.3673          -                 Up   
Po1.3678          -                 Up   
Po2.3679          -                 Up   
Po1.3682          -                 Up   
Po2.3683          -                 Up   
Po1.3686          -                 Up   
Po2.3687          -                 Up   
Po1.3690          -                 Up   
Po2.3691          -                 Up   
Po1.3696          -                 Up   
Po2.3697          -                 Up   
Po1.3703          -                 Up   
Po2.3704          -                 Up   
Po1.3708          -                 Up   
Po2.3709          -                 Up   
Po1.3713          -                 Up   
Po2.3714          -                 Up   
Po1.3718          -                 Up   
Po2.3719          -                 Up   
Po1.3723          -                 Up   
Po2.3724          -                 Up   
Po1.3728          -                 Up   
Po2.3729          -                 Up   
Po1.3733          -                 Up   
Po2.3734          -                 Up   
Po1.3738          -                 Up   
Po2.3739          -                 Up   
Po1.3743          -                 Up   
Po2.3744          -                 Up   
Eth1/11           -                 Down 
Eth1/11.3252      -                 Down 
Eth1/11.3256      -                 Down 
Eth1/14           -                 Down 
Eth1/15           -                 Down 
Eth1/16           -                 Down 
Eth1/17           -                 Up   
Eth1/17.3526      -                 Up   
Eth1/17.3537      -                 Up   
Eth1/18           -                 Up   
Eth1/18.3526      -                 Up   
Eth1/18.3537      -                 Up   
Eth1/21           -                 Down 
Eth1/22           -                 Down 
Eth1/24           -                 Up   
Eth2/11           -                 Down 
Eth2/11.3253      -                 Down 
Eth2/11.3257      -                 Down 
Eth2/14           -                 Down 
Eth2/16           -                 Down 
Eth2/18           -                 Down 
Eth2/19           -                 Up   
Eth2/24           -                 Up   
Eth3/10           -                 Down 
Eth3/11           -                 Down 
Eth3/12           -                 Down 
Eth3/14           -                 Down 
Eth3/15           -                 Down 
Eth3/17           -                 Down 
Eth3/18           -                 Up   
Eth3/24           -                 Down 
Eth2/15/2         -                 Down 
Eth2/15/3         -                 Down 
Eth2/15/4         -                 Down 
Eth2/21/1         -                 Up   
Eth2/21/2         -                 Up   
Eth2/21/3         -                 Down 
Eth2/21/4         -                 Down 
Eth3/16/1         -                 Up   
Eth3/16/2         -                 Down 
Eth3/16/3         -                 Up   
Eth3/16/4         -                 Down 
Eth3/23/1         -                 Up   
Eth3/23/2         -                 Up   
Eth3/23/3         -                 Up   
Eth3/23/4         -                 Up   
