

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/11       1       trnk-bndl     Po7
Eth1/12       1       trnk-bndl     Po1000
Eth2/11       1       trnk-bndl     Po7
Eth2/12       1       trnk-bndl     Po1000
Eth3/11       1       trnk-bndl     Po7
Eth4/11       1       trnk-bndl     Po7
Po7           1       trunking      --
Po200         1       trunking      --
Po201         1       trunking      --
Po202         1       trunking      --
Po203         1       trunking      --
Po204         1       trunking      --
Po205         1       trunking      --
Po206         1       trunking      --
Po207         1       trunking      --
Po208         1       trunking      --
Po209         1       trunking      --
Po210         1       trunking      --
Po211         1       trunking      --
Po212         1       trunking      --
Po213         1       trunking      --
Po214         1       trunking      --
Po215         1       trunking      --
Po220         1       trunking      --
Po221         1       trunking      --
Po222         1       trunking      --
Po223         1       trunking      --
Po228         1       trunking      --
Po229         1       trunking      --
Po230         1       trunking      --
Po231         1       trunking      --
Po232         1       trunking      --
Po233         1       trunking      --
Po234         1       trunking      --
Po235         1       trunking      --
Po236         1       trunking      --
Po237         1       trunking      --
Po238         1       trunking      --
Po239         1       trunking      --
Po240         1       trunking      --
Po241         1       trunking      --
Po242         1       trunking      --
Po243         1       trunking      --
Po252         1       trunking      --
Po253         1       trunking      --
Po254         1       trunking      --
Po255         1       trunking      --
Po256         1       trunking      --
Po257         1       trunking      --
Po269         1       trunking      --
Po270         1       trunking      --
Po271         1       trunking      --
Po272         1       trunking      --
Po273         1       trunking      --
Po274         1       trunking      --
Po275         1       trunking      --
Po359         1       trunking      --
Po360         1       trunking      --
Po361         1       trunking      --
Po362         1       trunking      --
Po365         1       trunking      --
Po366         1       trunking      --
Po367         1       trunking      --
Po368         1       trunking      --
Po369         1       trunking      --
Po370         1       trunking      --
Po384         1       trunking      --
Po385         1       trunking      --
Po387         1       trunking      --
Po388         1       trunking      --
Po389         1       trunking      --
Po390         1       trunking      --
Po391         1       trunking      --
Po392         1       trunking      --
Po393         1       trunking      --
Po394         1       trunking      --
Po395         1       trunking      --
Po398         1       trunking      --
Po399         1       trunking      --
Po400         1       trunking      --
Po401         1       trunking      --
Po402         1       trunking      --
Po403         1       trunking      --
Po404         1       trunking      --
Po405         1       trunking      --
Po406         1       trunking      --
Po407         1       trunking      --
Po413         1       trunking      --
Po414         1       trunking      --
Po417         1       trunking      --
Po418         1       trunking      --
Po419         1       trunking      --
Po420         1       trunking      --
Po421         1       trunking      --
Po422         1       trunking      --
Po423         1       trunking      --
Po424         1       trunking      --
Po425         1       trunking      --
Po426         1       trunking      --
Po427         1       trunking      --
Po428         1       trunking      --
Po437         1       trunking      --
Po438         1       trunking      --
Po439         1       trunking      --
Po440         1       trunking      --
Po441         1       trunking      --
Po442         1       trunking      --
Po443         1       trunking      --
Po444         1       trunking      --
Po449         1       trunking      --
Po450         1       trunking      --
Po451         1       trunking      --
Po452         1       trunking      --
Po453         1       trunking      --
Po454         1       trunking      --
Po455         1       trunking      --
Po456         1       trunking      --
Po457         1       trunking      --
Po458         1       trunking      --
Po601         1       trunking      --
Po602         1       trunking      --
Po603         1       trunking      --
Po604         1       trunking      --
Po605         1       trunking      --
Po606         1       trunking      --
Po607         1       trunking      --
Po608         1       trunking      --
Po701         1       trunking      --
Po702         1       trunking      --
Po703         1       trunking      --
Po704         1       trunking      --
Po705         1       trunking      --
Po706         1       trunking      --
Po707         1       trunking      --
Po708         1       trunking      --
Po801         1       trunking      --
Po802         1       trunking      --
Po803         1       trunking      --
Po804         1       trunking      --
Po805         1       trunking      --
Po806         1       trunking      --
Po807         1       trunking      --
Po808         1       trunking      --
Po809         1       trunking      --
Po810         1       trunking      --
Po811         1       trunking      --
Po812         1       trunking      --
Po983         1       trunking      --
Po984         1       trunking      --
Po985         1       trunking      --
Po986         1       trunking      --
Po987         1       trunking      --
Po988         1       trunking      --
Po989         1       trunking      --
Po990         1       trunking      --
Po991         1       trunking      --
Po992         1       trunking      --
Po993         1       trunking      --
Po994         1       trunking      --
Po995         1       trunking      --
Po996         1       trunking      --
Po998         1       trunking      --
