
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID            Local Intf      Hold-time  Capability  Port ID  
sw-pr1-data-2.vtb24.rumgmt0           120        B           Eth106/1/35       
ntnx-ahv-14          Eth1/1          120        B           eth3              
ntnx-ahv-14          Eth1/2          120        B           eth4              
ntnx-ahv-16          Eth1/3          120        B           eth3              
ntnx-ahv-16          Eth1/4          120        B           eth4              
ntnx-ahv-22          Eth1/5          120        B           eth3              
ntnx-ahv-22          Eth1/6          120        B           eth4              
ntnx-ahv-24          Eth1/7          120        B           eth3              
ntnx-ahv-24          Eth1/8          120        B           eth4              
ntnx-ahv-26          Eth1/9          120        B           eth3              
ntnx-ahv-26          Eth1/10         120        B           eth4              
ntnx-ahv-34          Eth1/11         120        B           eth3              
ntnx-ahv-34          Eth1/12         120        B           eth4              
ntnx-ahv-36          Eth1/13         120        B           eth3              
ntnx-ahv-36          Eth1/14         120        B           eth4              
ntnx-ahv-38          Eth1/15         120        B           eth3              
ntnx-ahv-38          Eth1/16         120        B           eth4              
ntnx-ahv-13          Eth1/17         120        B           eth3              
ntnx-ahv-13          Eth1/18         120        B           eth4              
ntnx-ahv-15          Eth1/19         120        B           eth3              
ntnx-ahv-15          Eth1/20         120        B           eth4              
ntnx-ahv-23          Eth1/21         120        B           eth3              
ntnx-ahv-23          Eth1/22         120        B           eth4              
ntnx-ahv-25          Eth1/23         120        B           eth3              
ntnx-ahv-25          Eth1/24         120        B           eth4              
ntnx-ahv-33          Eth1/25         120        B           eth3              
ntnx-ahv-33          Eth1/26         120        B           eth4              
ntnx-ahv-42          Eth1/27         120        B           eth3              
ntnx-ahv-42          Eth1/28         120        B           eth4              
ntnx-ahv-35          Eth1/29         120        B           eth3              
ntnx-ahv-35          Eth1/30         120        B           eth4              
ntnx-ahv-37          Eth1/31         120        B           eth4              
ntnx-ahv-37          Eth1/32         120        B           eth3              
ntnx-ahv-41          Eth1/33         120        B           eth3              
ntnx-ahv-41          Eth1/34         120        B           eth4              
ntnx-ahv-40          Eth1/35         120        B           eth3              
ntnx-ahv-40          Eth1/36         120        B           eth4              
ntnx-ahv-39          Eth1/37         120        B           eth3              
ntnx-ahv-39          Eth1/38         120        B           eth4              
pn5K12-2             Eth1/47         120        B           Eth1/47           
pn5K12-2             Eth1/48         120        B           Eth1/48           
pN77-1-switch1       Eth1/49         120        BR          Eth1/5            
pN77-2-switch2       Eth1/50         120        BR          Eth1/5            
pn5K12-2             Eth1/51         120        B           Eth1/51           
pn5K12-2             Eth1/52         120        B           Eth1/52           
Total entries displayed: 45
