

CPU utilization for five seconds: 13%/0%; one minute: 9%; five minutes: 4%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1       120330   1210559      0   0.00%   0.00%  0.00%   -    init
 2673           10        30      0   0.00%   0.00%  0.00%   -    portmap
 2682           10         6      1   0.00%   0.00%  0.00%   -    rpc.statd
 2710            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 2733       382620  11279616      0   0.00%   0.00%  0.00%   -    sysmgr
 3782         2140    558143      0   0.00%   0.00%  0.00%   -    insmod
 4304           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 4305           10         8      1   0.00%   0.00%  0.00%   -    tftpd
 4306       108390   6958068      0   0.00%   0.00%  0.00%   -    syslogd
 4307           40        79      0   0.00%   0.00%  0.00%   -    sdwrapd
 4308     30542860  11912883      2   0.00%   0.28%  0.11%   -    pfma
 4355        29460   1402201      0   0.00%   0.00%  0.00%   -    vshd
 4356          110    189849      0   0.00%   0.00%  0.00%   -    smm
 4357        55140   5582101      0   0.00%   0.00%  0.00%   -    psshelper
 4358         2040     94276      0   0.00%   0.00%  0.00%   -    mmode
 4359         4220     93095      0   0.00%   0.00%  0.00%   -    lmgrd
 4360        34130   1237218      0   0.00%   0.00%  0.00%   -    licmgr
 4361        31620    110757      0   0.00%   0.27%  0.08%   -    fs-daemon
 4362        56240   1269282      0   0.00%   0.00%  0.00%   -    feature-mgr
 4363        13780   1116463      0   0.00%   0.00%  0.00%   -    fcfwd
 4364          140      1282      0   0.00%   0.00%  0.00%   -    confcheck
 4365        10520    568277      0   0.00%   0.00%  0.00%   -    capability
 4366         9290   1875234      0   0.00%   0.00%  0.00%   -    bloggerd
 4367        53330   5582016      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 4378        33720    186486      0   0.00%   0.00%  0.00%   -    cisco
 4379        33880   5309238      0   0.00%   0.00%  0.00%   -    clis
 4392        55520   1139597      0   0.00%   0.00%  0.00%   -    port-profile
 4393        11730    568849      0   0.00%   0.00%  0.00%   -    provision
 4399        21940   1163538      0   0.00%   0.00%  0.00%   -    zschk
 4400        22220   1148188      0   0.00%   0.00%  0.00%   -    xmpp
 4401        28100   1861011      0   0.00%   0.00%  0.00%   -    xmlma
 4402        21560   1163878      0   0.00%   0.00%  0.00%   -    vmm
 4403        24100    698235      0   0.00%   0.00%  0.00%   -    vman
 4404        21060   1163690      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4405        29040   2791281      0   0.00%   0.00%  0.00%   -    ttyd
 4406        12070   7929106      0   0.15%   0.14%  0.12%   -    sysinfo
 4407       614430   3840444      0   0.00%   0.00%  0.00%   -    statsprofiler
 4408          140       371      0   0.00%   0.00%  0.00%   -    sksd
 4409      1290990    558056      2   0.00%   0.00%  0.00%   -    sensor
 4411         1460    107100      0   0.00%   0.00%  0.00%   -    res_mgr
 4412        48730   5582711      0   0.00%   0.00%  0.00%   -    plugin
 4413        61520   1532702      0   0.00%   0.00%  0.00%   -    pltfm_config
 4414        59450   1118277      0   0.00%   0.00%  0.00%   -    plog_sup
 4415       162490   2414775      0   0.00%   0.00%  0.00%   -    pfstat
 4416         2590    187116      0   0.00%   0.00%  0.00%   -    patch-installer
 4417       426410   2229615      0   0.00%   0.00%  0.00%   -    pacifica
 4418        16380    698213      0   0.00%   0.00%  0.00%   -    obfl
 4419       565360   6181605      0   0.00%   0.00%  0.00%   -    nohms
 4420       513920  22453305      0   0.00%   0.00%  0.00%   -    nfp
 4421         7370    377665      0   0.00%   0.00%  0.00%   -    mvsh
 4422        22870   1154877      0   0.00%   0.00%  0.00%   -    mcm
 4423        23910   1156235      0   0.00%   0.00%  0.00%   -    lim
 4424       292110  55805112      0   0.00%   0.00%  0.00%   -    ledmgr
 4425       201060   5991972      0   0.01%   0.00%  0.00%   -    l2rib
 4426        49010    933916      0   0.01%   0.00%  0.00%   -    ifmgr
 4427       110630   1118162      0   0.00%   0.00%  0.00%   -    idehsd
 4428         7160    377730      0   0.00%   0.00%  0.00%   -    evms
 4430         5650    282939      0   0.00%   0.00%  0.00%   -    evmc
 4431       186970   1181016      0   0.00%   0.24%  0.06%   -    ethpc
 4432       697870  11484691      0   0.00%   0.00%  0.00%   -    eth_dstats
 4433          230        94      2   0.00%   0.00%  0.00%   -    core-dmon
 4435        26060   2791659      0   0.00%   0.00%  0.00%   -    bootvar
 4436        14010   1116456      0   0.00%   0.00%  0.00%   -    bios_daemon
 4437    384364100  1205343585      0   3.28%   1.16%  0.96%   -    bigsurusd
 4438        52540   3756639      0   0.00%   0.00%  0.00%   -    bfdc
 4439        27910   1493004      0   0.00%   0.00%  0.00%   -    bcm_usd
 4440         9900    558164      0   0.00%   0.00%  0.00%   -    athertonusd
 4441        12300    698419      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4442         3980    374579      0   0.00%   0.00%  0.00%   -    adbm
 4443        72320   5584093      0   0.00%   0.00%  0.00%   -    securityd
 4444        42100    508422      0   0.00%   0.00%  0.00%   -    PMon
 4445        56850   5582348      0   0.00%   0.00%  0.00%   -    cert_enroll
 4446        53350   5592609      0   0.00%   0.00%  0.00%   -    aaa
 4455          180    190796      0   0.00%   0.00%  0.00%   -    l3vm
 4456          200   5816188      0   0.01%   0.00%  0.00%   -    urib
 4473       121260    151552      0   0.00%   0.00%  0.00%   -    aclmgr
 4474        21150   1163249      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4477     27807830  39645886      0   0.19%   0.07%  0.06%   -    fwm
 4478        25710   1199903      0   0.50%   0.04%  0.00%   -    qd
 4479    313646910  78452816      3   0.33%   1.29%  0.96%   -    statsclient
 4485     26685240  101262663      0   0.72%   1.69%  0.48%   -    snmpd
 4493           20        17      1   0.00%   0.00%  0.00%   -    core-client
 4494          200  416451934      0   0.01%   0.01%  0.00%   -    adjmgr
 4495          210   1674217      0   0.00%   0.00%  0.00%   -    u6rib
 4508       246730    151820      1   0.00%   0.00%  0.00%   -    copp
 4509          240    306544      0   0.00%   0.00%  0.00%   -    npacl
 4510         6460    115627      0   0.00%   0.00%  0.00%   -    spm
 4527        74830   5851211      0   0.00%   0.00%  0.00%   -    callhome
 4530          760  129288347      0   0.05%   0.04%  0.03%   -    arp
 4531          570    290003      0   0.00%   0.00%  0.00%   -    icmpv6
 4535          690  1040074613      0   0.25%   0.18%  0.12%   -    pktmgr
 4536        22290   1164322      0   0.00%   0.00%  0.00%   -    sal
 4584      1009410  26223564      0   0.00%   0.00%  0.00%   -    fex
 4587      3257310  17893475      0   0.00%   0.08%  0.02%   -    lldp
 4588          520  175142107      0   0.19%   0.10%  0.03%   -    netstack
 4661       115770   5583069      0   0.00%   0.00%  0.00%   -    radius
 4662        10120    247641      0   0.00%   0.00%  0.00%   -    acllog
 4663      2737030   6222309      0   0.00%   0.01%  0.00%   -    cdp
 4664      6855610  83921084      0   0.03%   0.02%  0.01%   -    cfs
 4665          130  562071284      0   0.00%   0.00%  0.00%   -    ecp
 4666          270  32148979      0   0.00%   0.00%  0.00%   -    igmp
 4667           30        47      0   0.00%   0.00%  0.00%   -    ip_dummy
 4668           20        42      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 4671          210  14223924      0   0.00%   0.00%  0.00%   -    mrib
