
Mount-on                  1K-blocks      Used   Available   Use%  Filesystem
/                            409600     68456      341144     17   /dev/root
/proc                             0         0           0      0   proc
/post                          2048         4        2044      1   none
/var                         409600     68456      341144     17   none
/sys                              0         0           0      0   none
/isan                       2097152   1233512      863640     59   none
/var/tmp                     512000       132      511868      1   none
/var/sysmgr                 2048000      1776     2046224      1   none
/nxos/tmp                     40960       372       40588      1   none
/var/sysmgr/ftp              409600       124      409476      1   none
/var/sysmgr/ftp/cores        102400         0      102400      0   none
/var/sysmgr/srv_logs         102400         0      102400      0   none
/callhome                     61440         0       61440      0   none
/dev/shm                     524288    256352      267936     49   none
/volatile                    153600         0      153600      0   none
/debug                        20480         0       20480      0   none
/dev/mqueue                       0         0           0      0   none
/debugfs                          0         0           0      0   nodev
/mnt/plog                     49024      1304       47720      3   /dev/mtdblock2
/mnt/cfg/0                   123967      4526      113040      4   /dev/sda5
/mnt/cfg/1                   109381      4526       99207      5   /dev/sda6
/var/sysmgr/startup-cfg      409600      4936      404664      2   none
/dev/pts                          0         0           0      0   devpts
/mnt/pss                     123999      5686      111910      5   /dev/sda4
/smack                            0         0           0      0   smackfs
/bootflash                  7184716    668384     6151360     10   /dev/sda3
/proc/bus/usb                     0         0           0      0   none
/cgroup                           0         0           0      0   vdccontrol
