

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1        38590    892823      0   0.00%  init
 2750          140        65      0   0.00%  sdwrapd
 2752     98215700  23203856      0   0.00%  pfmclnt
 3065            0         7      0   0.00%  xinetd
 3066            0         5      0   0.00%  tftpd
 3067          110        82      0   0.00%  sdwrapd
 3069          180       156      0   0.00%  fw_app
 3070        25210   1484514      0   0.00%  dme_proxy
 3072      4457410  11013582      0   0.00%  platform
 3076        25880   1484510      0   0.00%  dme_bootup_proxy
 3077          660       217      0   0.00%  event_manager
 3078        80540   4453317      0   0.00%  mts_telemetry_mgr
 3079          980       285      0   0.00%  policyelem
 3110       227350   4501487      0   0.00%  syslogd
 3112       220020   5447833      0   0.00%  vshd
 3113         5640     88743      0   0.00%  template_manager
 3114        11480    220387      0   0.00%  tamnw
 3115           60        17      0   0.00%  smm
 3116        98950   4454386      0   0.00%  psshelper
 3117        34940    907290      0   0.00%  pixm_vl
 3118        32660    905780      0   0.00%  pixm_gl
 3119          600       171      0   0.51%  nginx
 3120         5270     88636      0   0.00%  mmode
 3121         4580     74462      0   0.00%  lmgrd
 3122       133270    291745      0   0.00%  fs-daemon
 3123       188570   7194939      0   0.00%  feature-mgr
 3124         3220     39946      0   0.00%  confcheck
 3125        16270    459732      0   0.00%  capability
 3126        25270    495172      0   0.00%  bloggerd
 3127        99390   4454053      0   0.00%  psshelper_gsvc
 3136       876260   3705078      0   0.00%  clis
 3137        29850    906944      0   0.00%  licmgr
 3138       240350   4604266      0   0.00%  tams_proc
 3145         7820     75270      0   0.00%  cisco
 3190       424790   4166799      0   0.00%  tamd_proc
 3191        41310   1489741      0   0.00%  xmlma
 3192        30970    905448      0   0.00%  vmm
 3193        39190    905764      0   0.00%  vdc_mgr
 3194        98190    893520      0   0.00%  usbhsd
 3195        74590   2234731      0   0.00%  ttyd
 3196     32068340   5548721      0   0.00%  sysinfo
 3197        16990    479474      0   0.00%  snmpmib_proc
 3198         8540     14758      0   0.00%  sksd
 3200         7440     99883      0   0.00%  res_mgr
 3201        96730   4470220      0   0.00%  plugin
 3202        25540    902155      0   0.00%  plog_sup
 3203        71890   4458179      0   0.00%  patch-installer
 3204          210       104      0   0.00%  nxapi
 3205        11600    311640      0   0.00%  mvsh
 3206          290       164      0   0.00%  mts_mgr
 3207           70        90      0   0.00%  mping_server
 3208       318430   1727515      0   0.00%  module
 3209          230        91      0   0.00%  kim
 3210        18050    460213      0   0.00%  kafka
 3211          310       158      0   0.00%  issu_helper
 3212        12280    311494      0   0.00%  evms
 3214          120        91      0   0.00%  epld_upgrade_stdby
 3215      1371230    891776      0   0.00%  diagclient
 3216        90290   1217578      0   0.00%  dhclient
 3217        79810    890045      0   0.00%  crdcfg_server
 3218         2580     14404      0   0.00%  core-dmon
 3219        13470    163335      0   0.00%  clk_mgr
 3220        23110    899486      0   0.00%  bios_daemon
 3221        24650    571425      0   0.00%  ascii-cfg
 3222       110940   4467899      0   0.00%  securityd
 3223       139100   4466817      0   0.00%  cert_enroll
 3224       136940   4752054      0   0.00%  aaa
 3228        13630    570745      0   0.00%  obfl
 3229       174470    429939      0   0.00%  aclmgr
 3274         9320    237393      0   0.00%  evmc
 3293          490       135      0   0.00%  urib
 3297       194590   5142000      0   0.00%  device_test
 3298        18110    358445      0   0.00%  xbar
 3333          450       311      0   0.00%  l3vm
 3355          100       113      0   0.00%  ExceptionLog
 3356        85280   2235170      0   0.00%  bootvar
 3357        42700    891995      0   0.00%  cardclient
 3358      2810740   3006920      0   0.00%  diagmgr
 3359        58300    776134      0   0.00%  ifmgr
 3402           90        35      0   0.00%  npacl
 3405        16370    444289      0   0.00%  statsclient
 3493          200        59      0   0.00%  adjmgr
 3495          290        94      0   0.00%  u6rib
 3592          300        44      0   0.00%  arp
 3593          210        33      0   0.00%  icmpv6
 3597         1080      6672      0   0.00%  incrond
 3601          130        33      0   0.51%  pktmgr
 3618          520        78      0   0.00%  netstack
