
Legend: 
	* - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
	age - seconds since last seen,+ - primary entry using vPC Peer-Link,
	(T) - True, (F) - False, C - ControlPlane MAC, ~ - vsan
   VLAN     MAC Address      Type      age     Secure NTFY Ports
---------+-----------------+--------+---------+------+----+------------------
* 2806     ac7a.5682.e587   dynamic  0         F      F    Po1001
* 2901     0000.0c9f.fb55   dynamic  0         F      F    Po7
* 2901     000c.29ee.efdf   dynamic  0         F      F    Po7
* 2901     0010.e0eb.9793   dynamic  0         F      F    Po7
+ 2901     0010.e0eb.a6cf   dynamic  0         F      F    Po7
* 2901     00de.fb1a.5242   dynamic  0         F      F    Po7
* 2901     00de.fb1a.5c42   dynamic  0         F      F    Po7
+ 2901     506b.8d0b.1eec   dynamic  0         F      F    Po7
+ 2901     506b.8d3b.6c44   dynamic  0         F      F    Po7
+ 2901     506b.8d5a.10f8   dynamic  0         F      F    Po7
* 2901     506b.8d62.166c   dynamic  0         F      F    Po7
+ 2901     506b.8d62.59fd   dynamic  0         F      F    Po7
* 2901     506b.8d6b.774a   dynamic  0         F      F    Po7
* 2901     506b.8d70.b417   dynamic  0         F      F    Po7
* 2901     506b.8da5.fd0c   dynamic  0         F      F    Po7
+ 2901     506b.8dc3.195d   dynamic  0         F      F    Po7
+ 2901     506b.8dc8.0b91   dynamic  0         F      F    Po7
+ 2901     506b.8dd0.3a15   dynamic  0         F      F    Po7
+ 2901     506b.8deb.b305   dynamic  0         F      F    Po7
+ 2901     506b.8def.26d4   dynamic  0         F      F    Po7
* 2901     506b.8def.df65   dynamic  0         F      F    Po7
+ 2901     506b.8df3.c81c   dynamic  0         F      F    Po7
+ 2901     506b.8df9.c083   dynamic  0         F      F    Po7
* 2901     506b.8dfc.48c4   dynamic  0         F      F    Po7
* 2901     90e2.ba8c.51b8   dynamic  0         F      F    Po7
* 2901     90e2.ba97.3184   dynamic  0         F      F    Po7
* 2901     90e2.ba99.36ac   dynamic  0         F      F    Po7
* 2901     9c1d.36dc.f058   dynamic  0         F      F    Po7
+ 2901     9c1d.36dc.f13d   dynamic  0         F      F    Po7
+ 2901     9c1d.36dc.f153   dynamic  0         F      F    Po7
+ 2901     9c1d.36dc.f161   dynamic  0         F      F    Po7
* 2901     9c1d.36dc.f176   dynamic  0         F      F    Po7
* 2901     9c1d.36dc.f1fa   dynamic  0         F      F    Po7
* 2901     9c1d.36dc.f25b   dynamic  0         F      F    Po7
+ 2901     9c1d.36dc.f3b0   dynamic  0         F      F    Po7
