

CPU utilization for five seconds: 4%/1%; one minute: 5%; five minutes: 5%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
 6096          100  3338841851      0   0.11%   0.11%  0.12%   -    pdsd
 8554          230  66691217      0   0.07%   0.09%  0.09%   -    isis_otv
 6149     10567730  1303715859      0   0.07%   0.08%  0.07%   -    sysinfo
 8139          250  677157393      0   0.01%   0.02%  0.03%   -    pktmgr
 6805    151896250  76320838      1   0.00%   0.05%  0.01%   -    diag_port_lb
 8159          320  587990002      0   0.05%   0.01%  0.01%   -    netstack
 8531    269836430  458943593      0   0.00%   0.00%  0.00%   -    l2fm
 6167    134491570  120928600      1   0.00%   0.00%  0.00%   -    diagmgr
 8186     59468630  1545725524      0   0.00%   0.00%  0.00%   -    snmpd
 8557          180  2065527843      0   0.00%   0.00%  0.00%   -    otv
 8545     12004750  32216911      0   0.05%   0.00%  0.00%   -    tunnel
 4878     35850180  540414853      0   0.00%   0.00%  0.00%   -    sysmgr
 8530     15062090  89296737      0   0.00%   0.00%  0.00%   -    ethpm
 8223      7626740  135148165      0   0.01%   0.00%  0.00%   -    tacacs
13177          260       151      1   0.01%   0.00%  0.00%   2    vsh
 8495          200  1053143978      0   0.00%   0.00%  0.00%   -    igmp
 6215     55376640  45927569      1   0.00%   0.00%  0.00%   -    diagclient
 6393     14006910  119946174      0   0.00%   0.00%  0.00%   -    ifmgr
 8547          170  723902769      0   0.00%   0.00%  0.00%   -    orib
 8103          180  1766261698      0   0.00%   0.00%  0.00%   -    adjmgr
 6095       935790  34485926      0   0.00%   0.00%  0.00%   -    pixm_gl
 6098       964990  28411056      0   0.00%   0.00%  0.00%   -    licmgr
 6099      1380070   8657329      0   0.00%   0.00%  0.00%   -    fs-daemon
 6103       246580  24722003      0   0.00%   0.00%  0.00%   -    bloggerd
 6146       729610  34099516      0   0.00%   0.00%  0.00%   -    vdc_mgr
 6154        48400   2389489      0   0.00%   0.00%  0.00%   -    res_mgr
 6155      1818800  123751649      0   0.00%   0.00%  0.00%   -    plugin
 6156       747330  34057509      0   0.00%   0.00%  0.00%   -    pltfm_debug
 6170      8788700  95511454      0   0.00%   0.00%  0.00%   -    clk_mgr
 6357       313600  12645499      0   0.00%   0.00%  0.00%   -    xbar
 6382     26816410  233469961      0   0.00%   0.00%  0.00%   -    module
 6754       824700  33953247      0   0.00%   0.00%  0.00%   -    sim
 6757      9997130  69566713      0   0.00%   0.00%  0.00%   -    pltfm_config
 6762       984590  35300284      0   0.00%   0.00%  0.00%   -    pixmc
 6765       767330  34024860      0   0.00%   0.00%  0.00%   -    monitorc
 8037      2630470  123548365      0   0.00%   0.00%  0.00%   -    syslogd
 8040          760      3405      0   0.00%   0.00%  0.00%   -    confcheck
 8041      1446120  40771409      0   0.00%   0.00%  0.00%   -    feature-mgr
 8042       803990  34816488      0   0.00%   0.00%  0.00%   -    pixm_vl
 8043      1774610  123462444      0   0.00%   0.00%  0.00%   -    psshelper
 8044       740470  34269632      0   0.00%   0.00%  0.00%   -    session-mgr
 8045          150   4589712      0   0.00%   0.00%  0.00%   -    smm
 8046       745190  34341816      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 8047       433000  15505117      0   0.00%   0.00%  0.00%   -    vshd
 8051       304710   8668794      0   0.00%   0.00%  0.00%   -    clis
 8053       140710   5569658      0   0.00%   0.00%  0.00%   -    port-profile
 8060      1738740  123519374      0   0.00%   0.00%  0.00%   -    aaa
 8061      1765330  123459993      0   0.00%   0.00%  0.00%   -    cert_enroll
 8062      2121630  123493296      0   0.00%   0.00%  0.00%   -    securityd
 8063       395300  15453527      0   0.00%   0.00%  0.00%   -    ascii-cfg
 8064       710700  34411095      0   0.00%   0.00%  0.00%   -    cli_acl
 8065       189770   8249026      0   0.00%   0.00%  0.00%   -    evmc
 8067       240550  11029627      0   0.00%   0.00%  0.00%   -    evms
 8068          100       823      0   0.00%   0.00%  0.00%   -    mping_server
 8069       248420  11022777      0   0.00%   0.00%  0.00%   -    mvsh
 8071      1731660  123463901      0   0.00%   0.00%  0.00%   -    sksd
 8072       399830  16961385      0   0.00%   0.00%  0.00%   -    snmpmib_proc
 8073      5583880  47141048      0   0.00%   0.00%  0.00%   -    statsprofiler
 8074       670180  15451716      0   0.00%   0.00%  0.00%   -    vman
 8075       720600  34428917      0   0.00%   0.00%  0.00%   -    vmm
 8076       924070  41174909      0   0.00%   0.00%  0.00%   -    xmlma
 8077       723950  34393258      0   0.00%   0.00%  0.00%   -    xmpp
 8078          180   4590338      0   0.00%   0.00%  0.00%   -    l3vm
 8079          180  131161291      0   0.00%   0.00%  0.00%   -    urib
 8091       706020  34399716      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 8095      5594610   9445218      0   0.00%   0.00%  0.00%   -    aclmgr
 8105       724580  34405972      0   0.00%   0.00%  0.00%   -    ncpinframgr
 8106          180  15673140      0   0.00%   0.00%  0.00%   -    u6rib
 8126          240   6674450      0   0.00%   0.00%  0.00%   -    npacl
 8136          240  132126018      0   0.00%   0.00%  0.00%   -    arp
 8137          180  10919564      0   0.00%   0.00%  0.00%   -    icmpv6
 8177      3449030  123523623      0   0.00%   0.00%  0.00%   -    radius
 8178      3000020  40109381      0   0.00%   0.00%  0.00%   -    cdp
 8181      3233200  37669073      0   0.00%   0.00%  0.00%   -    cfs
 8182           90       738      0   0.00%   0.00%  0.00%   -    ip_dummy
 8183           80       743      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 8184       511300   7131460      0   0.00%   0.00%  0.00%   -    ntp
 8185       745450  34424311      0   0.00%   0.00%  0.00%   -    otm
 8188           90       743      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 8224      5302920  182899735      0   0.00%   0.00%  0.00%   -    ntpd
 8225         3300     18751      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 8230      2312450  123481875      0   0.00%   0.00%  0.00%   -    callhome
 8487      1646470   8729657      0   0.00%   0.00%  0.00%   -    spm
 8488          180  56100677      0   0.00%   0.00%  0.00%   -    rpm
 8489       707420  34353987      0   0.00%   0.00%  0.00%   -    plsm
 8490      2243180  40071753      0   0.00%   0.00%  0.00%   -    plcmgr
 8491      5749860  43169696      0   0.00%   0.00%  0.00%   -    pfstat
 8493      1066340  35845119      0   0.00%   0.00%  0.00%   -    lim
 8494      4857360  134845992      0   0.00%   0.00%  0.00%   -    l2rib
 8496       262010  11036051      0   0.00%   0.00%  0.00%   -    eltm
 8497          160  3389822572      0   0.00%   0.00%  0.00%   -    ecp
 8499       124680   9604096      0   0.00%   0.00%  0.00%   -    adbm
 8500       243480   5558933      0   0.00%   0.00%  0.00%   -    acllog
 8504     20928260  153307450      0   0.00%   0.00%  0.00%   -    monitor
 8507       791580  34282435      0   0.00%   0.00%  0.00%   -    iscm
 8525       753480  17130462      0   0.00%   0.00%  0.00%   -    eth_port_channel
 8526       340010  14538540      0   0.00%   0.00%  0.00%   -    vlan_mgr
 8527       929980  14510185      0   0.00%   0.00%  0.00%   -    eth_dstats
 8528     17816830  53210472      0   0.00%   0.00%  0.00%   -    ipqosmgr
 8529      3352130  30033563      0   0.00%   0.00%  0.00%   -    lacp
 8533       277330   5189163      0   0.00%   0.00%  0.00%   -    aclqos
 8534    104008030  1447985627      0   0.00%   0.00%  0.00%   -    stp
 8543      2056010  48528605      0   0.00%   0.00%  0.00%   -    ufdm
 8544       348980  16630299      0   0.00%   0.00%  0.00%   -    u2
 8546       738700  34404967      0   0.00%   0.00%  0.00%   -    sal
 8548          160  40723983      0   0.00%   0.00%  0.00%   -    oim
 8549          180  322212047      0   0.00%   0.00%  0.00%   -    mrib
 8550      5383210  42285059      0   0.00%   0.00%  0.00%   -    mfdm
 8551       743520  34237451      0   0.00%   0.00%  0.00%   -    mcm
 8552          180  434473309      0   0.00%   0.00%  0.00%   -    m6rib
 8553     36751230  154466236      0   0.00%   0.00%  0.00%   -    l2pt
 8555          180  608409704      0   0.00%   0.00%  0.00%   -    eigrp
 8568          190  385925740      0   0.00%   0.00%  0.00%   -    mcastfwd
 8569       381990   8635340      0   0.00%   0.00%  0.00%   -    m2rib
10478      4519000  17577621      0   0.00%   0.00%  0.00%   -    lldp
