

PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
 8504  208834560  839766707   582995968   ff89c050/ffffffff  monitor
 8159  46366720  1245657779  554033152   fff6b220/ffffffff  netstack
 8136  64847872  1148414246  532537344   ff9c8b20/ffffffff  arp
 8557  122896384  1130724556  529944576   ff825a20/ffffffff  otv
 8063   2768896  1430241472  505749504   ffd6dbb0/ffffffff  ascii-cfg
 8053  64688128  1664609689  490401792   ffb24610/ffffffff  port-profile
 8554  38273024  1007523724  443744256   ffa3ba30/ffffffff  isis_otv
 8051  15880192  1351848115  441503744   ffda29a0/ffffffff  clis
 8139  18587648  1067764825  440754176   ff9dd1a0/ffffffff  pktmgr
 8186  18096128  861113395   431218688   ffd58110/ffffffff  snmpd
 8046   5828608  996540300   429592576   ffd548b0/ffffffff  vpc_config_sync
13177   2932736  838860800   426758144   ffe32f80/ffffffff  vsh
 6096  27197440  0           424886272   ffcc5cd0/ffffffff  pdsd
 8534  11317248  1002275788  420286464   ffe1ef10/ffffffff  stp
 8530  10964992  819483340   416862208   ff97fcd0/ffffffff  ethpm
 8547  20647936  1016994201  416419840   ffd5a500/ffffffff  orib
 8488   9023488  1009303846  415522816   ffc1d030/ffffffff  rpm
 8495  24301568  1241635264  414842880   ffbce540/ffffffff  igmp
 8493  70926336  875029196   414687232   ffe35240/ffffffff  lim
 8137   6758400  1008213081  413843456   ffec9d90/ffffffff  icmpv6
 8549  13406208  1113951193  411439104   ffd97fc0/ffffffff  mrib
 8555   7864320  1007942041  409931776   ff9e9a70/ffffffff  eigrp
 8552   7094272  998084902   408616960   ffde9d50/ffffffff  m6rib
 8568  10833920  964617164   403959808   ff8b1f30/ffffffff  mcastfwd
 8507  22253568  1019783872  403546112   ffc11230/ffffffff  iscm
 8543  23977984  1008448601  403173376   ffb348a0/ffffffff  ufdm
 8103  23003136  1013358886  402300928   ff8c4b70/ffffffff  adjmgr
 8526  46460928  777657689   399040512   ffa3fc00/ffffffff  vlan_mgr
 8185   4734976  995196812   397496320   ffc3a320/ffffffff  otm
 8184   3317760  995958259   397234176   ffeac0c0/ffffffff  ntp
 8531  27041792  996644563   386981888   ffe2e120/ffffffff  l2fm
 8545   4685824  999247347   386367488   ffc07ce0/ffffffff  tunnel
 8494  11911168  1026474803  384962560   ffe68fb0/ffffffff  l2rib
 6805  29306880  802457497   382820352   ff9e6340/ffffffff  diag_port_lb
 8533  32808960  732278976   382234624   ff9c6500/ffffffff  aclqos
 8079   8658944  1287646182  379867136   ffbedc80/ffffffff  urib
 8106   7204864  1000562572  377507840   ffafbf80/ffffffff  u6rib
 8042  30785536  950965452   376721408   ffe3a900/ffffffff  pixm_vl
 8126   4358144  1018027507  375119872   ffdedb50/ffffffff  npacl
 6762  27512832  825155865   374689792   ff9cf8f0/ffffffff  pixmc
