

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/25       1       trnk-bndl     Po33
Eth1/26       1       trnk-bndl     Po33
Eth1/27       1       trnk-bndl     Po34
Eth1/28       1       trnk-bndl     Po34
Eth1/48       1       trnk-bndl     Po1000
Eth2/25       1       trnk-bndl     Po33
Eth2/26       1       trnk-bndl     Po33
Eth2/27       1       trnk-bndl     Po34
Eth2/28       1       trnk-bndl     Po34
Eth2/31       1       trnk-bndl     Po4
Eth2/48       1       trnk-bndl     Po1000
Eth3/16       1       trnk-bndl     Po31
Po4           1       trunking      --
Po31          1       trunking      --
Po33          1       trunking      --
Po34          1       trunking      --
Po53          1       trunking      --
Po201         1       trunking      --
Po202         1       trunking      --
Po203         1       trunking      --
Po204         1       trunking      --
Po205         1       trunking      --
Po206         1       trunking      --
Po207         1       trunking      --
Po208         1       trunking      --
Po209         1       trunking      --
Po210         1       trunking      --
Po211         1       trunking      --
Po212         1       trunking      --
Po213         1       trunking      --
Po214         1       trunking      --
Po215         1       trunking      --
Po216         1       trunking      --
Po217         1       trunking      --
Po218         1       trunking      --
Po219         1       trunking      --
Po220         1       trunking      --
Po221         1       trunking      --
Po222         1       trunking      --
Po223         1       trunking      --
Po224         1       trunking      --
Po225         1       trunking      --
Po226         1       trunking      --
Po227         1       trunking      --
Po228         1       trunking      --
Po229         1       trunking      --
Po230         1       trunking      --
Po231         1       trunking      --
Po232         1       trunking      --
Po233         1       trunking      --
Po234         1       trunking      --
Po235         1       trunking      --
Po236         1       trunking      --
Po237         1       trunking      --
Po238         1       trunking      --
Po239         1       trunking      --
Po240         1       trunking      --
Po241         1       trunking      --
Po242         1       trunking      --
Po243         1       trunking      --
Po244         1       trunking      --
Po245         1       trunking      --
Po246         1       trunking      --
Po247         1       trunking      --
Po248         1       trunking      --
Po249         1       trunking      --
Po250         1       trunking      --
Po251         1       trunking      --
Po252         1       trunking      --
Po253         1       trunking      --
Po254         1       trunking      --
Po255         1       trunking      --
Po256         1       trunking      --
Po257         1       trunking      --
Po258         1       trunking      --
Po259         1       trunking      --
Po260         1       trunking      --
Po261         1       trunking      --
Po262         1       trunking      --
Po263         1       trunking      --
Po264         1       trunking      --
Po265         1       trunking      --
Po266         1       trunking      --
Po267         1       trunking      --
Po268         1       trunking      --
Po269         1       trunking      --
Po270         1       trunking      --
Po271         1       trunking      --
Po272         1       trunking      --
Po273         1       trunking      --
Po274         1       trunking      --
Po275         1       trunking      --
Po276         1       trunking      --
Po277         1       trunking      --
Po278         1       trunking      --
Po279         1       trunking      --
Po280         1       trunking      --
Po281         1       trunking      --
Po282         1       trunking      --
Po283         1       trunking      --
Po284         1       trunking      --
Po285         1       trunking      --
Po286         1       trunking      --
Po287         1       trunking      --
Po288         1       trunking      --
Po289         1       trunking      --
Po290         1       trunking      --
Po291         1       trunking      --
Po292         1       trunking      --
Po293         1       trunking      --
Po294         1       trunking      --
Po295         1       trunking      --
Po296         1       trunking      --
Po297         1       trunking      --
Po298         1       trunking      --
Po299         1       trunking      --
Po300         1       trunking      --
Po1000        1       trunking      --
Eth105/1/3    1       trnk-bndl     Po201
Eth105/1/4    1       trnk-bndl     Po202
Eth105/1/5    1       trnk-bndl     Po262
Eth105/1/6    1       trnk-bndl     Po203
Eth105/1/7    1       trnk-bndl     Po204
Eth105/1/8    1       trnk-bndl     Po205
Eth105/1/9    1       trnk-bndl     Po206
Eth105/1/10   1       trnk-bndl     Po207
Eth105/1/11   1       trnk-bndl     Po208
Eth105/1/12   1       trnk-bndl     Po209
Eth105/1/13   1       trnk-bndl     Po210
Eth105/1/14   1       trnk-bndl     Po211
Eth105/1/15   1       trnk-bndl     Po212
Eth105/1/16   1       trnk-bndl     Po213
Eth105/1/17   1       trnk-bndl     Po214
Eth105/1/18   1       trnk-bndl     Po227
Eth105/1/19   1       trnk-bndl     Po228
Eth105/1/20   1       trnk-bndl     Po229
Eth105/1/21   1       trnk-bndl     Po230
Eth105/1/22   1       trnk-bndl     Po231
