

PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
 8410  208961536  870089395   610779136   ffbc1600/ffffffff  monitor
 8259  48615424  1276057062  585342976   fffdbcc0/ffffffff  netstack
 8230  73736192  1178818035  573755392   ffe39d00/ffffffff  arp
 8171   2547712  1460478553  533164032   fffa4730/ffffffff  ascii-cfg
 8160  64593920  1694585446  520224768   ffb05fe0/ffffffff  port-profile
 8235  19791872  1098164108  471687168   ffb17730/ffffffff  pktmgr
 8159  15699968  1382004096  468959232   ffedd0a0/ffffffff  clis
 8288  19152896  891521689   459956224   ffc0e890/ffffffff  snmpd
 8154   5705728  1026786393  457105408   ff893bf0/ffffffff  vpc_config_sync
 8439  19312640  849909657   454270976   ffb85150/ffffffff  ethpm
23347   2777088  838860800   454139904   ffc64cb0/ffffffff  vsh
 8442  14917632  1032675072  453816320   ffec7fe0/ffffffff  stp
 6612  27193344  0           452517888   fff39120/ffffffff  pdsd
 8393   9273344  1038563212  445644800   ffb31e40/ffffffff  rpm
 8399  73621504  905329356   445018112   ffcfd2f0/ffffffff  lim
29654  14110720  1038224179  443813888   ffaf89c0/ffffffff  eigrp
 8401  24268800  1272034547  443785216   ffcc94f0/ffffffff  igmp
 8231   6373376  1038612364  443330560   ffe8b040/ffffffff  icmpv6
 8462   6270976  1033394880  443314176   ff9a9890/ffffffff  hsrp_engine
32355   9052160  957677977   441360384   fff4a260/ffffffff  bfd
 8457  13307904  1144391027  438976512   ffbd3010/ffffffff  mrib
19325   5574656  1029029363  438128640   ffa3c520/ffffffff  dhcp_snoop
 8460   7090176  1028520230  436248576   ffed3410/ffffffff  m6rib
 8212  24432640  1044947648  433602560   ff8aa440/ffffffff  adjmgr
 8413  22245376  1049899302  433414144   ff8eb8d0/ffffffff  iscm
 8453  23969792  1038748761  430800896   ffa33260/ffffffff  ufdm
 8435  47882240  807921804   430432256   ffcc0750/ffffffff  vlan_mgr
 8464   8847360  995038976   429387776   ffaf1fc0/ffffffff  mcastfwd
 8437  44929024  1637720268  427454464   ffe764b0/ffffffff  ipqosmgr
 8286   3325952  1026398092  427114496   fff971a0/ffffffff  ntp
 8452  15933440  976128972   426725376   ffffd100/ffffffff  vpc
 8287   4505600  1025375321  424902656   ff89e600/ffffffff  otm
18679  13492224  1317599820  422805504   ffa8bc70/ffffffff  ospf
 8440  22077440  1026935712  416808960   ff8a7340/ffffffff  l2fm
19812  39534592  854036761   413253632   ffab7190/ffffffff  vntag_mgr
 8400  11866112  1056770457  412553216   ffd4e380/ffffffff  l2rib
 8187   9154560  1318072499  410234880   ff84a4d0/ffffffff  urib
 8441  32444416  762182643   409505792   ff9870d0/ffffffff  aclqos
10772   4993024  1027209100  409108480   ff8c5560/ffffffff  vrrp-eng
20750   7430144  1027452403  406593536   ff913370/ffffffff  sla_sender
 8214   7258112  1030984384  405196800   ffba3130/ffffffff  u6rib
 8227   5394432  1049580224  403791872   ffe345f0/ffffffff  npacl
 8150  29896704  980139212   403484672   ffc0e990/ffffffff  pixm_vl
32365   3248128  764038131   401805312   ffea8f30/ffffffff  bfd_app
 8282   3817472  862249651   401604608   ffaf89c0/ffffffff  cdp
 6357  24866816  0           401272832   ffc984b0/ffffffff  platform
 7305  26394624  854203468   401203200   ff84b370/ffffffff  pixmc
19813  24207360  774874918   401043456   ff9e7e10/ffffffff  fex
 7356  19648512  832726118   400801792   fffb2b10/ffffffff  diag_port_lb
 8280   3465216  889474809   400224256   ffe86c70/ffffffff  radius
 8398  24772608  810009728   399261696   ffb6dd00/ffffffff  lldp
 6611  19054592  975277670   397926400   fff84a40/ffffffff  pixm_gl
 8456   2936832  1024302988  396001280   ffd68990/ffffffff  sal
 6859  14946304  0           393777152   ff84acd0/ffffffff  xbar
 7312  10305536  766467468   392179712   ff8e7910/ffffffff  giscm
 6897  10510336  765712358   391544832   ffa18960/ffffffff  ifmgr
 8402  15839232  775033107   390651904   ff87c640/ffffffff  eltm
 8405  13336576  968627968   388972544   ffdb7050/ffffffff  adbm
 8458  10432512  1131091315  387194880   ff912100/ffffffff  mfdm
 8434   9191424  765838515   386187264   fff14c10/ffffffff  eth_port_channel
 8438   9551872  766392704   385552384   ffab0670/ffffffff  lacp
