

     Resource                   Min       Max       Used      Unused    Avail    
     --------                   ---       ---       ----      ------    -----    
     vlan                       16        4094      56        0         4038     
     monitor-session            0         2         0         0         2        
     monitor-session-erspan-dst 0         23        0         0         23       
     vrf                        2         4096      9         0         4082     
     port-channel               0         768       115       0         651      
     u4route-mem                8         8         4         4         4        
     u6route-mem                4         4         1         3         3        
     m4route-mem                8         8         1         7         7        
     m6route-mem                5         5         1         4         4        
     monitor-session-inband-src 0         1         0         0         1        
     anycast_bundleid           0         16        0         0         16       
     monitor-session-mx-excepti 0         1         0         0         1        
     monitor-session-extended   0         12        0         0         12       
     monitor-rbs-filter         0         12        0         0         12       
     monitor-rbs-product        0         12        0         0         12       

