

CPU utilization for five seconds: 13%/2%; one minute: 5%; five minutes: 3%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
 4976     17198940  283611859      0   0.00%   0.00%  0.00%   -    sysmgr
 5678          200  24895012      0   0.00%   0.00%  0.00%   -    ospf
 5940   2756896274  2351703150      1   0.00%   0.00%  0.00%   -    platform
 6713       866780  37461127      0   0.00%   0.00%  0.00%   -    pixm_gl
 6714          120  2655191945      0   0.05%   0.06%  0.05%   -    pdsd
 6716      1016810  27195375      0   0.00%   0.00%  0.00%   -    licmgr
 6717      3770880  13013238      0   0.00%   0.00%  0.00%   -    fs-daemon
 6721       232100  24484278      0   0.00%   0.00%  0.00%   -    bloggerd
 6841       784160  37507586      0   0.00%   0.00%  0.00%   -    vdc_mgr
 6844       723410  492312854      0   0.05%   0.06%  0.06%   -    sysinfo
 6848        45720   2347742      0   0.00%   0.00%  0.00%   -    res_mgr
 6849      1682760  122687351      0   0.00%   0.00%  0.00%   -    plugin
 6850       803670  37504176      0   0.00%   0.00%  0.00%   -    pltfm_debug
 6861    104000930  326297268      0   0.00%   0.00%  0.00%   -    diagmgr
 6864      6771550  109953450      0   0.00%   0.00%  0.00%   -    clk_mgr
 6894     47905740  47720399      1   0.00%   0.00%  0.00%   -    diagclient
 7009       308890  13987208      0   0.00%   0.00%  0.00%   -    xbar
 7010     21033250  309149742      0   0.00%   0.00%  0.00%   -    module
 7018      9498880  83603155      0   0.00%   0.00%  0.00%   -    ifmgr
 7706       822860  37185356      0   0.00%   0.00%  0.00%   -    sim
 7708      7671240  94080058      0   0.00%   0.00%  0.00%   -    pltfm_config
 7711       839480  37498691      0   0.00%   0.00%  0.00%   -    pixmc
 7714       759400  37568871      0   0.00%   0.00%  0.00%   -    monitorc
 7718       920600  36911141      0   0.00%   0.00%  0.00%   -    giscm
 7835    105841680  303074962      0   0.00%   0.00%  0.00%   -    diag_port_lb
 8307      3013320  127728212      0   0.00%   0.00%  0.00%   -    syslogd
 8336          970      5065      0   0.00%   0.00%  0.00%   -    confcheck
