

CPU utilization for five seconds: 3%/0%; one minute: 3%; five minutes: 3%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
 9011          240  418817944      0   0.19%   0.20%  0.22%   -    arp
 9028          270  950292197      0   0.17%   0.19%  0.20%   -    pktmgr
 9112   1372128870  2847771667      0   0.00%   0.03%  0.17%   -    snmpd
 6714          120  3000230579      0   0.05%   0.06%  0.06%   -    pdsd
 6844       732480  496280130      0   0.05%   0.06%  0.06%   -    sysinfo
 9065          330  2231194078      0   0.05%   0.05%  0.04%   -    netstack
 9497    340181180  2043736740      0   0.01%   0.02%  0.04%   -    ethpm
 9169          190  787403013      0   0.03%   0.02%  0.02%   -    sla_sender
 9489    106439210  407305036      0   0.00%   0.00%  0.02%   -    vlan_mgr
 7835    106660420  305292173      0   0.00%   0.01%  0.00%   -    diag_port_lb
 9642    112221490  1085184627      0   0.00%   0.00%  0.00%   -    hsrp_engine
 8337     41266840  517516120      0   0.00%   0.00%  0.00%   -    feature-mgr
 9520    104253990  957534168      0   0.00%   0.00%  0.00%   -    stp
 9174     16552340  159505681      0   0.00%   0.00%  0.00%   -    pfstat
24199     11648360  141856536      0   0.00%   0.00%  0.00%   -    fex
 9494     10540350  97831264      0   0.00%   0.00%  0.00%   -    l2fm
 8949          190  1776799983      0   0.00%   0.00%  0.00%   -    adjmgr
 6861    104890080  328364668      0   0.00%   0.00%  0.00%   -    diagmgr
 9498     35319850  198080091      0   0.00%   0.00%  0.00%   -    ipqosmgr
 9496      5583000  80954815      0   0.00%   0.00%  0.00%   -    eth_dstats
 9707     12231810  186564691      0   0.00%   0.00%  0.00%   -    interface-vlan
 9176     46953490  138114498      0   0.00%   0.00%  0.00%   -    lldp
 9106     19062720  86644050      0   0.00%   0.00%  0.00%   -    cdp
 5678          200  108920651      0   0.00%   0.00%  0.00%   -    ospf
 9179          200  126977187      0   0.00%   0.00%  0.00%   -    igmp
 9488       968230  20269960      0   0.00%   0.00%  0.00%   -    eth_port_channel
 6894     48312140  48131521      1   0.00%   0.00%  0.00%   -    diagclient
 8599     25603800  120999415      0   0.00%   0.00%  0.00%   -    statsprofiler
 4976     17349070  285980664      0   0.00%   0.00%  0.00%   -    sysmgr
 5940   2756896274  2406754607      1   0.00%   0.00%  0.00%   -    platform
 6713       875530  37771555      0   0.00%   0.00%  0.00%   -    pixm_gl
 6716      1025030  27425222      0   0.00%   0.00%  0.00%   -    licmgr
 6717      3802810  13122849      0   0.00%   0.00%  0.00%   -    fs-daemon
 6721       234020  24688764      0   0.00%   0.00%  0.00%   -    bloggerd
 6841       790250  37814385      0   0.00%   0.00%  0.00%   -    vdc_mgr
 6848        45980   2367241      0   0.00%   0.00%  0.00%   -    res_mgr
 6849      1698360  123711358      0   0.00%   0.00%  0.00%   -    plugin
 6850       810170  37811810      0   0.00%   0.00%  0.00%   -    pltfm_debug
 6864      6832560  110939958      0   0.00%   0.00%  0.00%   -    clk_mgr
 7009       311410  14101441      0   0.00%   0.00%  0.00%   -    xbar
 7010     21221680  311757106      0   0.00%   0.00%  0.00%   -    module
 7018      9587880  84319377      0   0.00%   0.00%  0.00%   -    ifmgr
 7706       829590  37492124      0   0.00%   0.00%  0.00%   -    sim
 7708      7737770  94870147      0   0.00%   0.00%  0.00%   -    pltfm_config
 7711       848500  37820209      0   0.00%   0.00%  0.00%   -    pixmc
 7714       765860  37875235      0   0.00%   0.00%  0.00%   -    monitorc
 7718       928110  37213055      0   0.00%   0.00%  0.00%   -    giscm
 8307      3085480  128895861      0   0.00%   0.00%  0.00%   -    syslogd
 8336          980      5087      0   0.00%   0.00%  0.00%   -    confcheck
 8338       873620  39150769      0   0.00%   0.00%  0.00%   -    pixm_vl
 8339      1659560  123514192      0   0.00%   0.00%  0.00%   -    psshelper
 8340       795050  37970341      0   0.00%   0.00%  0.00%   -    session-mgr
 8341          150   4563685      0   0.00%   0.00%  0.00%   -    smm
 8342       779520  38385389      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 8343       442560  15560692      0   0.00%   0.00%  0.00%   -    vshd
 8353       542420   8665299      0   0.00%   0.00%  0.00%   -    clis
 8423       196290   6434563      0   0.00%   0.00%  0.00%   -    port-profile
 8587      1573000  123540933      0   0.00%   0.00%  0.00%   -    aaa
 8588      1634890  123339518      0   0.00%   0.00%  0.00%   -    cert_enroll
 8589      1870000  123382923      0   0.00%   0.00%  0.00%   -    securityd
 8590       394230  15434656      0   0.00%   0.00%  0.00%   -    ascii-cfg
 8591       785940  38388028      0   0.00%   0.00%  0.00%   -    cli_acl
 8592       194650   9233879      0   0.00%   0.00%  0.00%   -    evmc
 8594       247300  12341689      0   0.00%   0.00%  0.00%   -    evms
 8595          100       920      0   0.00%   0.00%  0.00%   -    mping_server
 8596       268630  12365991      0   0.00%   0.00%  0.00%   -    mvsh
 8598      1549940  123337193      0   0.00%   0.00%  0.00%   -    sksd
 8600       663380  15432736      0   0.00%   0.00%  0.00%   -    vman
 8601       795790  38327126      0   0.00%   0.00%  0.00%   -    vmm
 8602       912400  41127846      0   0.00%   0.00%  0.00%   -    xmlma
 8604          180   4577043      0   0.00%   0.00%  0.00%   -    l3vm
 8605          190  184489611      0   0.00%   0.00%  0.00%   -    urib
 8609           50       431      0   0.00%   0.00%  0.00%   -    klogd
 8771       742330  38492660      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 8924      5456790  16913059      0   0.00%   0.00%  0.00%   -    aclmgr
 8950          180  88418537      0   0.00%   0.00%  0.00%   -    u6rib
 9005          250  12197232      0   0.00%   0.00%  0.00%   -    npacl
 9012          190  12436911      0   0.00%   0.00%  0.00%   -    icmpv6
 9027       778400  38303971      0   0.00%   0.00%  0.00%   -    ncpinframgr
 9105      3057130  123387588      0   0.00%   0.00%  0.00%   -    radius
 9107      6016550  57222381      0   0.00%   0.00%  0.00%   -    cfs
 9108          120       747      0   0.00%   0.00%  0.00%   -    ip_dummy
 9109          100       759      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 9110       561800   7107110      0   0.00%   0.00%  0.00%   -    ntp
 9111       829050  38396867      0   0.00%   0.00%  0.00%   -    otm
 9128      8003240  136906292      0   0.00%   0.00%  0.00%   -    tacacs
 9143      1942090  123341381      0   0.00%   0.00%  0.00%   -    callhome
 9168      1487040  17145693      0   0.00%   0.00%  0.00%   -    spm
 9170          170  12441017      0   0.00%   0.00%  0.00%   -    sla_responder
 9171          180  74520645      0   0.00%   0.00%  0.00%   -    rpm
 9172       744150  38514366      0   0.00%   0.00%  0.00%   -    plsm
 9173      2302140  52530377      0   0.00%   0.00%  0.00%   -    plcmgr
 9177      1126430  40479908      0   0.00%   0.00%  0.00%   -    lim
 9178      4312140  133406770      0   0.00%   0.00%  0.00%   -    l2rib
 9180       280230  12415450      0   0.00%   0.00%  0.00%   -    eltm
 9183       140710  10138835      0   0.00%   0.00%  0.00%   -    adbm
 9184       248500   5904087      0   0.00%   0.00%  0.00%   -    acllog
 9228       837650  38083349      0   0.00%   0.00%  0.00%   -    iscm
 9264      1156520  39233957      0   0.00%   0.00%  0.00%   -    monitor
 9499     27369200  144827802      0   0.00%   0.00%  0.00%   -    lacp
 9531      1992100  10120117      0   0.00%   0.00%  0.00%   -    aclqos
 9633     23879790  208236491      0   0.00%   0.00%  0.00%   -    vpc
 9634      2514110  55622871      0   0.00%   0.00%  0.00%   -    ufdm
 9635       369240  18699292      0   0.00%   0.00%  0.00%   -    u2
 9636       783060  38509216      0   0.00%   0.00%  0.00%   -    sal
 9637          190  322600145      0   0.00%   0.00%  0.00%   -    mrib
 9638      3642100  26908483      0   0.00%   0.00%  0.00%   -    mfdm
 9639       840070  37706635      0   0.00%   0.00%  0.00%   -    mcm
 9640          170  430491738      0   0.00%   0.00%  0.00%   -    m6rib
 9641     39181780  153087773      0   0.00%   0.00%  0.00%   -    l2pt
 9645      1085670  37112380      0   0.00%   0.00%  0.00%   -    bfd_app
 9646       868430  39097457      0   0.00%   0.00%  0.00%   -    bfd
 9650          180  2204363826      0   0.00%   0.00%  0.00%   -    eigrp
 9653          190   4714324      0   0.00%   0.00%  0.00%   -    mcastfwd
 9702       287680   9238490      0   0.00%   0.00%  0.00%   -    m2rib
14199      6094690  229812004      0   0.00%   0.00%  0.00%   -    ntpd
14226      2274230  123353119      0   0.00%   0.00%  0.00%   3    vsh
14236      2266190  123353520      0   0.00%   0.00%  0.00%   8    vsh
14304          160  3424439317      0   0.00%   0.00%  0.00%   -    ecp
14305       733880  38435819      0   0.00%   0.00%  0.00%   -    xmpp
14306           90       722      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
14307       441160  19035269      0   0.00%   0.00%  0.00%   -    snmpmib_proc
14308       479390  24726853      0   0.00%   0.00%  0.00%   -    fscm
14387        14940     91798      0   0.00%   0.00%  0.00%   -    dcos-xinetd
21854          260       144      1   0.00%   0.00%  0.00%   0    vsh
24198       198290   7088304      0   0.00%   0.00%  0.00%   -    vntag_mgr
28656      1347800   8251347      0   0.00%   0.00%  0.00%   -    dhcp_snoop
