
VPC Role: Secondary
VPC Peer-Link Status: Up

Interface      Orphan Port        Orphan-port   
               Suspend-config     Status        
------------   ----------------   -------------
Po32              -                 Up   
Po102             -                 Up   
Po104             -                 Up   
Po106             -                 Up   
Po108             -                 Up   
Po110             -                 Up   
Po112             -                 Up   
Po114             -                 Up   
Po1001            -                 Up   
Eth1/1            -                 Up   
Eth1/2            -                 Up   
Eth1/3            -                 Up   
Eth1/4            -                 Up   
Eth1/5            -                 Up   
Eth1/6            -                 Up   
Eth1/7            -                 Up   
Eth1/8            -                 Up   
Eth1/9            -                 Down 
Eth1/10           -                 Down 
Eth1/11           -                 Down 
Eth1/12           -                 Down 
Eth1/13           -                 Down 
Eth1/14           -                 Down 
Eth1/15           -                 Down 
Eth1/16           -                 Down 
Eth1/17           -                 Up   
Eth1/18           -                 Up   
Eth1/19           -                 Up   
Eth1/20           -                 Up   
Eth1/21           -                 Up   
Eth1/22           -                 Up   
Eth1/23           -                 Down 
Eth1/24           -                 Down 
Eth1/29           -                 Down 
Eth1/30           -                 Down 
Eth1/31           -                 Down 
Eth1/32           -                 Down 
Eth1/33           -                 Down 
Eth1/34           -                 Down 
Eth1/35           -                 Down 
Eth1/36           -                 Down 
Eth1/37           -                 Down 
Eth1/38           -                 Down 
Eth1/39           -                 Down 
Eth1/40           -                 Down 
Eth1/41           -                 Down 
Eth1/42           -                 Down 
Eth1/43           -                 Down 
Eth1/44           -                 Up   
Eth1/45           -                 Down 
Eth1/46           -                 Down 
Eth1/47           -                 Up   
Eth1/47.2354      -                 Up   
Eth1/47.2632      -                 Up   
Eth1/47.3503      -                 Up   
Eth1/47.3508      -                 Up   
Eth1/47.3513      -                 Up   
Eth1/47.3518      -                 Up   
Eth1/47.3523      -                 Up   
Eth2/1            -                 Down 
Eth2/2            -                 Down 
Eth2/3            -                 Up   
Eth2/4            -                 Up   
Eth2/5            -                 Up   
Eth2/6            -                 Up   
Eth2/7            -                 Up   
Eth2/8            -                 Up   
Eth2/17           -                 Up   
Eth2/18           -                 Up   
Eth2/19           -                 Up   
Eth2/20           -                 Up   
Eth2/21           -                 Up   
Eth2/22           -                 Up   
Eth2/23           -                 Down 
Eth2/24           -                 Down 
Eth2/29           -                 Down 
Eth2/30           -                 Down 
Eth2/32           -                 Down 
Eth2/33           -                 Down 
Eth2/34           -                 Down 
Eth2/35           -                 Down 
Eth2/35.3526      -                 Down 
Eth2/36           -                 Down 
Eth2/36.3526      -                 Down 
Eth2/37           -                 Down 
Eth2/38           -                 Down 
Eth2/39           -                 Down 
Eth2/40           -                 Down 
Eth2/41           -                 Down 
Eth2/42           -                 Down 
Eth2/43           -                 Down 
Eth2/44           -                 Up   
Eth2/45           -                 Down 
Eth2/46           -                 Down 
Eth2/47           -                 Up   
Eth2/47.2356      -                 Up   
Eth2/47.2634      -                 Up   
Eth2/47.3504      -                 Up   
Eth2/47.3509      -                 Up   
Eth2/47.3514      -                 Up   
Eth2/47.3519      -                 Up   
Eth2/47.3524      -                 Up   
Eth3/9            -                 Down 
Eth3/10           -                 Down 
Eth3/11           -                 Down 
Eth3/12           -                 Down 
Eth3/13           -                 Down 
Eth3/14           -                 Down 
Eth3/15           -                 Down 
Eth3/16           -                 Up   
Eth102/1/1        -                 Down 
Eth102/1/2        -                 Down 
Eth102/1/3        -                 Up   
Eth102/1/4        -                 Down 
Eth102/1/5        -                 Up   
Eth102/1/6        -                 Down 
Eth102/1/7        -                 Up   
Eth102/1/8        -                 Up   
