
Neighbor ID     Pri   State           Dead Time   Address         Interface
10.132.248.169    1   FULL/BDR        00:00:33    10.132.248.177  Vlan3355
10.133.255.13     1   FULL/DROTHER    00:00:35    10.132.248.181  Vlan3355
10.132.248.161    1   FULL/BDR        00:00:34    10.132.248.153  Vlan3352
10.132.255.138    1   FULL/DROTHER    00:00:37    10.132.248.157  Vlan3352
10.255.255.144    1   FULL/DR         00:00:30    10.255.255.2    TenGigabitEthernet2/4
10.255.255.130    1   FULL/BDR        00:00:36    10.255.254.189  TenGigabitEthernet4/2
10.255.255.142    1   FULL/DR         00:00:36    10.255.254.182  TenGigabitEthernet4/1
10.132.248.57     1   FULL/BDR        00:00:34    10.194.254.41   Vlan3654
10.194.255.3      1   FULL/DROTHER    00:00:34    10.194.254.45   Vlan3654
10.148.0.19       1   FULL/DROTHER    00:00:30    10.132.253.99   Vlan3426
10.172.255.100    1   FULL/BDR        00:00:36    10.132.253.100  Vlan3426
