CPU utilization for five seconds: 10%/1%; one minute: 6%; five minutes: 4%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
   1 Cwe  A7AC120           12         66     181 5388/6000   0 Chunk Manager   
   2 Csp  C548CF0        72516   21594637       3 2588/3000   0 Load Meter      
   3 Mwe  A94BF48       786404   20406125      38 3468/6000   0 LDP Main        
   4 Mwe  83359D8         3168  105437324       0 7300/9000   0 BGP Scheduler   
   5 Mwe  B5B3274            4        290      13 5632/6000   0 Retransmission o
   6 Mwe  B5B77A4            0          4       0 5132/6000   0 IPC ISSU Dispatc
   7 Mwe  C20ABA8            0          1       0 5568/6000   0 PF Redun ICC Req
   8 Mwe  A751C48            0          1       0 5620/6000   0 RO Notify Timers
   9 Lst  A7D3EA0    228586928   18910293   12087 5364/6000   0 Check heaps     
  10 Cwe  A7C92E4         1500    1799553       0 5404/6000   0 Pool Manager    
  11 Mwe  A7C8AA0            0          1       0 5616/6000   0 DiscardQ Backgro
  12 Mst  89379DC            0          2       0 5500/6000   0 Timers          
  13 Mwe  8986908       105760    5516538      19 2624/3000   0 WATCH_AFS       
  14 Mwe  80BCDFC      1162724    5018006     231 4424/6000   0 ARP Input       
  15 Mwe  80B89DC         5344  112607599       0 4460/6000   0 ARP Background  
  16 Mwe  813C1CC            0          2       0 5504/6000   0 ATM Idle Timer  
  17 Mwe  812E070            0          1       0 5612/6000   0 ATM ASYNC PROC  
  18 Lwe  89194E0            0          2       0 5396/6000   0 AAA_SERVER_DEADT
  19 Mwe  8A7DFC8            0          1       011572/12000  0 Policy Manager  
  20 Lwe  8CB4BB0           16        110     145 4740/6000   0 Entity MIB API  
  21 Mwe  90CB0CC            0          1       0 5608/6000   0 IFS Agent Manage
  22 Mwe  9197E9C          544   21594436       0 3492/6000   0 IPC Event Notifi
  23 Mwe  91DFF4C         3176  105437326       0 5168/6000   0 IPC Mcast Pendin
  24 Mwe  91C0638           20    1799553       0 5640/6000   0 IPC Dynamic Cach
  25 Mwe  91D3BC4          588   21594419       0 4732/6000   0 IPC Service NonC
  26 Hwe  C20E250           24        127     188 4584/6000   0 PF_Split Sync Pr
  27 Mwe  91C2668         6764  105437616       0 4800/6000   0 IPC Periodic Tim
  28 Mwe  91C080C         2828  105437326       0 5000/6000   0 IPC Deferred Por
  29 Mwe  91C05EC            0          1       0 5656/6000   0 IPC Process leve
  30 Mwe  91C23A0     17588112  151080158     116 3224/6000   0 IPC Seat Manager
  31 Mwe  918E358           32    1661126       0 4972/6000   0 IPC Check Queue 
  32 Mwe  91C2EF4          512       8094      63 4660/6000   0 IPC Seat RX Cont
  33 Mwe  91C2E14            0         17       0 3372/6000   0 IPC Seat TX Cont
  34 Mwe  91BFC88          784   10797324       0 5616/6000   0 IPC Keep Alive M
  35 Hsi  91BD0D8         7380   21594431       0 5596/6000   0 IPC Loadometer  
  36 Mwe  91BD098            0          1       0 5616/6000   0 IPC Session Deta
  37 Hsp  A5D059C          236   10797321       0 5640/6000   0 Compute SRP rate
  38 Mwe  A7545D0            0          1       0 2620/3000   0 RMI RM Notify Wa
  39 Lwe  B340C34            0          1       0 5628/6000   0 CEF MIB API     
  40 Mwe  B3BB9AC            0          2       0 5476/6000   0 DDR Timers      
  41 Mwe  B5789CC            0          1       0 5620/6000   0 ifIndex Receive 
  42 Mwe  B92D3B0            0          1       0 5616/6000   0 SENSOR-MGR event
  43 Mwe  B930EC0            0          2       0 5484/6000   0 Serial Backgroun
  44 Mwe  BBD046C            0          1       023548/24000  0 Crash writer    
  45 Mwe  BBCEF8C            0          1       0 5388/6000   0 Exception contro
  46 Mwe  C0A612C            0          1       0 5576/6000   0 IPC Apps Task   
  47 Hwe  C38A264            0         21       0 4804/6000   0 RPC pf-split-rp 
  48 Msi  C616200      4718376   41374527     114 4656/6000   0 EnvMon          
  49 Msp  8A06948         3564  107973178       0 5560/6000   0 GraphIt         
  50 Hwe  A191E38           68        907      74 9700/12000  0 rf proxy rp agen
  51 Hwe  A191FC4            0          3       0 5460/6000   0 rf proxy message
  52 Lwe  AD8FA4C      8649660     827579   10451 3816/6000   0 crypto sw pk pro
  53 Lwe  B22CAE4            4         44      90 3576/6000   0 Entity MIB C6k P
  54 Mwe  B6DE188            0          4       0 4848/6000   0 client_entity_se
  55 Mwe  B93E874            0          1       0 5628/6000   0 SERIAL A'detect 
  56 Mwe  BC4F700            0          1       0 5660/6000   0 Snmp ICC Process
  57 Mwe  BC4DE4C            8         92      86 4748/6000   0 Cat6k SNMP      
  58 Mwe  BC4C8C0            4         76      52 5296/6000   0 Cat6k SNMP Trap 
  59 Hwe  C38A264            0         22       0 4824/6000   0 RPC idprom-MP   
  60 Mwe  C5045B4         4020  107967486       0 5616/6000   0 Dynamic ARP Insp
  61 Cwe  A7DEBC0            0          1       0 5652/6000   0 Critical Bkgnd  
  62 Mwe  BC01394         2456   13039238       0 9544/12000  0 Net Background  
  63 Mwe  BC00EB4            0          3       011480/12000  0 IDB Work        
  64 Lwe  8A5ACF0           12       1406       810732/12000  0 Logger          
  65 Mwe  893FE28         4608  107967479       0 3724/6000   0 TTY Background  
  66 Mwe  90A1D0C           40        455      87 4352/6000   0 IF-MGR control p
  67 Mwe  90B02C0            4        132      30 4756/6000   0 IF-MGR event pro
  68 Hwe  C38A264            0          5       0 5468/6000   0 RPC rf_rfmib_not
  69 Mwe  BB0392C           28        432      64 4728/6000   0 Env action      
  70 Msi  BEC7BA8         2784  107967490       0 5616/6000   0 EOBC ETSEC FREEZ
  71 Mwe  BEFB51C            0          2       0 5536/6000   0 Flash ICC Server
  72 Hwe  C075DC0            4          3    1333 5088/6000   0 ICC Nego        
  73 Mwe  C0B07EC            8     179959       0 5560/6000   0 itasca          
  74 Hwe  BC0E094       167164   12355336      13 5596/6000   0 Net Input       
  75 Hwe  C1CCB30            4         12     333 7964/9000   0 draco-oir-proces
  76 M*         0         1012       2022     500 7180/12000  1 SSH Process     
  77 Mwe  C2032D8            0        353       0 4556/6000   0 svclc           
  78 Mwe  B5B6BBC            0          1       0 5560/6000   0 IPC ISSU Version
  79 Mwe  A94BF48      5363948  146546825      36 4684/6000   0 LDP Hello       
