TCB       Local Address               Foreign Address             (state)
1C1A5CF0  10.255.255.141.646         10.255.255.144.26748        ESTAB
241A18A4  10.255.255.141.61375       10.128.128.11.49            TIMEWAIT
241D3878  10.255.255.141.13476       10.128.128.11.49            TIMEWAIT
2419EF8C  10.255.255.141.15355       10.128.128.11.49            TIMEWAIT
145A0BC4  10.255.255.141.35334       10.255.255.160.179          ESTAB
2423CFBC  10.255.255.141.55321       10.128.128.11.49            TIMEWAIT
22EA9D5C  10.255.255.141.646         10.255.255.142.34159        ESTAB
241F2FF4  10.255.255.141.30333       10.128.128.11.49            TIMEWAIT
241A1FD8  10.255.255.141.39803       10.128.128.11.49            TIMEWAIT
241F4180  10.255.255.141.22          10.64.0.111.55282           ESTAB
24159300  10.255.255.141.63002       10.255.255.130.646          ESTAB
2419F6C0  10.255.255.141.38756       10.128.128.11.49            TIMEWAIT
23E8B5C4  10.255.255.141.179         10.255.255.133.34187        ESTAB
232BE2F8  0.0.0.0.179                10.255.255.133.*            LISTEN
22182078  0.0.0.0.179                10.255.255.160.*            LISTEN
