
Fri Oct  2 00:22:46.724 MSK
   PCB     VRF-ID     Recv-Q Send-Q Local Address          Foreign Address        State
0x1217b664 0x60000000      0      0  :::22                  :::0                   LISTEN
0x12187aac 0x60000002      0      0  :::22                  :::0                   LISTEN
0x1217346c 0x00000000      0      0  :::22                  :::0                   LISTEN
0x1218787c 0x60000000      0      0  :::4082                :::0                   LISTEN
0x12186ff8 0x00000000      0      0  :::4082                :::0                   LISTEN
0x1218303c 0x60000000      0      0  :::4083                :::0                   LISTEN
0x1217f5a8 0x00000000      0      0  :::4083                :::0                   LISTEN
0x121a7608 0x60000000      0      0  :::179                 :::0                   LISTEN
0x121a8bd0 0x60000003      0      0  :::179                 :::0                   LISTEN
0x121b7924 0x60000004      0      0  :::179                 :::0                   LISTEN
0x121b83a0 0x60000005      0      0  :::179                 :::0                   LISTEN
0x121b7cc4 0x60000006      0      0  :::179                 :::0                   LISTEN
0x121b8064 0x60000007      0      0  :::179                 :::0                   LISTEN
0x121b8740 0x60000008      0      0  :::179                 :::0                   LISTEN
0x121b8ae0 0x60000009      0      0  :::179                 :::0                   LISTEN
0x121be328 0x6000000a      0      0  :::179                 :::0                   LISTEN
0x121c4c10 0x6000000b      0      0  :::179                 :::0                   LISTEN
0x121f0b8c 0x6000000c      0      0  :::179                 :::0                   LISTEN
0x121b9b7c 0x6000000e      0      0  :::179                 :::0                   LISTEN
0x121c6610 0x6000000f      0      0  :::179                 :::0                   LISTEN
0x121c6270 0x60000010      0      0  :::179                 :::0                   LISTEN
0x121b97dc 0x60000011      0      0  :::179                 :::0                   LISTEN
0x121c5ea8 0x60000012      0      0  :::179                 :::0                   LISTEN
0x121ba7c8 0x60000013      0      0  :::179                 :::0                   LISTEN
0x121c5b08 0x60000016      0      0  :::179                 :::0                   LISTEN
0x121c46c4 0x60000017      0      0  :::179                 :::0                   LISTEN
0x121dd260 0x60000018      0      0  :::179                 :::0                   LISTEN
0x121f0d5c 0x60000019      0      0  :::179                 :::0                   LISTEN
0x121d5840 0x6000001a      0      0  :::179                 :::0                   LISTEN
0x121d6b20 0x6000001b      0      0  :::179                 :::0                   LISTEN
0x122108ec 0x6000001c      0      0  :::179                 :::0                   LISTEN
0x121fe36c 0x6000001d      0      0  :::179                 :::0                   LISTEN
0x12205354 0x6000001e      0      0  :::179                 :::0                   LISTEN
0x122002a0 0x6000001f      0      0  :::179                 :::0                   LISTEN
0x12200640 0x60000020      0      0  :::179                 :::0                   LISTEN
0x12224e30 0x60000021      0      0  :::179                 :::0                   LISTEN
0x1222446c 0x60000022      0      0  :::179                 :::0                   LISTEN
0x122308a0 0x60000023      0      0  :::179                 :::0                   LISTEN
0x12203828 0x60000024      0      0  :::179                 :::0                   LISTEN
0x12221ddc 0x60000025      0      0  :::179                 :::0                   LISTEN
0x121ffdc8 0x60000026      0      0  :::179                 :::0                   LISTEN
0x12245ab4 0x60000027      0      0  :::179                 :::0                   LISTEN
0x12230694 0x60000028      0      0  :::179                 :::0                   LISTEN
0x1224ff9c 0x60000029      0      0  :::179                 :::0                   LISTEN
0x1223b8b8 0x6000002a      0      0  :::179                 :::0                   LISTEN
0x1223bc80 0x6000002b      0      0  :::179                 :::0                   LISTEN
0x12271024 0x6000002c      0      0  :::179                 :::0                   LISTEN
0x12226c74 0x6000002d      0      0  :::179                 :::0                   LISTEN
0x12290e0c 0x60000030      0      0  :::179                 :::0                   LISTEN
0x1228b50c 0x60000031      0      0  :::179                 :::0                   LISTEN
0x1228fa30 0x60000032      0      0  :::179                 :::0                   LISTEN
0x1228c378 0x60000033      0      0  :::179                 :::0                   LISTEN
0x1228c718 0x60000034      0      0  :::179                 :::0                   LISTEN
0x121e5040 0x60000035      0      0  :::179                 :::0                   LISTEN
0x1228d474 0x60000036      0      0  :::179                 :::0                   LISTEN
0x1225c0cc 0x60000037      0      0  :::179                 :::0                   LISTEN
0x1225cc38 0x60000038      0      0  :::179                 :::0                   LISTEN
0x121a3e80 0x00000000      0      0  :::179                 :::0                   LISTEN
0x1215c5b0 0x60000000      0      0  :::0                   :::0                   CLOSED
0x1215befc 0x00000000      0      0  :::0                   :::0                   CLOSED
0x121c29a4 0x60000003      0      0  10.192.251.245:43489   10.192.251.246:179     ESTAB
0x12220ccc 0x6000001d      0      0  10.192.105.165:179     10.192.105.166:20074   ESTAB
0x12187f54 0x60000000      0      0  10.255.255.144:26748   10.255.255.141:646     ESTAB
