
Fri Oct  2 00:22:47.093 MSK
   PCB     VRF-ID     Recv-Q Send-Q  Local Address          Foreign Address
0x12115894 0x60000000      0      0  :::123                 :::0                  
0x120fd6a0 0x60000002      0      0  :::123                 :::0                  
0x120f777c 0x00000000      0      0  :::123                 :::0                  
0x120f5c00 0x60000000      0      0  :::161                 :::0                  
0x120f5dd0 0x60000001      0      0  :::161                 :::0                  
0x120fc1f4 0x60000002      0      0  :::161                 :::0                  
0x120fd00c 0x60000003      0      0  :::161                 :::0                  
0x120ff7e8 0x60000004      0      0  :::161                 :::0                  
0x12100024 0x60000005      0      0  :::161                 :::0                  
0x12100654 0x60000006      0      0  :::161                 :::0                  
0x12100f14 0x60000007      0      0  :::161                 :::0                  
0x121017d4 0x60000008      0      0  :::161                 :::0                  
0x12103bf4 0x60000009      0      0  :::161                 :::0                  
0x1210218c 0x6000000a      0      0  :::161                 :::0                  
0x12102c44 0x6000000b      0      0  :::161                 :::0                  
0x12103504 0x6000000c      0      0  :::161                 :::0                  
0x12104654 0x6000000d      0      0  :::161                 :::0                  
0x12104f14 0x6000000e      0      0  :::161                 :::0                  
0x121057d4 0x6000000f      0      0  :::161                 :::0                  
0x12106094 0x60000010      0      0  :::161                 :::0                  
0x12107964 0x60000011      0      0  :::161                 :::0                  
0x12106724 0x60000012      0      0  :::161                 :::0                  
0x12106fe4 0x60000013      0      0  :::161                 :::0                  
0x121081f4 0x60000016      0      0  :::161                 :::0                  
0x120fe450 0x60000017      0      0  :::161                 :::0                  
0x12108bc4 0x60000018      0      0  :::161                 :::0                  
0x12109c68 0x60000019      0      0  :::161                 :::0                  
0x1210a128 0x6000001a      0      0  :::161                 :::0                  
0x1210abb8 0x6000001b      0      0  :::161                 :::0                  
0x1210b568 0x6000001c      0      0  :::161                 :::0                  
0x1210c2b4 0x6000001d      0      0  :::161                 :::0                  
0x1210d6b8 0x6000001e      0      0  :::161                 :::0                  
0x1210dce8 0x6000001f      0      0  :::161                 :::0                  
0x1210e318 0x60000020      0      0  :::161                 :::0                  
0x1210ec98 0x60000021      0      0  :::161                 :::0                  
0x1210f558 0x60000022      0      0  :::161                 :::0                  
0x121101f4 0x60000023      0      0  :::161                 :::0                  
0x121108e4 0x60000024      0      0  :::161                 :::0                  
0x121111a4 0x60000025      0      0  :::161                 :::0                  
0x12111a64 0x60000026      0      0  :::161                 :::0                  
0x12111ec4 0x60000027      0      0  :::161                 :::0                  
0x12112604 0x60000028      0      0  :::161                 :::0                  
0x121130a4 0x60000029      0      0  :::161                 :::0                  
0x12114024 0x6000002a      0      0  :::161                 :::0                  
0x12114654 0x6000002b      0      0  :::161                 :::0                  
0x12114f14 0x6000002c      0      0  :::161                 :::0                  
0x12123cb0 0x6000002d      0      0  :::161                 :::0                  
0x121204e4 0x60000030      0      0  :::161                 :::0                  
0x12127bbc 0x60000031      0      0  :::161                 :::0                  
0x1212841c 0x60000032      0      0  :::161                 :::0                  
0x12134980 0x60000033      0      0  :::161                 :::0                  
0x12133204 0x60000034      0      0  :::161                 :::0                  
0x12133ac4 0x60000035      0      0  :::161                 :::0                  
0x12122604 0x60000036      0      0  :::161                 :::0                  
0x12124378 0x60000037      0      0  :::161                 :::0                  
0x121213c4 0x60000038      0      0  :::161                 :::0                  
0x120f5fa0 0x60000400      0      0  :::161                 :::0                  
0x120f5a30 0x00000000      0      0  :::161                 :::0                  
0x120f671c 0x60000000      0      0  :::162                 :::0                  
0x120f68ec 0x60000001      0      0  :::162                 :::0                  
0x120fc3c4 0x60000002      0      0  :::162                 :::0                  
0x120fe7a8 0x60000003      0      0  :::162                 :::0                  
0x120ff9b8 0x60000004      0      0  :::162                 :::0                  
0x121001f4 0x60000005      0      0  :::162                 :::0                  
0x12100884 0x60000006      0      0  :::162                 :::0                  
0x12101144 0x60000007      0      0  :::162                 :::0                  
0x12101a04 0x60000008      0      0  :::162                 :::0                  
0x12103e24 0x60000009      0      0  :::162                 :::0                  
0x121023bc 0x6000000a      0      0  :::162                 :::0                  
0x12102e74 0x6000000b      0      0  :::162                 :::0                  
0x12104024 0x6000000c      0      0  :::162                 :::0                  
0x12104884 0x6000000d      0      0  :::162                 :::0                  
0x12105144 0x6000000e      0      0  :::162                 :::0                  
0x12105a04 0x6000000f      0      0  :::162                 :::0                  
0x121062c4 0x60000010      0      0  :::162                 :::0                  
0x12107b94 0x60000011      0      0  :::162                 :::0                  
0x12106954 0x60000012      0      0  :::162                 :::0                  
0x12107214 0x60000013      0      0  :::162                 :::0                  
0x12108424 0x60000016      0      0  :::162                 :::0                  
0x12108654 0x60000017      0      0  :::162                 :::0                  
0x12108df4 0x60000018      0      0  :::162                 :::0                  
0x12109e98 0x60000019      0      0  :::162                 :::0                  
0x1210a358 0x6000001a      0      0  :::162                 :::0                  
0x1210ade8 0x6000001b      0      0  :::162                 :::0                  
0x1210b798 0x6000001c      0      0  :::162                 :::0                  
0x1210c4e4 0x6000001d      0      0  :::162                 :::0                  
0x1210d888 0x6000001e      0      0  :::162                 :::0                  
0x1210df18 0x6000001f      0      0  :::162                 :::0                  
0x1210e4e8 0x60000020      0      0  :::162                 :::0                  
0x1210eec8 0x60000021      0      0  :::162                 :::0                  
0x1210f788 0x60000022      0      0  :::162                 :::0                  
0x12110424 0x60000023      0      0  :::162                 :::0                  
0x12110b14 0x60000024      0      0  :::162                 :::0                  
0x121113d4 0x60000025      0      0  :::162                 :::0                  
0x12111c94 0x60000026      0      0  :::162                 :::0                  
0x12112094 0x60000027      0      0  :::162                 :::0                  
0x12112a14 0x60000028      0      0  :::162                 :::0                  
0x121132d4 0x60000029      0      0  :::162                 :::0                  
