
Tue Oct 13 20:14:45.991 MSK

               Intf       Intf        LineP              Encap  MTU        BW
               Name       State       State               Type (byte)    (Kbps)
--------------------------------------------------------------------------------
                BE1          up          up               ARPA  9216   20000000
                BE2          up          up               ARPA  9216   10000000
           BE2.3798          up          up             802.1Q  9220   10000000
                BE3          up          up               ARPA  9216   20000000
           BE3.2627          up          up             802.1Q  9220   20000000
           BE3.3070          up          up             802.1Q  9220   20000000
           BE3.3076          up          up             802.1Q  9220   20000000
           BE3.3089          up          up             802.1Q  9220   20000000
           BE3.3225          up          up             802.1Q  9220   20000000
           BE3.3231          up          up             802.1Q  9220   20000000
           BE3.3240          up          up             802.1Q  9220   20000000
           BE3.3247          up          up             802.1Q  9220   20000000
           BE3.3274          up          up             802.1Q  9220   20000000
           BE3.3288          up          up             802.1Q  9220   20000000
           BE3.3296          up          up             802.1Q  9220   20000000
           BE3.3549          up          up             802.1Q  9220   20000000
           BE3.3570          up          up             802.1Q  9220   20000000
           BE3.3579          up          up             802.1Q  9220   20000000
           BE3.3594          up          up             802.1Q  9220   20000000
           BE3.3659          up          up             802.1Q  9220   20000000
           BE3.3665          up          up             802.1Q  9220   20000000
           BE3.3671          up          up             802.1Q  9220   20000000
           BE3.3677          up          up             802.1Q  9220   20000000
           BE3.3681  admin-down  admin-down             802.1Q  9220   20000000
           BE3.3685          up          up             802.1Q  9220   20000000
           BE3.3689  admin-down  admin-down             802.1Q  9220   20000000
           BE3.3695          up          up             802.1Q  9220   20000000
           BE3.3702          up          up             802.1Q  9220   20000000
           BE3.3707          up          up             802.1Q  9220   20000000
           BE3.3712          up          up             802.1Q  9220   20000000
           BE3.3717          up          up             802.1Q  9220   20000000
           BE3.3722          up          up             802.1Q  9220   20000000
           BE3.3727          up          up             802.1Q  9220   20000000
           BE3.3732          up          up             802.1Q  9220   20000000
           BE3.3737          up          up             802.1Q  9220   20000000
           BE3.3742          up          up             802.1Q  9220   20000000
                BE4          up          up               ARPA  9216   20000000
           BE4.2629          up          up             802.1Q  9220   20000000
           BE4.3072          up          up             802.1Q  9220   20000000
           BE4.3078          up          up             802.1Q  9220   20000000
           BE4.3091          up          up             802.1Q  9220   20000000
           BE4.3227          up          up             802.1Q  9220   20000000
           BE4.3233          up          up             802.1Q  9220   20000000
           BE4.3242          up          up             802.1Q  9220   20000000
           BE4.3249          up          up             802.1Q  9220   20000000
           BE4.3276          up          up             802.1Q  9220   20000000
           BE4.3290          up          up             802.1Q  9220   20000000
           BE4.3298          up          up             802.1Q  9220   20000000
           BE4.3551          up          up             802.1Q  9220   20000000
           BE4.3572          up          up             802.1Q  9220   20000000
           BE4.3581          up          up             802.1Q  9220   20000000
           BE4.3596          up          up             802.1Q  9220   20000000
           BE4.3661          up          up             802.1Q  9220   20000000
           BE4.3667          up          up             802.1Q  9220   20000000
           BE4.3673          up          up             802.1Q  9220   20000000
           BE4.3679          up          up             802.1Q  9220   20000000
           BE4.3683  admin-down  admin-down             802.1Q  9220   20000000
           BE4.3687          up          up             802.1Q  9220   20000000
           BE4.3691  admin-down  admin-down             802.1Q  9220   20000000
           BE4.3697          up          up             802.1Q  9220   20000000
           BE4.3704          up          up             802.1Q  9220   20000000
           BE4.3709          up          up             802.1Q  9220   20000000
           BE4.3714          up          up             802.1Q  9220   20000000
           BE4.3719          up          up             802.1Q  9220   20000000
           BE4.3724          up          up             802.1Q  9220   20000000
           BE4.3729          up          up             802.1Q  9220   20000000
           BE4.3734          up          up             802.1Q  9220   20000000
           BE4.3739          up          up             802.1Q  9220   20000000
           BE4.3744          up          up             802.1Q  9220   20000000
                BE5          up          up               ARPA  9170   20000000
           BE5.2692          up          up             802.1Q  9174   20000000
           BE5.3261          up          up             802.1Q  9174   20000000
           BE5.3796          up          up             802.1Q  9174   20000000
                BE6          up          up               ARPA  9170   10000000
           BE6.2696          up          up             802.1Q  9174   10000000
           BE6.3263          up          up             802.1Q  9174   10000000
           BE6.3265          up          up             802.1Q  9174   10000000
           BE6.3271          up          up             802.1Q  9174   10000000
           BE6.3282          up          up             802.1Q  9174   10000000
           BE6.3445          up          up             802.1Q  9174   10000000
           BE6.3461          up          up             802.1Q  9174   10000000
           BE6.3463          up          up             802.1Q  9174   10000000
           BE6.3475          up          up             802.1Q  9174   10000000
           BE6.3490          up          up             802.1Q  9174   10000000
           BE6.3530          up          up             802.1Q  9174   10000000
           BE6.3554          up          up             802.1Q  9174   10000000
           BE6.3615          up          up             802.1Q  9174   10000000
           BE6.3625          up          up             802.1Q  9174   10000000
           BE6.3627          up          up             802.1Q  9174   10000000
           BE6.3699          up          up             802.1Q  9174   10000000
           BE6.3746          up          up             802.1Q  9174   10000000
           BE6.3748          up          up             802.1Q  9174   10000000
           BE6.3750          up          up             802.1Q  9174   10000000
           BE6.3752          up          up             802.1Q  9174   10000000
           BE6.3756          up          up             802.1Q  9174   10000000
           BE6.3758          up          up             802.1Q  9174   10000000
           BE6.3760          up          up             802.1Q  9174   10000000
                BE7          up          up               ARPA  9216   10000000
                Lo0          up          up           Loopback  1500          0
                Nu0          up          up               Null  1500          0
    Mg0/RSP0/CPU0/0          up          up               ARPA  1514    1000000
    Mg0/RSP0/CPU0/1  admin-down  admin-down               ARPA  1514          0
    PT0/RSP0/CPU0/0  admin-down  admin-down               ARPA  1514     100000
          Te0/0/0/0          up          up               ARPA  9216   10000000
          Te0/0/0/1          up          up               ARPA  9216   10000000
          Te0/0/0/2          up          up               ARPA  9216   10000000
     Te0/0/0/2.3096          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3244          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3266          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3268          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3278          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3279          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3280          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3454          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3456          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3458          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3464          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3472          up          up             802.1Q  9220   10000000
