

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1        42390    993505      0   0.00%  init
 1027       257390   5200953      0   0.00%  tacacs
 1030      5782420   6833878      0   0.00%  udld
 1034        73500   1109545      0   0.00%  interface-vlan
 1047      8023280   7082142      0   0.00%  lacp
 1051       926410   8999385      0   0.00%  vpc
 1070      5576360   2730531      0   0.00%  lldp
 1361            0         2      0   0.00%  klogd
 1599          170        82      0   0.00%  sdwrapd
 1601     97434600  25877238      0   1.56%  pfmclnt
 1774            0         7      0   0.00%  xinetd
 1775            0         3      0   0.00%  tftpd
 1776          100        95      0   0.00%  sdwrapd
 1778          190       140      0   0.00%  fw_app
 1779        27980   1651319      0   0.00%  dme_proxy
 1781      6965390  17267261      0   0.77%  platform
 1787        28260   1651265      0   0.00%  dme_bootup_proxy
 1788          730       221      0   0.00%  event_manager
 1789        88390   4953313      0   0.00%  mts_telemetry_mgr
 1790         1190       309      0   0.77%  policyelem
 1821       255900   5009323      0   0.00%  syslogd
 1823       240550   6028299      0   0.00%  vshd
 1824         6420     98725      0   0.00%  template_manager
 1825        13940    239274      0   0.00%  tamnw
 1826           70        47      0   0.00%  smm
 1827       110800   4954777      0   0.00%  psshelper
 1828        36390   1008959      0   0.00%  pixm_vl
 1829        35120   1007769      0   0.00%  pixm_gl
 1830          730       196      0   0.00%  nginx
 1831         5810     98647      0   0.00%  mmode
 1832         5100     82805      0   0.00%  lmgrd
 1833      1639960   1177294      0   0.00%  fs-daemon
 1834       225880   8423072      0   0.00%  feature-mgr
 1835         3980     49989      0   0.00%  confcheck
 1836        18020    511713      0   0.00%  capability
 1840        28850    551354      0   0.00%  bloggerd
 1841       109760   4954435      0   0.00%  psshelper_gsvc
 1847       272820   5146914      0   0.00%  tams_proc
 1850       832760   4146467      0   0.00%  clis
 1851        25150   1002538      0   0.00%  licmgr
 1856        10140     83004      0   0.00%  cisco
 1900       513230   4712586      0   0.00%  tamd_proc
 1902        45530   1663239      0   0.00%  xmlma
 1903        32000   1007305      0   0.00%  vmm
 1904        39870   1007808      0   0.00%  vdc_mgr
 1905       113520    995997      0   0.00%  usbhsd
 1906        82580   2489178      0   0.00%  ttyd
 1907     34225040   6290029      0   0.00%  sysinfo
 1908        46750   1049290      0   0.00%  snmpmib_proc
 1909         9370     16358      0   0.00%  sksd
 1911         8390    110597      0   0.00%  res_mgr
 1912       106020   4972604      0   0.00%  plugin
 1913        26920   1003927      0   0.00%  plog_sup
 1914        83850   4958339      0   0.00%  patch-installer
