
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID            Local Intf      Hold-time  Capability  Port ID  
sw-dp4-data-117.vtb24.rumgmt0           120        BR          Eth101/1/14       
svr-hv413h           Eth1/4          120        B           eth3              
svr-hv415h           Eth1/5          120        B           eth3              
svr-hv417h           Eth1/6          120        B           eth3              
svr-hv421h           Eth1/7          120        B           eth3              
svr-hv423h           Eth1/8          120        B           eth3              
svr-hv425h           Eth1/9          120        B           eth3              
vdic-hv471h          Eth1/10         120        B           eth3              
vdic-hv473h          Eth1/11         120        B           eth3              
vdic-hv475h          Eth1/12         120        B           eth3              
vdic-hv477h          Eth1/13         120        B           eth3              
vdic-hv479h          Eth1/14         120        B           eth3              
vdic-hv481h          Eth1/15         120        B           eth3              
vdic-hv483h          Eth1/16         120        B           eth3              
vdic-hv485h          Eth1/17         120        B           eth3              
vdic-hv487h          Eth1/18         120        B           eth3              
svr-hv414h           Eth1/28         120        B           eth3              
svr-hv416h           Eth1/29         120        B           eth3              
svr-hv418h           Eth1/30         120        B           eth3              
svr-hv422h           Eth1/31         120        B           eth3              
svr-hv424h           Eth1/32         120        B           eth3              
vdic-hv470h          Eth1/33         120        B           eth3              
vdic-hv472h          Eth1/34         120        B           eth3              
vdic-hv474h          Eth1/35         120        B           eth3              
vdic-hv476h          Eth1/36         120        B           eth3              
vdic-hv478h          Eth1/37         120        B           eth3              
vdic-hv480h          Eth1/38         120        B           eth3              
vdic-hv482h          Eth1/39         120        B           eth3              
vdic-hv484h          Eth1/40         120        B           eth3              
vdic-hv486h          Eth1/41         120        B           eth3              
vdic-hv488h          Eth1/42         120        B           eth3              
sw-dp4-data-11       Eth1/51         120        BR          Eth8/10           
sw-dp4-data-28.vtb24.ruEth1/52         120        B           Eth1/52           
sw-dp4-data-28.vtb24.ruEth2/23         120        B           Eth2/23           
sw-dp4-data-28.vtb24.ruEth2/24         120        B           Eth2/24           
sw-dp4-data-12       Eth2/25         120        BR          Eth8/10           
sw-dp4-data-28.vtb24.ruEth2/26         120        B           Eth2/26           
svr-hv413h           Eth151/1/4      120        B           eth4              
svr-hv415h           Eth151/1/5      120        B           eth4              
svr-hv417h           Eth151/1/6      120        B           eth4              
svr-hv421h           Eth151/1/7      120        B           eth4              
svr-hv423h           Eth151/1/8      120        B           eth4              
svr-hv425h           Eth151/1/9      120        B           eth4              
vdic-hv471h          Eth151/1/10     120        B           eth4              
vdic-hv473h          Eth151/1/11     120        B           eth4              
vdic-hv475h          Eth151/1/12     120        B           eth4              
vdic-hv477h          Eth151/1/13     120        B           eth4              
vdic-hv479h          Eth151/1/14     120        B           eth4              
vdic-hv481h          Eth151/1/15     120        B           eth4              
vdic-hv483h          Eth151/1/16     120        B           eth4              
vdic-hv485h          Eth151/1/17     120        B           eth4              
vdic-hv487h          Eth151/1/18     120        B           eth4              
svr-hv414h           Eth151/1/28     120        B           eth4              
svr-hv416h           Eth151/1/29     120        B           eth4              
svr-hv418h           Eth151/1/30     120        B           eth4              
svr-hv422h           Eth151/1/31     120        B           eth4              
svr-hv424h           Eth151/1/32     120        B           eth4              
vdic-hv470h          Eth151/1/33     120        B           eth4              
vdic-hv472h          Eth151/1/34     120        B           eth4              
vdic-hv474h          Eth151/1/35     120        B           eth4              
vdic-hv476h          Eth151/1/36     120        B           eth4              
vdic-hv478h          Eth151/1/37     120        B           eth4              
vdic-hv480h          Eth151/1/38     120        B           eth4              
vdic-hv482h          Eth151/1/39     120        B           eth4              
vdic-hv484h          Eth151/1/40     120        B           eth4              
vdic-hv486h          Eth151/1/41     120        B           eth4              
vdic-hv488h          Eth151/1/42     120        B           eth4              
Total entries displayed: 67
