

CPU utilization for five seconds: 30%/0%; one minute: 25%; five minutes: 22%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
 5719      6772590  76062666      0   0.00%   0.00%  0.00%   -    sysmgr
 6335   4050624440  1043130229      3   3.55%   3.21%  1.38%   -    platform
 7000       758900   8450224      0   0.00%   0.00%  0.00%   -    pixm_gl
 7001           60  3537279107      0   0.17%   0.18%  0.18%   -    pdsd
 7004       320160   8642236      0   0.00%   0.00%  0.00%   -    licmgr
 7005     87288120  88782124      0   0.00%   0.03%  0.03%   -    fs-daemon
 7009       116280  13052534      0   0.00%   0.00%  0.00%   -    bloggerd
 7110       333160   6682064      0   0.00%   0.00%  0.00%   -    vdc_mgr
 7113       158070  128589290      0   0.05%   0.08%  0.07%   -    sysinfo
 7117        28520    673208      0   0.00%   0.00%  0.00%   -    res_mgr
 7118       714530  32492108      0   0.00%   0.00%  0.00%   -    plugin
 7119       217560   6554475      0   0.00%   0.00%  0.00%   -    pltfm_debug
 7130     37246470  58334424      0   0.00%   0.00%  0.00%   -    diagmgr
 7133      3411870  35406726      0   0.00%   0.00%  0.00%   -    clk_mgr
 7268     14492400  11043590      1   0.00%   0.00%  0.00%   -    diagclient
 7330   4152865286   2534086   1638   0.00%   0.00%  0.00%   -    xbar
 7333     21096060  187935919      0   0.00%   0.00%  0.00%   -    module
 7337      2064150  18214352      0   0.00%   0.00%  0.00%   -    ifmgr
 8040       238830   6554865      0   0.00%   0.00%  0.00%   -    sim
 8042      6217830  25025835      0   0.00%   0.00%  0.00%   -    pltfm_config
 8045      1013850  11651085      0   0.00%   0.00%  0.00%   -    pixmc
 8048   4153535956   6549277    634   0.00%   0.00%  0.00%   -    monitorc
 8053       249300   6553242      0   0.00%   0.00%  0.00%   -    giscm
 8156    544127412  100557667      5   0.00%   0.00%  0.00%   -    diag_port_lb
 9051      1343870  33151419      0   0.00%   0.00%  0.00%   -    syslogd
 9067          520      3458      0   0.00%   0.00%  0.00%   -    confcheck
 9068      1097200  17165699      0   0.00%   0.00%  0.00%   -    feature-mgr
 9069        19120    545271      0   0.00%   0.00%  0.00%   -    mmode
 9070       214200   6547671      0   0.00%   0.00%  0.00%   -    pixm_vl
 9071       760240  32455617      0   0.00%   0.00%  0.00%   -    psshelper
 9072       212550   6547014      0   0.00%   0.00%  0.00%   -    session-mgr
 9073           70   1194027      0   0.00%   0.00%  0.00%   -    smm
 9074       214340   6547856      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 9075       187770   4955252      0   0.00%   0.00%  0.00%   -    vshd
 9087       139400   2330342      0   0.00%   0.00%  0.00%   -    clis
 9117        47130   1180391      0   0.00%   0.00%  0.00%   -    port-profile
 9132       911480  33780008      0   0.00%   0.00%  0.00%   -    aaa
 9133       708710  32454203      0   0.00%   0.00%  0.00%   -    cert_enroll
 9134       834690  32674574      0   0.00%   0.00%  0.00%   -    securityd
 9135       135250   4069289      0   0.00%   0.00%  0.00%   -    ascii-cfg
 9136       204220   6547469      0   0.00%   0.00%  0.00%   -    cli_acl
 9137        53130   1634425      0   0.00%   0.00%  0.00%   -    evmc
 9139        68840   2178284      0   0.00%   0.00%  0.00%   -    evms
 9140           30       225      0   0.00%   0.00%  0.00%   -    mping_server
 9141        70210   2178552      0   0.00%   0.00%  0.00%   -    mvsh
 9143       720800  32453103      0   0.00%   0.00%  0.00%   -    sksd
 9144       221810   6544949      0   0.00%   0.00%  0.00%   -    statsprofiler
 9145       236950   4066965      0   0.00%   0.00%  0.00%   -    vman
 9146       206240   6545640      0   0.00%   0.00%  0.00%   -    vmm
 9147       323900  10823601      0   0.00%   0.00%  0.00%   -    xmlma
 9149           90   1200882      0   0.00%   0.00%  0.00%   -    l3vm
 9150           80  33680854      0   0.00%   0.00%  0.00%   -    urib
 9278       203850   6547303      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 9313      1964790  13692407      0   0.00%   0.00%  0.00%   -    aclmgr
 9323           80  1625216981      0   0.00%   0.00%  0.00%   -    adjmgr
 9325           80   7031739      0   0.00%   0.00%  0.00%   -    u6rib
 9350          110   4460747      0   0.00%   0.00%  0.00%   -    npacl
 9355          130  3108452124      0   0.70%   0.71%  0.70%   -    arp
 9356           90   5781761      0   0.00%   0.00%  0.00%   -    icmpv6
 9376       202840   6552994      0   0.00%   0.00%  0.00%   -    ncpinframgr
 9377          120  2558326698      0   1.96%   1.81%  1.75%   -    pktmgr
 9402          170  693122777      0   0.86%   0.64%  0.61%   -    netstack
 9440      1247160  32470610      0   0.00%   0.00%  0.00%   -    radius
 9441      1299590  23264373      0   0.00%   0.00%  0.00%   -    cdp
 9442       313910   7623756      0   0.00%   0.00%  0.00%   -    cfs
 9443           20       197      0   0.00%   0.00%  0.00%   -    ip_dummy
 9444           20       196      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 9445       152930   1912162      0   0.00%   0.00%  0.00%   -    ntp
 9446       214640   6549201      0   0.00%   0.00%  0.00%   -    otm
 9447    190778470  1059086509      0   2.57%   1.15%  0.34%   -    snmpd
 9460      3081080  43180066      0   0.01%   0.00%  0.00%   -    tacacs
 9465       813680  33574334      0   0.00%   0.00%  0.00%   -    callhome
 9508           80  21446101      0   0.00%   0.00%  0.00%   -    rpm
 9509       215820   6546554      0   0.00%   0.00%  0.00%   -    plsm
 9510      1028980  13975089      0   0.00%   0.00%  0.00%   -    plcmgr
 9511      4077180  20504307      0   0.00%   0.00%  0.00%   -    pfstat
 9513       431900   8715695      0   0.00%   0.00%  0.00%   -    lim
 9514      1921350  35200840      0   0.00%   0.00%  0.00%   -    l2rib
 9515          110  360101594      0   0.00%   0.00%  0.00%   -    igmp
 9517        77100   2189227      0   0.00%   0.00%  0.00%   -    eltm
 9519        37120   2172865      0   0.00%   0.00%  0.00%   -    adbm
 9520        88450   1615731      0   0.00%   0.00%  0.00%   -    acllog
 9548       240700   6546275      0   0.00%   0.00%  0.00%   -    iscm
 9553      1281080  18387809      0   0.00%   0.00%  0.00%   -    monitor
 9605       352770   4962271      0   0.00%   0.00%  0.00%   -    eth_port_channel
 9606       357900   4811480      0   0.00%   0.00%  0.00%   -    vlan_mgr
 9611       755510  13515322      0   0.00%   0.00%  0.00%   -    eth_dstats
 9612      6686780  27902705      0   0.00%   0.00%  0.00%   -    ipqosmgr
 9613      1192420   7083821      0   0.00%   0.00%  0.00%   -    lacp
 9614     23837560  127637055      0   0.05%   0.00%  0.00%   -    ethpm
 9615     27877930  46394146      0   0.00%   0.00%  0.00%   -    l2fm
 9637       353100   3721757      0   0.00%   0.00%  0.00%   -    aclqos
 9650    231505250  1780327631      0   0.05%   0.04%  0.04%   -    stp
 9661        55960   1637067      0   0.00%   0.00%  0.00%   -    vpc
 9662     13761100  42104583      0   0.00%   0.00%  0.00%   -    udld
 9663       101870   3266503      0   0.00%   0.00%  0.00%   -    u2
 9664     13995000  44391023      0   0.07%   0.00%  0.00%   -    tunnel
 9665       934320   7403197      0   0.00%   0.00%  0.00%   -    spm
 9666       215350   6547575      0   0.00%   0.00%  0.00%   -    sal
 9667           80  587010531      0   0.01%   0.00%  0.00%   -    orib
 9668           80   8323799      0   0.00%   0.00%  0.00%   -    oim
 9669           90  82057612      0   0.00%   0.00%  0.00%   -    mrib
 9670     48395110  297979056      0   0.01%   0.00%  0.00%   -    mfdm
 9671       218840   6547200      0   0.00%   0.00%  0.00%   -    mcm
 9672           90  111851463      0   0.00%   0.00%  0.00%   -    m6rib
 9673      9679780  41245423      0   0.00%   0.00%  0.00%   -    l2pt
 9676       278200   6545266      0   0.00%   0.00%  0.00%   -    bfd_app
 9677       218230   6549239      0   0.00%   0.00%  0.00%   -    bfd
 9678          130  192650592      0   0.00%   0.10%  0.07%   -    isis_otv
 9704          100  581725424      0   0.00%   0.00%  0.00%   -    mcastfwd
 9737       898420  11466665      0   0.00%   0.00%  0.00%   -    ufdm
 9743      1083620  16803703      0   0.00%   0.00%  0.00%   -    dhcp_snoop
 9760       337270   3236432      0   0.00%   0.00%  0.00%   -    m2rib
 9765       779360  11733247      0   0.00%   0.00%  0.00%   -    interface-vlan
 9797           90  16283338      0   4.02%   3.82%  3.70%   -    otv
10881      1509690  32507778      0   0.00%   0.00%  0.00%   -    ntpd
10949          120  3248668268      0   0.00%   0.00%  0.00%   -    ecp
10950       229100   6543839      0   0.00%   0.00%  0.00%   -    xmpp
10951           20       195      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
10952      1136090  17950802      0   0.15%   0.06%  0.01%   -    snmpmib_proc
10973       742750  32452393      0   0.00%   0.00%  0.00%   4    vsh
10975       744190  32452186      0   0.00%   0.00%  0.00%   5    vsh
11013        62810    268475      0   0.00%   0.00%  0.00%   -    dcos-xinetd
18768          210       897      0   0.07%   0.00%  0.00%   21    vsh
