
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID                         Local Intf          Hold-time   Capability  Port ID     
sw-dp4-data-15.vtb24.ru           mgmt0               120         B           Eth123/1/17       
view-ntnx-str-1                   Eth3/1              120         B           eth0              
view-ntnx-str-2                   Eth3/2              120         B           eth0              
sw-dp4-data-11                    Eth3/37             120         BR          Eth8/3/1          
sw-dp4-data-11                    Eth3/38             120         BR          Eth8/3/2          
sw-dp4-data-18.vtb24.ru           Eth3/45             120         BR          Eth3/45           
sw-dp4-data-18.vtb24.ru           Eth3/46             120         BR          Eth3/46           
sw-dp4-data-18.vtb24.ru           Eth3/48             120         BR          Eth3/48           
view-ntnx-104                     Eth4/1              120         B           eth1              
view-ntnx-105                     Eth4/2              120         B           eth1              
view-ntnx-102                     Eth4/7              120         B           eth3              
view-ntnx-102                     Eth4/8              120         B           eth2              
view-ntnx-103                     Eth4/9              120         B           eth2              
view-ntnx-103                     Eth4/10             120         B           eth3              
view-ntnx-104                     Eth4/11             120         B           eth3              
view-ntnx-105                     Eth4/12             120         B           eth3              
view-ntnx-106                     Eth4/21             120         B           eth1              
view-ntnx-106                     Eth4/22             120         B           eth3              
sw-dp4-data-12                    Eth4/37             120         BR          Eth8/3/1          
sw-dp4-data-12                    Eth4/38             120         BR          Eth8/3/2          
sw-dp4-data-18.vtb24.ru           Eth4/45             120         BR          Eth4/45           
sw-dp4-data-18.vtb24.ru           Eth4/46             120         BR          Eth4/46           
sw-dp4-data-18.vtb24.ru           Eth4/48             120         BR          Eth4/48           
Total entries displayed: 23
