

CPU utilization for five seconds: 7%/0%; one minute: 6%; five minutes: 4%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
 5680      4882670  54031736      0   0.00%   0.00%  0.00%   -    sysmgr
 6295    843340700  410913947      2   0.09%   1.43%  0.49%   -    platform
 6370       231390   4962662      0   0.00%   0.00%  0.00%   -    pixm_gl
 6371           60  212139755      0   0.19%   0.21%  0.22%   -    pdsd
 6374       246830   4908439      0   0.00%   0.00%  0.00%   -    licmgr
 6375     53790800  53487473      1   0.00%   0.00%  0.00%   -    fs-daemon
 6379       124590   9575915      0   0.00%   0.00%  0.00%   -    bloggerd
 6418       220230   4947189      0   0.00%   0.00%  0.00%   -    vdc_mgr
 6422       224220  120963379      0   0.07%   0.10%  0.08%   -    sysinfo
 6427        18940    497312      0   0.00%   0.00%  0.00%   -    res_mgr
 6428       630290  23901573      0   0.00%   0.00%  0.00%   -    plugin
 6429       201210   4895539      0   0.00%   0.00%  0.00%   -    pltfm_debug
 6441     20428310  51126500      0   0.00%   0.00%  0.00%   -    diagmgr
 6446      2235890  20872901      0   0.00%   0.00%  0.00%   -    clk_mgr
 6604     12213520  12005096      1   0.00%   0.00%  0.00%   -    diagclient
 6621   4154421866   1895667   2191   0.00%   0.00%  0.00%   -    xbar
 6695      9813220  72181299      0   0.00%   0.00%  0.00%   -    module
 6718      3146270  28762193      0   0.00%   0.00%  0.00%   -    ifmgr
 7125       220360   4894401      0   0.00%   0.00%  0.00%   -    sim
 7127      2747320  13566570      0   0.00%   0.00%  0.00%   -    pltfm_config
 7130       226700   5098891      0   0.00%   0.00%  0.00%   -    pixmc
 7133       201470   4886915      0   0.00%   0.00%  0.00%   -    monitorc
 7137       226880   4887149      0   0.00%   0.00%  0.00%   -    giscm
 7179    788675342  325856245      2   0.00%   0.00%  0.00%   -    diag_port_lb
 8646      1775540  41171475      0   0.00%   0.00%  0.00%   -    syslogd
 8656          650      3773      0   0.00%   0.00%  0.00%   -    confcheck
 8657       280660   4808577      0   0.00%   0.00%  0.00%   -    feature-mgr
 8658        17830    407225      0   0.00%   0.00%  0.00%   -    mmode
 8659       253740   5259586      0   0.00%   0.00%  0.00%   -    pixm_vl
 8660       684470  23880157      0   0.00%   0.00%  0.00%   -    psshelper
 8661       199170   4890814      0   0.00%   0.00%  0.00%   -    session-mgr
 8662           70    887068      0   0.00%   0.00%  0.00%   -    smm
 8663       201550   4892097      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 8664       142140   3101399      0   0.00%   0.00%  0.00%   -    vshd
 8671       189290   1777117      0   0.00%   0.00%  0.00%   -    clis
 8673        65300   1076301      0   0.00%   0.00%  0.00%   -    port-profile
 8680       623050  23947262      0   0.00%   0.00%  0.00%   -    aaa
 8681       618520  23876751      0   0.00%   0.00%  0.00%   -    cert_enroll
 8682       688370  23948771      0   0.00%   0.00%  0.00%   -    securityd
 8683       129270   2998032      0   0.00%   0.00%  0.00%   -    ascii-cfg
