
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID            Local Intf      Hold-time  Capability  Port ID  
sw-dp4-data-117.vtb24.rumgmt0           120        BR          Eth103/1/47       
1802.2db5.bdeb       Eth1/1          121                    3138.3032.2e32    
1802.2db5.be19       Eth1/2          121                    3138.3032.2e32    
1802.2db5.bdd5       Eth1/3          121                    3138.3032.2e32    
1802.2db5.be17       Eth1/4          121                    3138.3032.2e32    
1802.2db5.be4d       Eth1/5          121                    3138.3032.2e32    
1802.2db5.be03       Eth1/6          121                    3138.3032.2e32    
1802.2db5.be33       Eth1/7          121                    3138.3032.2e32    
1802.2db5.bddd       Eth1/8          121                    3138.3032.2e32    
1802.2db5.bdff       Eth1/9          121                    3138.3032.2e32    
1802.2db5.bde5       Eth1/10         121                    3138.3032.2e32    
1802.2db5.be75       Eth1/11         121                    3138.3032.2e32    
1802.2db5.bea7       Eth1/12         121                    3138.3032.2e32    
1802.2db5.be87       Eth1/13         121                    3138.3032.2e32    
1802.2db5.c029       Eth1/14         121                    3138.3032.2e32    
1802.2db5.be1b       Eth1/15         121                    3138.3032.2e32    
1802.2db5.bde9       Eth1/16         121                    3138.3032.2e32    
acb3.b53d.9562       Eth1/17         121                    6163.6233.2e62    
acb3.b53d.9728       Eth1/18         121                    6163.6233.2e62    
acb3.b53d.9738       Eth1/19         121                    6163.6233.2e62    
acb3.b53d.9660       Eth1/23         121                    6163.6233.2e62    
1802.2db5.be4b       Eth1/24         121                    3138.3032.2e32    
1802.2db5.bde3       Eth1/25         121                    3138.3032.2e32    
1802.2db5.be0b       Eth1/26         121                    3138.3032.2e32    
1802.2db5.be09       Eth1/27         121                    3138.3032.2e32    
1802.2db5.be67       Eth1/28         121                    3138.3032.2e32    
1802.2db5.bdfb       Eth1/29         121                    3138.3032.2e32    
1802.2db5.be51       Eth1/30         121                    3138.3032.2e32    
1802.2db5.be01       Eth1/32         121                    3138.3032.2e32    
1802.2db5.be41       Eth1/33         121                    3138.3032.2e32    
1802.2db5.be07       Eth1/34         121                    3138.3032.2e32    
1802.2db5.be0d       Eth1/35         121                    3138.3032.2e32    
1802.2db5.be29       Eth1/36         121                    3138.3032.2e32    
1802.2db5.be2f       Eth1/37         121                    3138.3032.2e32    
e000.8444.942e       Eth1/38         121                    6530.3030.2e38    
e000.844a.e9c2       Eth1/39         121                    6530.3030.2e38    
1802.2db5.be21       Eth1/40         121                    3138.3032.2e32    
acb3.b53d.9654       Eth1/41         121                    6163.6233.2e62    
acb3.b53d.9556       Eth1/42         121                    6163.6233.2e62    
acb3.b53d.965e       Eth1/43         121                    6163.6233.2e62    
acb3.b53d.9664       Eth1/44         121                    6163.6233.2e62    
acb3.b53d.967e       Eth1/45         121                    6163.6233.2e62    
acb3.b52a.843a       Eth1/46         121                    6163.6233.2e62    
sw-dp4-data-23.vtb24.ruEth1/47         120        B           Eth1/47           
sw-dp4-data-23.vtb24.ruEth1/48         120        B           Eth1/48           
sw-dp4-data-23.vtb24.ruEth2/3          120        B           Eth2/3            
sw-dp4-data-23.vtb24.ruEth2/4          120        B           Eth2/4            
sw-dp4-data-11       Eth2/5          120        BR          Eth11/8           
sw-dp4-data-12       Eth2/6          120        BR          Eth11/8           
1802.2db5.bdec       Eth151/1/1      121                    3138.3032.2e32    
1802.2db5.be1a       Eth151/1/2      121                    3138.3032.2e32    
1802.2db5.bdd6       Eth151/1/3      121                    3138.3032.2e32    
1802.2db5.be18       Eth151/1/4      121                    3138.3032.2e32    
1802.2db5.be4e       Eth151/1/5      121                    3138.3032.2e32    
1802.2db5.be04       Eth151/1/6      121                    3138.3032.2e32    
1802.2db5.be34       Eth151/1/7      121                    3138.3032.2e32    
1802.2db5.bdde       Eth151/1/8      121                    3138.3032.2e32    
1802.2db5.be00       Eth151/1/9      121                    3138.3032.2e32    
1802.2db5.bde6       Eth151/1/10     121                    3138.3032.2e32    
1802.2db5.be76       Eth151/1/11     121                    3138.3032.2e32    
1802.2db5.bea8       Eth151/1/12     121                    3138.3032.2e32    
1802.2db5.be88       Eth151/1/13     121                    3138.3032.2e32    
1802.2db5.c02a       Eth151/1/14     121                    3138.3032.2e32    
1802.2db5.be1c       Eth151/1/15     121                    3138.3032.2e32    
1802.2db5.bdea       Eth151/1/16     121                    3138.3032.2e32    
acb3.b53d.9563       Eth151/1/17     121                    6163.6233.2e62    
acb3.b53d.9729       Eth151/1/18     121                    6163.6233.2e62    
acb3.b53d.9739       Eth151/1/19     121                    6163.6233.2e62    
acb3.b53d.9661       Eth151/1/23     121                    6163.6233.2e62    
1802.2db5.be4c       Eth151/1/24     121                    3138.3032.2e32    
1802.2db5.bde4       Eth151/1/25     121                    3138.3032.2e32    
1802.2db5.be0c       Eth151/1/26     121                    3138.3032.2e32    
1802.2db5.be0a       Eth151/1/27     121                    3138.3032.2e32    
1802.2db5.be68       Eth151/1/28     121                    3138.3032.2e32    
1802.2db5.bdfc       Eth151/1/29     121                    3138.3032.2e32    
